Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,168","0,185","-0,159","0,101","0,237","-0,109","0,139","-0,057","-0,350","-0,134","-0,068","-0,133","0,290","-0,255","-0,172","0,059","0,155","0,028","-0,045","-0,068","0,216"
1,"0,229","0,053","0,017","0,045","0,146","0,093","0,192","0,032","-0,500","0,107","-0,020","-0,053","0,266","-0,192","-0,381","0,647","-0,140","0,077","0,222","-0,009","0,024"
2,"0,045","0,097","0,325","0,045","0,266","0,073","0,171","-0,113","-0,841","-0,186","0,098","-0,076","-0,045","-0,198","-0,436","0,106","-0,081","0,170","0,068","-0,148","0,096"
3,"0,167","0,195","0,419","-0,018","0,076","0,044","0,225","-0,142","-0,963","-0,112","0,225","-0,052","0,085","-0,200","-0,363","0,146","-0,009","0,278","0,029","-0,193","0,183"
4,"-0,016","0,219","0,669","-0,016","0,146","0,094","0,046","-0,185","-0,879","0,118","0,217","0,050","0,088","-0,161","-0,316","0,021","-0,076","0,232","0,309","-0,311","0,248"
5,"0,107","0,195","0,419","-0,077","0,146","0,095","0,053","-0,097","-0,775","0,170","0,051","-0,007","-0,230","0,005","-0,355","-0,124","-0,046","0,094","0,147","-0,177","0,160"
6,"0,045","0,019","0,287","0,167","0,085","0,100","0,118","-0,143","-0,705","0,088","-0,053","0,024","-0,164","0,085","-0,267","-0,056","0,030","0,120","0,107","-0,103","0,009"
7,"-0,076","-0,041","0,115","0,161","0,106","-0,151","0,193","-0,027","-0,486","0,082","0,156","-0,129","-0,083","-0,013","-0,111","-0,164","-0,119","-0,015","0,430","0,292","0,018"
8,"0,046","-0,065","-0,135","-0,022","-0,014","-0,127","0,092","0,060","-0,124","0,214","-0,091","-0,008","-0,086","0,072","-0,103","-0,155","-0,160","-0,059","0,159","0,179","-0,163"
9,"0,107","-0,048","-0,271","-0,144","0,107","-0,144","0,049","0,132","0,176","0,222","-0,114","-0,064","0,024","0,171","-0,192","-0,172","-0,078","0,030","0,069","0,145","-0,007"
