Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,075","0,227","0,775","0,967","-0,094","0,213","-0,087","0,148","-0,304","0,629","-1,104","0,421","0,615","-0,132","-0,799","-0,056","0,285","0,164","0,247","-0,214","-0,609"
1,"0,186","0,157","0,439","1,099","-0,093","0,325","-0,136","0,248","-0,047","-0,070","-1,036","-0,434","0,490","0,165","-0,734","0,074","0,412","0,181","-0,179","-0,276","-0,606"
2,"0,214","-0,014","0,030","0,972","-0,093","0,274","-0,089","0,274","-0,252","0,080","-2,407","0,019","0,061","0,382","-0,835","-0,088","0,379","-0,082","-0,366","-0,247","-0,569"
3,"0,289","0,022","-0,207","0,841","-0,155","0,163","-0,128","0,598","-0,037","1,955","-3,240","0,909","-0,121","0,291","-0,592","-0,152","0,303","-0,118","-0,320","-0,429","-0,292"
4,"0,338","-0,060","-0,251","0,896","-0,278","0,098","0,622","0,741","-0,428","1,295","-2,907","0,692","-0,058","0,151","-0,460","-0,185","0,051","0,062","-0,516","-0,331","-0,155"
5,"-0,029","0,109","0,035","0,831","-0,278","0,042","0,444","0,853","-0,491","0,992","-2,026","0,499","0,248","0,119","-0,244","-0,106","0,213","-0,007","-0,307","-0,184","0,283"
6,"-0,030","0,181","-0,268","0,770","-0,278","0,047","0,344","0,565","-0,369","0,135","-1,930","0,719","0,490","0,339","-0,210","-0,221","0,277","-0,043","-0,073","-0,108","0,401"
7,"-0,209","-0,044","-0,468","0,892","-0,278","0,037","-0,025","0,268","-0,092","-0,070","-1,064","0,486","0,608","0,719","-0,116","-0,358","0,651","-0,289","0,568","-0,118","0,838"
8,"0,022","-0,191","-0,527","0,780","-0,216","0,168","-0,507","0,260","0,196","-0,780","-0,604","0,750","0,426","0,708","0,157","0,101","0,662","-0,602","-0,084","0,022","1,348"
9,"0,032","-0,040","-0,799","0,658","-0,216","0,178","-0,562","0,307","0,080","-0,707","-0,016","0,541","0,309","0,259","0,497","0,241","0,714","-0,752","0,682","-0,069","1,778"
10,"0,040","0,096","-0,792","0,658","-0,277","0,179","-0,247","0,468","-0,227","-1,101","0,053","0,955","0,070","-0,191","0,838","0,063","0,701","-0,824","0,512","-0,278","1,683"
11,"0,247","0,312","-0,458","0,653","-0,338","0,118","-0,269","0,512","-0,263","-1,095","-0,479","0,600","-0,110","-0,363","1,051","-0,410","0,845","-0,917","-0,067","-0,003","1,960"
12,"0,325","0,220","-0,369","0,583","-0,278","0,001","-0,460","0,103","0,078","0,116","-0,965","1,168","-0,170","-0,424","1,213","-0,629","1,295","-0,867","-0,188","-0,007","1,951"
13,"0,330","0,341","-0,083","0,573","-0,584","-0,118","-0,460","-0,080","0,163","-0,057","-1,525","1,313","-0,110","-0,338","1,106","-0,632","1,320","-0,811","-0,184","-0,041","1,901"
14,"0,365","0,453","0,336","0,512","-0,706","-0,112","-0,573","0,026","0,260","-1,190","-1,262","0,641","-0,172","-0,283","1,081","-0,663","1,044","-0,687","0,140","-0,119","1,688"
15,"0,302","0,817","0,262","0,527","-0,766","0,071","-0,250","0,171","0,135","-0,653","-0,967","0,626","-0,051","-0,150","1,221","-0,687","0,822","-0,588","0,531","-0,365","1,448"
16,"0,103","0,736","-0,064","0,354","-0,703","0,207","-0,161","0,601","-0,117","-0,561","-0,715","0,941","0,192","-0,118","1,140","-0,451","0,750","-0,541","0,498","-0,573","1,143"
17,"-0,027","0,429","-0,308","0,238","-0,581","0,276","-0,159","0,658","-0,255","-1,491","-0,914","0,449","-0,052","-0,044","1,307","-0,722","0,836","-0,864","0,363","-0,474","1,284"
18,"-0,098","0,190","-0,868","0,364","-0,642","0,328","-0,653","0,369","0,213","-1,163","-0,675","0,505","-0,235","0,031","1,473","-1,058","1,057","-1,052","0,402","-0,486","1,593"
19,"-0,212","0,083","-0,794","0,243","-0,702","0,338","-0,741","0,362","0,155","-1,534","-0,941","1,087","-0,171","-0,220","1,656","-0,901","1,381","-1,190","-0,021","-0,235","2,271"
20,"-0,185","0,363","-0,446","0,111","-0,825","0,228","-0,484","0,456","0,008","-1,180","-0,759","0,494","-0,107","-0,501","1,919","-0,592","1,521","-1,102","0,109","-0,300","2,180"
21,"-0,153","0,765","0,189","-0,076","-0,765","0,181","-0,271","0,638","-0,210","-1,188","-0,758","1,206","-0,044","-0,718","1,885","-0,714","1,636","-1,027","-0,034","-0,081","2,387"
22,"0,202","1,038","0,327","-0,329","-0,887","0,080","-0,148","0,939","-0,435","-1,657","-1,222","0,343","-0,165","-0,779","2,047","-0,944","1,657","-1,184","-0,107","0,121","2,465"
23,"0,144","0,751","0,124","-0,577","-0,827","0,039","0,007","0,631","-0,183","-1,159","-0,955","0,610","-0,223","-1,077","1,983","-1,010","1,606","-1,165","-0,336","0,011","2,297"
24,"0,167","0,388","-0,268","-0,587","-0,950","-0,082","-0,350","0,432","0,000","-1,171","-1,318","0,704","-0,280","-1,568","1,939","-1,068","1,691","-1,140","-0,125","-0,140","1,974"
25,"0,125","0,140","-0,695","-0,653","-0,950","-0,138","-0,428","0,283","0,072","-0,939","-0,660","0,393","-0,460","-1,893","1,820","-1,131","1,508","-1,262","0,016","-0,510","1,870"
26,"-0,079","0,101","-0,766","-0,475","-1,012","-0,213","-0,357","0,139","-0,149","-1,323","-0,479","0,608","-0,278","-1,780","1,769","-0,840","1,377","-1,185","0,135","-0,371","1,860"
27,"-0,235","0,213","-0,641","-0,283","-0,950","-0,106","-0,425","0,397","-0,204","-2,416","-0,734","0,114","-0,158","-1,608","1,556","-0,476","1,246","-1,238","0,259","-0,217","1,766"
28,"0,060","0,255","-0,729","-0,166","-0,889","-0,178","-0,133","0,362","-0,323","-1,934","-0,524","-0,550","0,081","-1,265","1,130","-0,704","0,896","-1,025","-0,021","-0,347","1,459"
29,"-0,015","-0,014","-0,731","-0,339","-0,949","-0,041","-0,391","0,268","-0,176","-1,498","-0,886","0,240","-0,286","-1,153","0,944","0,147","0,919","-0,917","-0,065","-0,351","1,235"
30,"-0,027","-0,109","-0,483","-0,349","-1,194","-0,160","-0,449","-0,039","0,207","-1,084","-0,214","-0,467","0,258","-0,725","0,547","-0,686","0,716","-0,674","-0,107","-0,440","0,996"
31,"-0,110","-0,047","-0,014","-0,480","-1,073","-0,273","-0,192","-0,128","0,146","-0,850","-0,381","0,142","0,317","-0,579","0,279","-0,843","0,791","-0,247","0,075","-0,485","1,043"
32,"-0,032","0,094","0,314","-0,470","-1,194","-0,150","-0,066","-0,319","0,041","-0,867","-1,136","0,540","0,436","-0,327","0,096","-0,683","0,743","-0,015","0,100","-0,394","1,502"
33,"-0,049","0,112","0,515","-0,329","-1,253","0,083","0,200","-0,425","0,162","-0,662","-1,065","0,365","0,374","-0,191","0,100","-0,581","0,780","0,243","0,202","-0,303","1,746"
34,"-0,016","0,062","0,392","-0,248","-1,312","0,322","-0,056","-0,462","0,171","-1,426","-0,969","0,440","0,439","-0,608","0,359","-0,656","0,593","0,257","-0,121","-0,225","1,959"
35,"0,038","-0,295","-0,146","-0,304","-1,251","0,387","0,224","-0,412","0,060","-2,088","-0,482","-0,290","0,440","-0,694","0,466","-0,614","0,423","0,337","-0,030","-0,116","2,337"
36,"-0,004","-0,543","-0,573","-0,243","-1,251","0,382","-0,056","-0,462","0,171","-1,994","-0,370","0,077","0,626","-0,846","1,006","-0,696","0,180","0,375","-0,074","0,043","2,892"
37,"-0,146","-0,408","-0,394","-0,183","-1,251","0,377","-0,146","-0,343","0,166","-2,101","-0,580","-0,196","0,809","-0,721","1,419","-0,647","-0,040","0,344","0,056","-0,073","2,835"
38,"-0,356","-0,334","-0,511","-0,219","-1,066","0,685","-0,166","-0,241","-0,008","-2,393","-0,791","-0,178","0,808","-0,670","1,529","-0,639","-0,197","0,147","-0,026","-0,200","2,321"
39,"-0,333","-0,231","-0,426","-0,092","-1,126","0,736","-0,189","-0,014","-0,130","-1,920","-0,958","-0,643","0,679","0,074","1,254","-0,512","-0,150","0,134","0,400","-0,822","1,749"
40,"-0,309","-0,128","-0,340","-0,022","-1,003","0,852","-0,090","0,034","-0,028","-2,128","-0,888","-0,520","0,796","0,535","1,378","-0,432","-0,199","-0,107","0,667","-0,936","1,481"
41,"-0,216","0,053","-0,236","-0,031","-0,882","0,729","-0,323","0,010","-0,121","-3,011","-0,821","-1,085","1,039","0,678","1,246","-0,323","-0,424","-0,133","0,818","-1,089","1,155"
42,"-0,244","0,295","-0,130","-0,270","-0,821","0,809","-0,382","-0,114","0,177","-3,768","-0,739","-1,261","0,918","0,617","1,408","-0,192","-0,402","-0,202","0,670","-0,836","1,412"
43,"-0,057","0,585","0,380","-0,017","-0,759","0,910","-0,505","-0,049","0,230","-2,348","0,034","-1,172","0,980","0,481","1,403","-0,431","-0,517","-0,365","0,687","-0,788","1,159"
44,"-0,099","0,337","-0,047","0,161","-0,881","0,836","-0,345","-0,129","-0,071","-1,837","-0,160","-0,078","1,042","0,371","1,454","-0,198","-0,563","-0,263","0,755","-0,905","1,097"
45,"0,151","0,116","-0,283","0,282","-0,821","0,825","-0,694","0,022","0,122","-1,355","0,051","-0,742","1,042","0,426","1,428","-0,071","-0,968","0,063","1,070","-0,915","0,984"
46,"0,322","-0,028","-0,330","0,282","-0,942","0,826","-0,760","-0,029","0,101","-1,481","0,806","-0,566","1,104","0,235","1,449","0,085","-1,494","-0,024","1,150","-1,000","0,754"
47,"0,263","-0,096","-0,014","0,217","-1,004","0,771","-0,480","0,021","-0,010","-2,251","2,286","-1,978","1,044","0,184","1,339","0,212","-1,553","-0,124","1,473","-0,843","0,453"
48,"-0,052","-0,065","0,252","0,166","-1,003","0,897","-0,649","-0,066","0,194","-2,866","5,417","-3,033","1,225","0,254","0,904","0,287","-1,818","0,203","2,309","-0,928","-0,079"
49,"-0,231","-0,361","0,354","0,227","-1,186","0,894","-0,336","-0,328","0,197","-3,490","9,779","-4,706","1,650","0,357","0,388","0,265","-1,747","0,504","3,449","-1,240","-0,501"
50,"0,004","-0,854","0,103","0,115","-1,368","1,027","-0,223","-0,675","0,324","-7,722","12,663","-5,206","1,952","0,515","-0,154","0,211","-1,847","1,017","3,399","-0,576","-0,071"
51,"-0,102","-0,896","0,486","0,292","-1,368","0,951","-0,592","-0,972","0,601","-7,451","17,096","-7,434","2,432","1,133","-0,571","0,208","-1,716","1,158","3,449","0,202","-0,229"
52,"-0,174","-0,917","0,445","0,419","-1,429","1,003","-0,034","-1,296","0,688","-3,560","20,495","-3,564","2,674","1,362","-0,810","0,213","-1,555","1,219","3,548","-0,868","-2,007"
53,"-0,027","-1,164","0,313","0,611","-1,245","1,108","0,040","-1,508","0,277","-5,102","17,189","-4,092","2,368","1,372","-1,218","0,228","-1,258","1,286","2,673","-2,201","-3,769"
54,"0,030","-1,344","0,037","0,550","-1,123","1,112","0,325","-1,406","0,539","-0,634","16,277","-4,155","2,003","1,109","-1,635","0,000","-1,050","1,245","3,973","-2,622","-3,805"
55,"-0,077","-1,548","-0,122","0,733","-1,001","1,096","0,388","-1,899","0,308","-0,150","15,469","-2,005","1,825","0,546","-1,980","-0,058","-0,408","1,016","4,596","-1,289","-2,808"
56,"-0,578","-1,645","0,176","0,905","-0,941","0,959","0,353","-2,011","0,504","-4,099","12,562","-3,711","1,344","-0,237","-2,359","-0,055","-0,221","1,133","3,346","-0,264","-1,995"
57,"-0,345","-1,614","0,379","0,783","-0,758","0,968","0,240","-2,271","0,772","0,125","10,908","-3,829","1,045","-1,014","-2,875","-0,128","-0,328","1,177","2,782","0,194","-1,990"
58,"-0,412","-1,281","0,863","0,723","-0,819","0,973","0,308","-2,346","0,741","1,965","7,572","0,106","0,683","-1,448","-3,080","-0,277","-0,516","1,321","0,664","1,034","-1,797"
59,"-0,290","-1,343","0,860","0,703","-0,699","0,729","0,365","-2,279","0,581","0,958","3,414","-1,513","0,143","-2,326","-3,080","-0,453","-0,342","1,365","0,218","1,295","-1,645"
60,"-0,640","-1,353","0,404","0,773","-0,820","0,847","0,342","-2,292","0,683","1,818","3,011","-0,708","-0,279","-2,773","-2,875","-0,593","0,164","1,261","-0,081","1,936","-1,148"
61,"-0,739","-1,421","0,253","0,895","-0,638","0,835","0,106","-2,064","0,695","2,269","2,229","-0,472","-0,884","-3,252","-2,589","-0,475","0,633","0,987","-0,216","1,800","-0,919"
62,"-0,584","-1,532","0,128","0,880","-0,761","0,654","0,074","-2,061","0,615","0,839","1,889","-0,823","-1,125","-3,379","-2,129","-0,274","0,680","0,843","0,019","1,690","-0,748"
63,"-0,490","-1,352","0,232","0,566","-0,701","0,557","0,183","-1,732","0,537","1,483","1,471","-0,617","-1,063","-3,426","-1,503","-0,437","0,753","0,666","-0,687","0,975","-0,843"
64,"-0,070","-0,961","0,643","0,430","-0,946","0,386","0,057","-1,357","0,556","1,861","1,151","-0,068","-0,816","-3,481","-0,605","-0,389","0,744","0,808","-0,626","0,741","-0,751"
65,"-0,026","-0,931","0,552","0,304","-0,885","0,335","0,249","-1,314","0,387","0,973","0,561","-0,329","-0,632","-3,391","0,025","-0,200","0,575","0,627","-0,380","0,613","-0,715"
66,"0,023","-0,709","0,444","0,369","-0,824","0,390","0,014","-1,029","0,260","-0,059","0,516","-0,477","-0,207","-3,005","0,855","-0,117","0,500","0,331","0,205","0,567","-0,333"
67,"-0,252","-0,450","-0,010","0,435","-0,763","0,445","-0,188","-0,747","0,213","-0,093","0,222","-0,550","-0,087","-2,698","1,520","-0,101","0,374","0,054","0,461","0,185","-0,344"
68,"-0,172","-0,526","-0,201","0,425","-0,885","0,325","-0,110","-0,598","0,141","-0,370","-0,575","-0,113","-0,090","-2,298","1,806","0,225","0,177","-0,307","0,422","-0,090","-0,530"
69,"0,126","-0,073","0,213","0,304","-0,642","0,333","-0,346","-0,186","0,067","-0,849","-1,556","-0,369","-0,338","-1,764","2,097","0,196","-0,312","-0,354","-0,216","-0,002","-0,204"
70,"0,269","0,025","0,272","0,172","-0,642","0,221","-0,148","0,150","0,046","0,949","-1,495","0,216","-0,462","-1,548","2,131","0,147","-0,754","-0,156","0,037","-0,013","-0,321"
71,"0,406","0,164","0,588","0,238","-0,520","0,276","-0,087","0,148","-0,304","0,470","-2,097","0,472","-0,281","-1,482","1,833","0,084","-0,831","-0,192","-0,266","-0,257","-0,256"
72,"0,367","0,093","0,424","0,289","-0,338","0,148","-0,250","0,354","0,049","-0,675","-2,199","-0,105","-0,286","-1,106","1,191","0,147","-0,649","-0,070","-0,043","-0,163","-0,003"
73,"0,269","0,258","0,512","0,147","-0,035","-0,088","-0,238","0,269","0,041","0,050","-1,665","0,154","-0,110","-0,491","0,774","0,449","-0,564","0,044","-0,181","-0,613","-0,449"
74,"0,290","0,417","0,574","0,208","-0,035","-0,092","0,053","0,417","-0,164","0,373","-2,084","0,513","0,191","-0,151","0,484","0,501","-0,598","0,129","0,048","-0,503","-0,281"
75,"0,398","0,403","0,214","0,082","-0,036","-0,143","0,200","0,365","-0,319","0,668","-2,013","0,548","0,189","0,020","0,271","0,289","-0,862","0,237","0,021","-0,011","-0,102"
76,"0,182","0,122","-0,429","0,016","0,086","-0,200","0,321","0,369","-0,181","-0,308","-2,212","0,129","0,064","0,351","0,119","0,268","-1,109","0,281","-0,453","0,456","0,350"
77,"0,114","-0,173","-0,965","0,006","-0,037","-0,321","0,043","0,193","-0,122","0,356","-1,636","0,502","0,000","0,547","-0,038","0,303","-1,229","0,472","-0,444","0,785","0,941"
78,"0,093","-0,332","-1,027","-0,050","0,086","-0,256","-0,046","0,129","-0,042","-0,141","-1,777","0,287","0,183","0,497","-0,149","0,400","-1,353","0,668","-0,081","0,695","1,036"
79,"-0,023","-0,079","-1,041","-0,035","-0,035","-0,073","-0,060","0,340","0,018","0,316","-1,385","0,324","0,240","0,907","-0,136","0,506","-1,446","0,784","0,056","0,410","0,947"
80,"0,172","0,276","-0,221","-0,096","-0,096","-0,067","0,131","0,566","-0,236","-0,205","-1,330","0,349","0,481","1,186","-0,264","0,566","-1,345","0,876","0,205","0,443","0,568"
81,"0,103","0,432","0,000","-0,096","0,026","-0,068","0,422","0,531","-0,355","-0,275","-0,715","-0,206","0,236","1,320","-0,259","0,411","-1,030","0,791","0,384","0,583","0,562"
82,"0,162","0,429","-0,013","-0,222","0,148","-0,120","0,175","0,478","-0,164","0,128","-0,308","0,153","-0,007","1,207","-0,207","0,171","-0,270","0,631","-0,207","0,614","0,265"
83,"0,058","0,240","-0,450","-0,409","0,208","-0,167","0,053","0,234","-0,078","-0,165","-0,910","0,119","-0,064","0,853","-0,246","0,043","0,347","0,477","-0,729","0,241","0,027"
84,"0,175","0,524","-0,261","-0,409","0,330","-0,167","-0,143","-0,045","-0,196","0,182","-0,993","0,238","-0,306","0,604","-0,199","-0,157","0,751","0,281","-0,956","0,232","-0,210"
85,"0,118","0,704","0,015","-0,597","0,391","-0,214","-0,124","0,163","-0,056","0,642","-1,285","0,788","-0,543","-0,004","-0,055","0,034","0,769","0,218","-0,505","-0,063","-0,411"
86,"0,183","0,822","0,288","-0,526","0,514","-0,098","-0,021","0,199","-0,282","0,633","-1,384","0,526","-0,600","-0,367","0,179","0,169","0,660","0,007","-0,453","0,058","-0,341"
87,"0,041","0,724","0,228","-0,354","0,452","-0,234","-0,215","0,465","-0,147","0,580","-0,964","0,441","-0,659","-0,538","0,392","0,533","0,529","-0,046","-0,416","0,417","-0,139"
88,"-0,079","0,567","-0,287","-0,349","0,513","-0,174","-0,515","0,333","-0,124","-0,146","-0,575","0,234","-0,533","-0,950","0,514","0,268","0,564","-0,481","-0,545","0,347","-0,028"
89,"-0,046","0,284","-0,649","-0,354","0,574","-0,235","-0,593","0,367","-0,138","-0,125","-0,770","0,350","-0,412","-0,762","0,629","0,080","1,079","-0,726","-1,152","0,380","-0,107"
90,"-0,064","0,373","-0,751","-0,237","0,573","-0,306","-0,760","0,337","-0,071","0,490","-1,370","0,639","-0,355","-0,433","0,613","0,180","1,276","-1,011","-1,225","0,296","0,092"
91,"-0,113","0,455","-0,707","-0,186","0,694","-0,433","-0,616","0,354","-0,035","0,373","-1,426","0,565","-0,296","-0,186","0,566","0,451","1,350","-1,230","-0,891","0,597","0,435"
92,"0,045","0,521","-0,569","-0,060","0,694","-0,382","-0,325","0,502","-0,240","0,232","-1,273","0,270","-0,301","0,253","0,499","0,379","1,137","-1,272","-0,172","0,636","0,623"
93,"0,265","0,528","-0,420","-0,065","0,694","-0,443","-0,215","0,465","-0,147","-0,231","-1,246","0,077","-0,243","0,531","0,371","0,249","0,904","-1,374","-0,206","1,062","0,921"
94,"0,372","0,427","-0,198","-0,004","0,633","-0,448","-0,450","0,510","-0,050","0,289","-0,769","0,051","-0,060","0,512","0,179","0,019","0,474","-1,192","0,484","0,411","0,096"
95,"0,191","0,492","-0,183","-0,232","0,756","-0,246","-0,317","0,669","-0,144","-0,505","-1,247","0,157","0,060","0,734","0,077","-0,151","0,145","-0,918","-0,349","0,199","-0,131"
96,"0,434","0,602","0,052","-0,475","0,635","-0,226","-0,105","0,794","-0,225","0,460","-1,272","0,263","-0,065","0,985","-0,105","0,000","-0,144","-0,778","-0,265","-0,207","-0,290"
97,"0,362","0,814","0,249","-0,283","0,757","-0,120","0,152","0,888","-0,372","0,772","-1,397","0,768","-0,189","1,175","-0,126","0,075","-0,409","-0,451","0,069","-0,141","0,140"
98,"0,359","0,637","-0,014","-0,339","0,636","-0,053","-0,002","0,647","-0,365","0,344","-1,329","0,188","-0,248","1,085","0,117","-0,007","-0,546","-0,327","0,244","-0,202","0,272"
99,"0,454","0,599","-0,428","-0,212","0,697","-0,003","-0,316","0,486","-0,058","-0,691","-0,968","-0,012","-0,369","0,917","0,193","-0,192","-0,508","-0,288","-0,228","0,365","0,656"
100,"0,275","0,374","-0,628","-0,101","0,696","-0,134","-0,225","0,241","-0,105","-0,073","-0,644","-0,026","-0,125","0,996","0,359","0,180","-0,291","-0,163","0,305","0,035","0,189"
101,"0,242","0,424","-0,506","-0,161","0,757","-0,130","-0,291","0,190","-0,127","0,205","-0,937","0,458","-0,125","1,022","0,414","0,247","-0,346","-0,269","0,315","-0,269","0,176"
