Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
0,"64,965","6,642","3,637","81,580","1,323","1,388","89,336","9,566","-0,326","71,026","16,970","-2,879","86,882","1,569","-6,937","9,097","-2,901","0,231","75,326","9,635","-8,391"
1,"64,778","7,031","3,458","81,874","1,325","1,413","89,340","9,569","-0,325","71,355","17,113","-2,914","86,933","1,601","-6,971","9,392","-2,924","0,240","75,472","9,694","-8,431"
2,"64,798","6,897","3,667","82,000","1,534","1,262","89,344","9,660","-0,493","71,330","17,130","-2,916","87,005","1,866","-6,611","9,529","-2,923","0,244","75,590","9,315","-8,185"
3,"64,860","6,798","3,712","81,836","1,523","1,256","89,218","9,662","-0,482","70,856","16,782","-2,436","86,966","2,174","-6,698","9,488","-2,909","0,242","75,696","9,473","-8,299"
4,"64,850","6,736","3,807","81,872","1,626","1,181","89,197","9,697","-0,569","71,188","16,943","-2,666","87,196","1,967","-6,750","9,529","-2,909","0,243","75,737","9,472","-8,299"
5,"64,935","6,611","3,799","81,867","1,527","1,231","89,208","9,664","-0,480","70,889","16,886","-2,638","86,997","1,972","-6,717","9,529","-2,881","0,240","75,779","9,433","-8,260"
6,"64,872","6,728","3,744","81,850","1,528","1,230","89,190","9,662","-0,481","71,094","16,916","-2,663","87,200","1,974","-6,716","9,529","-2,881","0,240","75,778","9,418","-8,250"
7,"64,920","6,733","3,717","81,771","1,527","1,206","89,109","9,620","-0,482","70,865","16,867","-2,640","87,004","1,962","-6,701","9,529","-2,853","0,238","75,737","9,406","-8,216"
8,"64,858","6,740","3,713","81,777","1,527","1,208","89,126","9,622","-0,481","70,978","16,783","-2,679","87,088","1,896","-6,666","9,536","-2,855","0,238","75,741","9,344","-8,177"
9,"64,895","6,726","3,631","81,746","1,453","1,260","89,118","9,527","-0,429","70,924","16,918","-2,737","87,088","1,896","-6,666","9,529","-2,853","0,238","75,734","9,344","-8,175"
10,"64,920","6,925","3,419","81,494","1,247","1,857","89,319","9,660","-0,401","70,800","16,497","-2,229","86,698","2,186","-6,495","9,375","-3,156","0,291","75,366","9,472","-8,406"
11,"65,386","7,101","3,373","81,560","1,250","1,856","89,555","9,731","-0,399","70,878","16,604","-2,341","87,258","2,156","-6,597","9,407","-2,818","0,237","75,599","9,364","-8,188"
12,"65,057","6,795","3,645","81,629","1,257","1,842","89,028","9,564","-0,450","70,991","17,012","-2,831","86,949","1,792","-6,686","9,675","-3,016","0,272","75,641","9,455","-8,391"
13,"65,549","6,701","3,906","81,134","1,218","1,870","89,090","9,968","-0,334","70,546","16,933","-2,842","86,878","2,261","-6,483","9,373","-2,848","0,247","75,463","9,290","-7,996"
14,"65,283","6,710","3,822","81,526","1,241","1,855","89,031","9,970","-0,335","70,803","16,968","-2,838","86,763","1,954","-6,578","9,607","-3,086","0,290","75,473","9,388","-8,204"
15,"65,360","7,130","3,362","81,421","1,200","1,952","89,433","9,790","-0,404","70,754","16,775","-2,613","86,714","2,188","-6,477","9,264","-3,093","0,294","75,371","9,369","-8,138"
16,"65,069","6,959","3,463","81,743","1,302","1,675","89,125","9,301","-0,539","71,176","17,099","-2,926","87,272","2,204","-6,562","9,593","-3,142","0,305","75,959","9,348","-8,156"
17,"65,494","6,754","3,807","81,326","1,349","1,446","89,197","9,459","-0,479","70,919","16,983","-2,825","86,833","1,764","-6,674","9,410","-2,850","0,257","75,560","9,340","-8,082"
18,"65,084","6,945","3,451","81,456","1,451","1,130","89,128","9,365","-0,490","70,948","16,917","-2,721","87,377","1,794","-6,759","9,281","-2,531","0,207","75,638","9,249","-7,872"
19,"64,883","6,736","3,620","81,362","1,255","1,706","89,089","9,932","-0,302","70,758","16,967","-2,816","86,847","1,986","-6,607","9,343","-2,860","0,262","75,494","9,358","-8,099"
20,"65,355","7,066","3,377","81,826","1,240","1,828","89,532","9,590","-0,416","70,816","16,653","-2,395","87,134","1,924","-6,684","9,580","-3,094","0,299","75,865","9,571","-8,628"
21,"65,281","7,071","3,354","81,266","1,227","1,778","88,972","9,739","-0,355","70,539","16,546","-2,320","87,163","2,549","-6,446","9,259","-2,963","0,275","75,570","9,398","-8,199"
22,"65,223","7,140","3,270","81,738","1,249","1,792","89,295","9,265","-0,518","71,058","16,730","-2,428","87,579","2,144","-6,665","9,530","-3,160","0,306","76,077","9,549","-8,613"
23,"65,465","6,964","3,567","81,505","1,168","2,000","89,410","9,896","-0,335","70,993","17,008","-2,802","87,159","2,150","-6,586","9,202","-3,066","0,289","75,538","9,434","-8,282"
24,"65,661","6,821","3,820","81,493","1,297","1,581","89,511","9,743","-0,399","70,736","16,630","-2,387","86,649","2,197","-6,480","9,401","-2,790","0,244","75,457","9,361","-8,107"
25,"65,093","6,849","3,645","81,330","1,381","1,278","89,337","9,514","-0,481","70,820","16,931","-2,753","87,062","2,266","-6,512","9,065","-2,735","0,236","75,263","9,244","-7,814"
26,"64,995","6,552","3,963","81,265","1,555","0,712","89,329","9,540","-0,478","70,419","16,764","-2,642","87,014","2,258","-6,502","9,155","-2,405","0,186","75,539","9,051","-7,402"
27,"64,839","6,583","3,878","80,943","1,463","0,937","88,819","9,633","-0,426","70,471","16,829","-2,716","87,074","2,158","-6,548","9,083","-2,734","0,241","75,259","9,207","-7,714"
