Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,612","-0,146","-0,643","-0,484","0,101","-0,112","-0,187","-0,052","-0,111","-0,480","-0,094","-1,040","-0,340","0,021","0,111","-0,356","0,173","-0,006","0,242","0,106","0,040"
1,"-0,309","-0,195","-0,427","-0,574","0,113","0,268","-0,460","0,572","-0,535","-0,380","-0,086","-0,739","-0,155","0,004","0,060","-0,445","0,054","-0,007","0,368","0,120","0,090"
2,"-0,188","-0,208","-0,290","-0,489","0,149","-0,183","-0,654","0,810","-0,455","-0,470","-0,026","-0,489","-0,167","0,086","0,353","-0,513","-0,020","-0,042","0,480","0,202","-0,069"
3,"0,055","-0,223","-0,152","-0,389","0,101","-0,432","-0,341","0,333","-0,375","-0,461","0,043","0,062","-0,131","0,265","1,001","-0,480","-0,265","0,088","0,667","0,215","-0,024"
4,"-0,006","-0,099","-0,004","-0,481","0,033","-0,785","-0,263","0,576","-0,489","-0,240","0,226","0,306","-0,072","0,281","1,063","-0,202","-0,256","0,062","0,789","0,154","-0,017"
5,"-0,373","-0,052","0,107","-0,497","-0,002","-0,964","-0,258","0,241","-0,318","-0,248","0,271","0,233","-0,178","0,033","0,621","-0,114","-0,635","0,155","0,494","0,075","0,156"
6,"-0,497","0,271","0,765","-0,537","-0,074","-0,697","0,129","0,213","-0,275","-0,414","0,305","0,373","-0,361","0,168","0,639","-0,092","-0,776","0,197","0,433","-0,042","0,193"
7,"-0,622","0,492","1,333","-0,474","0,004","0,030","0,105","0,061","-0,159","-0,256","0,257","0,174","-0,365","0,201","0,757","-0,328","-1,004","0,172","0,377","-0,024","0,256"
8,"-0,621","0,562","1,175","-0,640","0,103","0,213","0,212","0,121","-0,219","-0,566","0,252","0,153","-0,488","0,142","0,768","-0,335","-1,495","-0,065","0,382","0,051","0,298"
9,"-0,619","0,451","0,891","-0,584","0,090","0,148","0,407","0,005","-0,236","-0,483","0,055","0,378","-0,359","0,458","2,142","-0,151","-1,451","0,341","0,438","-0,025","0,251"
10,"-0,255","0,357","0,995","-0,809","0,062","-0,325","0,511","0,271","-0,218","-0,089","-0,019","0,597","-0,246","0,522","2,382","-0,106","-0,984","0,124","0,630","-0,055","0,371"
11,"-0,012","0,321","1,075","-0,638","-0,025","-0,448","0,385","0,223","-0,242","0,001","-0,078","0,346","-0,334","0,220","1,513","0,274","-1,147","0,263","0,939","-0,046","0,407"
12,"-0,013","0,331","1,268","-0,735","0,075","-0,895","0,336","0,298","-0,443","0,015","-0,105","-0,029","-0,384","0,272","1,243","0,354","-0,801","0,235","1,013","0,119","0,546"
13,"-0,381","0,387","1,571","-0,817","0,030","-1,128","0,480","0,082","-0,151","-0,123","-0,124","-0,638","-0,271","0,203","1,456","0,389","-0,736","0,349","0,953","0,121","0,550"
14,"-0,812","0,238","2,020","-0,812","-0,018","-1,057","0,469","0,131","-0,185","-0,169","-0,030","-1,033","-0,265","0,095","1,297","0,278","-0,526","0,231","0,892","0,239","0,522"
15,"-0,875","0,292","2,326","-0,928","-0,063","-0,976","0,290","0,114","-0,148","-0,335","0,003","-0,893","-0,268","0,246","1,381","0,054","-0,481","0,144","0,882","0,089","0,438"
16,"-0,752","0,304","2,191","-0,819","0,039","-0,444","0,338","0,169","-0,195","-0,456","-0,052","-0,864","-0,391","0,321","1,419","0,168","-0,193","0,171","0,761","0,151","0,431"
17,"-0,445","0,169","1,852","-0,677","0,022","-0,204","0,177","0,268","-0,322","-0,304","0,059","-0,657","-0,368","0,158","0,832","0,088","-0,350","0,124","0,878","0,132","0,363"
