Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,983","-0,185","-0,004","0,000","0,995","-0,092","0,044","0,000","0,887","0,448","0,116","0,000","0,991","-0,118","0,062","0,000","0,991","-0,134","-0,020","0,000","0,880","0,429","-0,202","0,000","0,990","-0,137","0,038","0,000"
1,"0,982","-0,186","-0,002","0,000","0,995","-0,092","0,044","0,000","0,887","0,448","0,116","0,000","0,991","-0,117","0,065","0,000","0,991","-0,135","-0,019","0,000","0,880","0,431","-0,199","0,000","0,990","-0,138","0,038","0,000"
2,"0,982","-0,186","-0,002","0,000","0,995","-0,092","0,044","0,000","0,886","0,447","0,120","0,000","0,991","-0,118","0,066","0,000","0,991","-0,135","-0,019","0,000","0,880","0,431","-0,199","0,000","0,990","-0,138","0,038","0,000"
3,"0,982","-0,186","-0,004","0,000","0,995","-0,091","0,044","0,000","0,887","0,448","0,116","0,000","0,991","-0,118","0,066","0,000","0,991","-0,133","-0,020","0,000","0,880","0,431","-0,199","0,000","0,990","-0,137","0,037","0,000"
4,"0,982","-0,187","-0,004","0,000","0,995","-0,091","0,044","0,000","0,886","0,448","0,117","0,000","0,991","-0,118","0,066","0,000","0,991","-0,133","-0,020","0,000","0,880","0,431","-0,199","0,000","0,990","-0,137","0,037","0,000"
5,"0,983","-0,186","-0,004","0,000","0,995","-0,091","0,044","0,000","0,886","0,448","0,117","0,000","0,991","-0,117","0,066","0,000","0,991","-0,132","-0,020","0,000","0,880","0,431","-0,199","0,000","0,990","-0,137","0,037","0,000"
6,"0,983","-0,186","-0,004","0,000","0,995","-0,091","0,044","0,000","0,886","0,448","0,117","0,000","0,991","-0,118","0,066","0,000","0,991","-0,132","-0,019","0,000","0,880","0,431","-0,199","0,000","0,990","-0,137","0,037","0,000"
7,"0,983","-0,183","-0,005","0,000","0,995","-0,091","0,044","0,000","0,886","0,448","0,117","0,000","0,991","-0,117","0,065","0,000","0,991","-0,132","-0,019","0,000","0,880","0,431","-0,199","0,000","0,990","-0,137","0,037","0,000"
8,"0,983","-0,183","-0,005","0,000","0,995","-0,091","0,044","0,000","0,886","0,448","0,117","0,000","0,991","-0,117","0,065","0,000","0,991","-0,132","-0,019","0,000","0,881","0,430","-0,199","0,000","0,990","-0,137","0,037","0,000"
9,"0,983","-0,182","-0,005","0,000","0,995","-0,090","0,044","0,000","0,886","0,449","0,116","0,000","0,991","-0,116","0,065","0,000","0,991","-0,132","-0,019","0,000","0,880","0,430","-0,200","0,000","0,990","-0,137","0,037","0,000"
10,"0,983","-0,181","-0,002","0,001","0,995","-0,089","0,041","0,000","0,885","0,449","0,119","-0,001","0,991","-0,115","0,062","0,000","0,991","-0,131","-0,022","0,000","0,881","0,428","-0,202","0,001","0,990","-0,136","0,039","0,000"
11,"0,983","-0,184","-0,003","0,001","0,995","-0,092","0,043","0,000","0,884","0,451","0,118","0,000","0,992","-0,114","0,060","0,000","0,991","-0,128","-0,023","0,000","0,880","0,431","-0,202","0,001","0,990","-0,138","0,037","0,000"
12,"0,983","-0,182","-0,001","0,001","0,995","-0,090","0,045","0,000","0,886","0,449","0,117","0,000","0,992","-0,115","0,057","-0,001","0,991","-0,131","-0,022","0,000","0,880","0,430","-0,205","0,003","0,990","-0,137","0,040","0,001"
13,"0,983","-0,182","-0,004","0,001","0,995","-0,090","0,048","0,000","0,886","0,448","0,116","0,000","0,992","-0,115","0,060","0,000","0,991","-0,133","-0,020","0,000","0,880","0,430","-0,202","0,001","0,990","-0,134","0,039","0,001"
14,"0,983","-0,184","-0,006","0,000","0,995","-0,091","0,045","0,000","0,885","0,450","0,116","0,000","0,991","-0,118","0,061","-0,001","0,991","-0,131","-0,021","0,000","0,879","0,432","-0,203","0,001","0,990","-0,136","0,038","0,000"
15,"0,982","-0,187","-0,007","0,000","0,995","-0,094","0,044","-0,001","0,885","0,450","0,119","-0,001","0,991","-0,118","0,064","0,000","0,992","-0,128","-0,020","0,001","0,880","0,429","-0,203","0,002","0,990","-0,134","0,036","0,000"
16,"0,983","-0,185","-0,009","0,000","0,995","-0,093","0,041","-0,001","0,886","0,448","0,117","0,000","0,991","-0,116","0,066","0,000","0,991","-0,131","-0,020","0,001","0,880","0,429","-0,201","0,001","0,990","-0,136","0,037","0,000"
17,"0,983","-0,183","-0,011","0,000","0,995","-0,090","0,041","-0,001","0,885","0,450","0,117","0,000","0,991","-0,114","0,064","0,000","0,991","-0,133","-0,021","0,001","0,881","0,427","-0,202","0,002","0,990","-0,137","0,034","0,000"
18,"0,983","-0,181","-0,009","0,001","0,995","-0,093","0,042","-0,001","0,885","0,449","0,120","-0,002","0,991","-0,116","0,062","-0,001","0,991","-0,131","-0,019","0,001","0,880","0,428","-0,204","0,003","0,990","-0,137","0,037","0,000"
19,"0,984","-0,179","-0,010","0,000","0,995","-0,090","0,044","-0,001","0,886","0,449","0,117","-0,001","0,991","-0,118","0,063","-0,001","0,992","-0,128","-0,019","0,001","0,881","0,429","-0,201","0,001","0,990","-0,134","0,036","0,000"
20,"0,983","-0,181","-0,008","0,001","0,995","-0,088","0,043","-0,001","0,886","0,448","0,120","-0,002","0,991","-0,115","0,063","-0,001","0,991","-0,131","-0,019","0,001","0,880","0,431","-0,202","0,001","0,990","-0,135","0,039","0,001"
21,"0,984","-0,178","-0,007","0,001","0,995","-0,089","0,046","-0,001","0,886","0,449","0,117","-0,001","0,991","-0,117","0,060","-0,001","0,991","-0,134","-0,018","0,001","0,881","0,429","-0,201","0,001","0,990","-0,137","0,038","0,001"
22,"0,983","-0,181","-0,007","0,001","0,995","-0,090","0,043","-0,001","0,886","0,447","0,119","-0,002","0,992","-0,115","0,059","-0,001","0,991","-0,131","-0,019","0,001","0,880","0,431","-0,202","0,001","0,990","-0,136","0,040","0,001"
23,"0,983","-0,184","-0,008","0,001","0,995","-0,088","0,045","-0,001","0,886","0,449","0,117","-0,001","0,991","-0,115","0,062","-0,001","0,991","-0,133","-0,021","0,001","0,881","0,429","-0,202","0,001","0,990","-0,137","0,038","0,001"
24,"0,983","-0,186","-0,006","0,001","0,995","-0,090","0,043","-0,001","0,887","0,447","0,117","-0,001","0,992","-0,112","0,062","-0,001","0,991","-0,130","-0,021","0,001","0,879","0,431","-0,202","0,001","0,990","-0,137","0,040","0,001"
25,"0,983","-0,185","-0,008","0,001","0,995","-0,089","0,046","-0,001","0,886","0,449","0,119","-0,002","0,991","-0,115","0,064","-0,001","0,991","-0,133","-0,021","0,001","0,881","0,429","-0,201","0,001","0,990","-0,136","0,038","0,001"
26,"0,983","-0,185","-0,005","0,001","0,995","-0,092","0,045","-0,001","0,885","0,450","0,117","0,000","0,992","-0,112","0,064","-0,001","0,991","-0,130","-0,023","0,001","0,880","0,428","-0,204","0,003","0,990","-0,134","0,039","0,001"
27,"0,983","-0,183","-0,004","0,002","0,995","-0,090","0,045","-0,001","0,886","0,448","0,119","-0,001","0,992","-0,114","0,062","-0,001","0,991","-0,131","-0,020","0,001","0,880","0,430","-0,202","0,001","0,990","-0,136","0,039","0,001"
28,"0,983","-0,182","-0,001","0,002","0,995","-0,092","0,044","-0,001","0,885","0,450","0,117","0,000","0,992","-0,112","0,060","-0,001","0,991","-0,132","-0,017","0,001","0,879","0,432","-0,203","0,001","0,989","-0,139","0,040","0,001"
29,"0,983","-0,182","-0,004","0,001","0,995","-0,093","0,041","-0,001","0,885","0,452","0,115","0,001","0,992","-0,115","0,061","-0,001","0,991","-0,134","-0,018","0,001","0,879","0,433","-0,200","0,000","0,990","-0,137","0,038","0,000"
30,"0,983","-0,182","-0,004","0,001","0,995","-0,094","0,041","-0,001","0,885","0,452","0,115","0,001","0,991","-0,115","0,061","-0,001","0,991","-0,134","-0,019","0,001","0,879","0,432","-0,200","0,000","0,990","-0,137","0,038","0,000"
