Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,001","-0,002","0,880","-0,006","0,000","1,007","0,003","0,001","0,950","-0,001","0,003","0,947","-0,001","-0,001","1,041","0,002","-0,007","0,954","0,005","0,000","1,010"
1,"0,003","-0,003","0,882","-0,003","0,000","1,010","-0,001","0,001","0,943","0,001","0,001","0,950","-0,001","-0,002","1,038","-0,003","0,003","0,956","0,002","0,003","1,007"
2,"0,002","-0,001","0,885","-0,004","0,001","1,008","-0,001","0,003","0,947","0,000","0,002","0,950","-0,001","0,000","1,042","-0,002","-0,003","0,961","0,005","0,001","1,006"
3,"0,000","0,000","0,885","-0,001","-0,005","1,004","-0,001","0,001","0,945","-0,001","0,001","0,952","0,002","-0,002","1,049","0,001","0,002","0,960","0,002","-0,004","1,011"
4,"0,002","-0,001","0,885","0,000","-0,001","1,007","-0,001","-0,005","0,950","0,001","-0,001","0,952","0,001","0,000","1,046","-0,003","0,005","0,961","0,001","0,002","1,007"
5,"0,002","0,002","0,888","-0,001","-0,006","1,008","0,000","-0,004","0,948","-0,005","-0,001","0,953","0,001","-0,002","1,043","0,000","0,001","0,965","0,003","0,001","1,011"
6,"0,001","0,000","0,881","-0,003","-0,005","1,005","-0,001","0,003","0,945","0,000","0,000","0,948","-0,001","-0,003","1,045","-0,002","0,002","0,964","0,003","-0,001","1,007"
7,"0,000","0,000","0,883","-0,004","0,001","1,007","-0,002","0,000","0,945","-0,003","0,003","0,951","-0,005","-0,005","1,042","0,001","0,005","0,966","0,002","0,001","1,007"
8,"0,001","0,000","0,881","-0,004","-0,002","1,007","-0,002","0,003","0,952","-0,003","0,003","0,946","-0,004","-0,004","1,040","-0,001","0,005","0,957","0,001","0,001","1,010"
9,"-0,003","0,001","0,883","0,001","-0,002","1,007","-0,003","0,000","0,944","-0,006","0,004","0,952","0,000","0,000","1,042","0,002","0,002","0,963","0,000","0,005","1,004"
10,"-0,002","0,003","0,881","-0,002","0,000","1,010","-0,002","0,000","0,949","-0,002","0,005","0,952","0,000","0,001","1,038","0,001","0,001","0,957","0,000","-0,005","1,003"
11,"-0,001","-0,001","0,883","0,000","0,000","1,007","0,001","0,000","0,949","-0,004","0,003","0,948","-0,004","-0,003","1,042","0,001","0,002","0,957","0,002","0,003","1,004"
12,"0,000","-0,003","0,886","0,000","0,000","1,009","0,000","-0,004","0,943","-0,004","0,004","0,949","-0,003","-0,004","1,045","0,003","0,000","0,961","0,005","-0,005","1,003"
13,"0,004","-0,004","0,884","-0,005","-0,004","1,007","0,000","-0,001","0,949","-0,006","0,000","0,957","0,000","-0,001","1,042","0,003","0,000","0,960","0,005","-0,005","1,001"
14,"-0,001","-0,002","0,884","-0,001","-0,001","1,004","-0,002","-0,001","0,949","-0,002","0,000","0,951","-0,002","-0,007","1,042","0,004","0,004","0,960","0,001","0,002","1,008"
15,"0,005","-0,004","0,882","-0,006","-0,002","1,007","0,000","0,003","0,947","-0,007","0,003","0,948","-0,004","-0,002","1,044","-0,003","0,002","0,965","0,000","0,000","1,009"
16,"0,001","0,001","0,885","-0,002","-0,001","1,007","-0,003","0,003","0,950","-0,002","0,002","0,950","0,000","-0,004","1,040","0,003","-0,001","0,961","0,004","0,000","1,003"
17,"0,003","-0,003","0,884","-0,002","0,003","1,005","-0,002","-0,004","0,945","-0,006","0,002","0,954","-0,003","-0,003","1,042","-0,005","0,002","0,959","0,007","-0,003","1,014"
18,"0,002","-0,001","0,888","-0,001","0,001","1,009","-0,001","0,001","0,948","-0,004","0,000","0,950","-0,004","-0,006","1,045","-0,001","0,004","0,958","0,000","0,001","1,010"
19,"0,003","-0,006","0,885","-0,005","-0,003","1,008","-0,005","-0,004","0,942","-0,008","0,004","0,950","-0,002","-0,005","1,044","-0,003","-0,003","0,961","0,001","0,001","1,009"
20,"0,004","-0,003","0,883","-0,003","0,002","1,006","-0,001","-0,003","0,949","-0,009","0,003","0,960","0,000","-0,004","1,039","0,002","0,004","0,964","0,000","0,001","1,008"
21,"-0,003","-0,006","0,881","-0,003","0,001","1,005","-0,003","-0,002","0,947","-0,004","0,002","0,949","0,002","-0,004","1,044","0,006","0,001","0,962","0,000","-0,001","1,005"
22,"-0,001","-0,007","0,883","-0,005","0,000","1,008","0,001","0,003","0,946","-0,007","-0,001","0,957","-0,001","0,000","1,042","0,001","0,003","0,958","-0,001","-0,001","1,006"
23,"0,000","-0,002","0,877","-0,002","-0,006","1,011","-0,006","0,000","0,945","-0,005","0,000","0,956","-0,005","-0,006","1,042","0,000","-0,001","0,963","0,004","-0,007","1,007"
24,"-0,001","0,002","0,884","-0,003","-0,004","1,011","-0,002","0,000","0,946","-0,002","0,000","0,952","-0,003","-0,002","1,042","-0,001","-0,001","0,954","0,000","-0,002","1,002"
