Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,023","-0,388","-0,256","0,035","-0,105","0,136","0,047","0,035","0,049","0,055","-0,221","0,376","0,038","0,315","0,510","-0,207","0,112","0,086","0,461","0,086","-0,147"
1,"0,099","-0,293","-0,158","0,047","-0,104","-0,143","-0,024","-0,061","-0,017","0,136","-0,088","0,160","-0,252","0,303","0,346","-0,188","0,020","0,009","0,704","0,203","-0,182"
2,"-0,021","0,017","-0,194","0,113","-0,242","-0,434","-0,039","-0,021","-0,060","0,080","-0,113","0,038","-0,004","0,279","0,316","-0,626","0,098","-0,192","0,404","0,114","-0,026"
3,"0,103","0,171","-0,308","-0,016","-0,318","-0,440","0,055","-0,051","0,051","0,070","-0,218","0,125","-0,102","0,160","0,091","-0,325","-0,090","-0,182","0,282","-0,004","0,006"
4,"-0,020","0,228","-0,135","0,034","-0,348","-0,504","0,041","-0,010","0,008","0,060","-0,483","0,061","0,094","0,212","-0,056","-1,111","-1,985","0,938","0,282","-0,004","0,006"
5,"-0,022","0,169","0,077","0,066","-0,268","-0,343","0,094","-0,050","-0,047","0,060","-0,483","0,061","0,001","0,063","-0,334","1,084","-3,755","1,087","0,160","0,116","-0,018"
6,"0,038","0,110","0,096","0,055","-0,295","-0,397","0,091","0,081","-0,009","0,010","-0,375","-0,029","0,072","-0,047","-0,405","2,734","-3,270","1,386","0,341","-0,018","-0,055"
7,"-0,145","0,130","0,153","0,034","-0,076","-0,224","0,150","0,086","-0,024","-0,096","-0,292","-0,242","0,087","-0,189","-0,536","3,381","-2,820","1,484","0,221","0,056","-0,006"
8,"0,161","0,244","0,117","0,033","-0,051","0,109","-0,006","0,074","0,104","-0,137","0,008","-0,314","-0,040","-0,162","-0,494","2,032","-2,271","0,789","0,284","0,069","0,051"
9,"0,405","0,128","-0,036","0,078","0,001","0,351","0,047","0,035","0,049","0,168","0,065","-0,250","0,129","-0,153","-0,341","1,128","-1,580","0,511","0,284","0,188","0,024"
10,"0,345","0,282","0,042","-0,012","0,140","0,508","-0,145","0,058","0,050","0,109","0,215","-0,163","-0,005","-0,151","-0,217","1,170","-1,456","0,470","0,219","0,339","-0,135"
11,"0,101","0,265","-0,018","0,147","0,079","0,368","-0,059","0,114","0,159","0,099","0,110","-0,076","0,051","-0,067","-0,187","1,622","-1,541","0,488","0,402","0,100","-0,085"
12,"0,101","0,170","-0,115","0,046","0,193","0,470","-0,074","0,155","0,116","0,017","-0,256","-0,056","-0,081","-0,011","-0,092","1,323","-1,135","0,410","0,521","0,085","-0,148"
13,"0,098","-0,102","0,037","-0,002","0,196","0,202","-0,089","0,195","0,073","0,135","-0,322","-0,036","-0,074","0,013","-0,175","0,704","-0,844","0,393","0,343","0,174","-0,038"
14,"0,159","-0,141","0,114","0,050","0,112","0,164","-0,215","0,270","0,100","0,063","-0,497","0,002","-0,076","-0,040","-0,146","0,378","-0,567","0,174","0,219","0,161","-0,093"
15,"-0,026","-0,295","0,227","-0,152","0,067","0,088","-0,192","0,143","0,146","0,056","-0,542","0,075","-0,127","-0,153","-0,229","0,181","-0,311","0,110","0,221","0,115","-0,020"
16,"0,280","-0,200","0,134","0,064","0,058","-0,089","-0,089","0,195","0,073","-0,060","-0,563","-0,051","0,226","-0,087","-0,087","0,024","-0,151","0,072","0,284","0,188","0,024"
17,"-0,023","-0,043","0,017","-0,056","0,064","-0,067","-0,104","0,236","0,030","-0,055","-0,431","-0,019","-0,074","0,013","-0,175","-0,198","0,066","0,047","-0,027","0,089","-0,131"
18,"-0,084","0,111","0,095","-0,082","0,120","-0,228","-0,080","0,109","0,076","0,132","-0,308","0,024","-0,092","-0,142","0,049","-0,572","0,484","-0,159","-0,206","0,059","0,008"
19,"-0,145","0,053","0,114","-0,011","0,144","-0,185","-0,104","0,236","0,030","0,141","-0,116","0,042","-0,094","-0,006","0,043","-0,743","0,777","-0,263","-0,025","0,044","-0,058"
20,"-0,204","0,132","-0,041","0,004","0,061","-0,078","-0,024","0,106","-0,205","0,024","-0,211","-0,130","0,019","0,162","0,103","-1,010","0,958","-0,352","0,162","0,130","0,041"
21,"-0,144","0,093","0,037","0,009","-0,049","-0,025","-0,115","0,145","-0,051","0,142","-0,277","-0,109","0,081","0,217","0,079","-1,112","1,236","-0,613","-0,025","-0,015","-0,044"
22,"-0,207","-0,004","0,132","0,090","0,002","0,072","-0,056","0,151","-0,066","0,141","-0,350","-0,154","0,025","0,133","0,050","-1,222","1,128","-0,415","0,217","-0,091","-0,097"
23,"-0,206","-0,061","-0,042","0,064","0,058","-0,089","0,070","0,076","-0,093","0,144","-0,364","-0,213","-0,036","0,132","0,044","-1,069","1,054","-0,482","0,219","-0,017","-0,052"
24,"-0,268","-0,004","0,131","-0,054","0,009","-0,041","-0,033","0,024","-0,020","0,146","-0,217","-0,122","0,025","0,133","0,050","-1,018","1,131","-0,562","0,160","0,056","-0,004"
25,"-0,144","-0,003","-0,061","0,033","-0,051","0,109","-0,118","-0,031","-0,129","0,028","-0,152","-0,143","-0,094","-0,006","0,043","-0,825","1,053","-0,421","0,156","0,029","-0,123"
26,"-0,267","-0,060","-0,043","0,006","0,006","-0,051","-0,056","-0,017","0,122","-0,091","-0,159","-0,210","-0,149","-0,036","-0,016","-0,651","0,977","-0,385","0,341","0,101","-0,083"
27,"-0,329","-0,080","0,092","-0,098","-0,072","0,077","0,091","-0,087","0,178","-0,140","0,022","-0,255","-0,077","-0,094","-0,116","-0,706","0,987","-0,410","0,341","0,101","-0,083"
28,"-0,267","-0,099","0,034","0,033","-0,051","0,109","-0,009","-0,102","0,026","-0,085","0,046","-0,132","-0,090","-0,089","0,019","-0,567","0,919","-0,295","0,465","0,054","-0,014"
29,"-0,207","-0,177","-0,005","-0,041","-0,020","0,040","-0,039","-0,021","-0,060","-0,068","0,123","-0,338","0,035","-0,169","0,007","-0,608","0,796","-0,253","0,524","0,040","-0,075"
30,"0,096","-0,296","0,228","-0,131","-0,151","-0,085","-0,083","-0,067","-0,002","-0,389","0,062","-0,150","-0,136","-0,231","-0,117","-0,569","0,701","-0,227","0,708","0,230","-0,063"
31,"-0,209","-0,313","0,168","0,000","-0,130","-0,052","0,050","-0,096","0,011","-0,087","0,060","-0,073","0,031","-0,086","0,031","-0,576","0,570","-0,264","0,530","-0,037","0,130"
32,"-0,085","-0,140","0,112","0,058","-0,078","-0,089","0,055","-0,051","0,051","-0,037","-0,047","0,017","0,021","0,026","0,108","-0,309","0,390","-0,176","0,465","-0,065","0,014"
33,"-0,146","-0,139","0,112","0,069","-0,051","-0,036","0,070","-0,091","0,095","0,022","-0,124","-0,025","0,020","-0,028","0,137","-0,065","0,389","-0,116","0,404","-0,005","0,002"
34,"-0,145","0,130","0,153","-0,011","-0,157","-0,106","0,167","-0,085","-0,019","0,070","-0,218","0,125","-0,102","-0,030","0,126","0,013","0,200","-0,063","0,223","0,129","0,039"
35,"-0,388","0,094","0,035","-0,120","-0,125","-0,031","0,032","0,075","0,006","-0,120","-0,327","0,142","0,154","-0,030","0,013","0,191","0,165","-0,170","-0,082","0,131","0,049"
36,"-0,024","-0,005","0,133","-0,163","0,041","0,034","0,020","-0,015","-0,075","0,069","-0,291","0,079","-0,013","-0,175","-0,135","-0,017","0,248","-0,128","0,038","0,176","-0,028"
37,"-0,025","-0,179","0,190","0,054","0,002","0,217","0,041","-0,010","0,008","0,066","-0,277","0,139","-0,018","-0,146","-0,081","-0,056","0,343","-0,154","-0,019","0,204","0,093"
38,"-0,025","-0,179","0,190","0,108","-0,136","0,206","-0,047","-0,103","0,124","0,140","-0,189","-0,004","0,158","-0,113","-0,011","0,115","0,444","-0,042","0,288","0,156","0,156"
