Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"83,875","1,651","-3,586","101,678","10,354","5,788","68,745","9,253","1,328","89,611","-3,838","5,700","98,303","4,145","-0,026","72,235","20,818","-5,797","11,952","-2,878","0,301"
1,"83,877","1,674","-3,695","101,732","10,439","5,784","68,487","9,230","1,412","89,616","-3,821","5,788","98,303","4,131","-0,029","72,390","20,820","-5,833","11,952","-2,989","0,313"
2,"83,904","1,485","-3,559","101,725","10,330","5,551","68,506","9,253","1,412","89,605","-3,616","5,622","98,464","4,236","0,179","72,283","20,894","-5,827","11,952","-2,989","0,313"
3,"83,731","1,678","-3,693","101,663","10,350","5,614","68,761","9,204","1,418","89,403","-3,684","5,666","98,351","4,144","-0,025","72,395","20,855","-5,832","11,806","-2,988","0,309"
4,"83,736","1,678","-3,694","101,670","10,368","5,621","68,672","9,244","1,414","89,402","-3,686","5,669","98,428","4,146","-0,022","72,283","20,865","-5,800","11,811","-2,989","0,309"
5,"83,623","1,665","-3,607","101,636","10,370","5,616","68,744","9,192","1,434","89,383","-3,675","5,582","98,321","4,199","-0,008","72,291","20,872","-5,770","11,806","-2,905","0,300"
6,"83,624","1,570","-3,540","101,736","10,349","5,552","68,735","9,224","1,448","89,379","-3,604","5,525","98,330","4,253","0,096","72,259","20,890","-5,773","11,811","-2,906","0,301"
7,"83,462","1,570","-3,507","101,656","10,349","5,546","68,821","9,172","1,470","89,292","-3,602","5,490","98,145","4,252","0,099","72,272","20,889","-5,781","11,806","-2,877","0,297"
8,"83,464","1,481","-3,467","101,742","10,348","5,551","68,801","9,189","1,463","89,386","-3,602","5,525","98,178","4,306","0,203","72,297","20,877","-5,775","11,811","-2,906","0,301"
9,"83,473","1,480","-3,465","101,661","10,345","5,555","68,754","9,190","1,445","89,381","-3,617","5,535","98,180","4,304","0,203","72,338","20,874","-5,785","11,806","-2,905","0,300"
10,"83,035","1,622","-3,821","102,088","10,705","5,749","68,764","9,119","1,521","89,279","-3,750","6,114","98,214","4,048","0,075","72,811","21,217","-6,122","11,593","-3,167","0,354"
