Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"0,041","-0,402","-0,111","0,023","-0,009","0,092","0,045","-0,180","0,023","0,022","0,265","0,103","-0,086","-0,009","0,039","-0,046","0,085","-0,036","-0,148","-0,006","0,022"
1,"-0,510","-0,527","-0,141","-0,068","0,032","-0,113","-0,271","-0,080","0,057","-0,026","0,360","-0,046","0,030","0,020","0,103","-0,156","0,106","-0,085","-0,324","0,081","0,138"
2,"0,103","-0,248","-0,032","-0,093","-0,097","-0,254","-0,139","-0,111","0,069","0,031","0,297","-0,029","-0,083","0,100","-0,016","-0,101","0,096","-0,061","-0,205","0,126","0,059"
3,"0,098","-0,229","0,218","-0,108","-0,258","-0,316","-0,219","-0,117","0,000","0,032","0,370","0,017","0,046","-0,008","-0,087","-0,056","0,129","0,005","-0,202","0,199","0,106"
4,"0,108","0,079","-0,013","-0,148","-0,243","-0,585","-0,174","-0,068","-0,055","-0,089","0,376","0,010","0,040","0,156","-0,033","-0,225","0,032","-0,113","-0,090","0,040","-0,054"
5,"0,109","0,137","-0,032","0,077","-0,072","-0,361","-0,220","0,012","0,045","0,013","0,073","0,083","-0,072","0,100","-0,152","-0,125","0,055","-0,023","-0,080","0,197","0,100"
6,"-0,011","0,274","-0,015","0,042","0,059","-0,211","-0,182","0,018","-0,053","0,070","0,011","0,100","0,100","0,157","-0,028","-0,125","0,055","-0,023","-0,269","0,174","-0,010"
7,"-0,070","0,333","-0,035","0,045","-0,053","-0,162","-0,037","0,072","0,044","0,262","0,034","-0,022","-0,083","0,100","-0,016","-0,034","-0,180","-0,022","-0,516","0,224","-0,069"
8,"-0,071","0,352","0,022","0,011","0,078","-0,012","0,095","0,041","0,056","-0,046","-0,010","-0,025","0,030","0,020","0,103","-0,046","0,085","-0,036","-0,330","0,234","-0,019"
9,"0,049","0,215","0,005","0,109","0,117","0,224","0,008","0,121","-0,011","-0,040","0,036","-0,098","0,109","0,048","-0,109","-0,060","0,001","-0,040","0,093","0,157","-0,089"
10,"0,167","0,040","0,065","0,166","0,227","0,167","-0,024","0,158","0,130","-0,055","-0,202","-0,045","0,114","0,021","-0,164","-0,030","-0,051","0,022","-0,090","0,159","-0,079"
11,"0,164","-0,172","0,007","0,064","0,280","0,295","0,001","0,078","-0,054","-0,009","-0,283","0,164","0,176","-0,115","-0,159","0,114","-0,075","-0,008","-0,026","0,171","-0,023"
12,"0,162","-0,307","-0,012","0,143","0,271","0,421","0,109","-0,003","0,097","0,101","-0,467","0,211","0,158","0,049","0,031","0,095","0,013","0,074","0,275","-0,024","-0,061"
13,"0,103","-0,345","-0,129","0,059","0,088","0,313","0,087","0,126","0,058","0,031","-0,497","0,339","0,086","0,048","0,162","0,080","-0,072","0,071","0,390","-0,050","-0,186"
14,"-0,196","-0,108","-0,212","0,149","0,122","0,081","0,153","0,175","0,086","-0,023","-0,448","0,263","0,085","-0,007","0,190","0,300","-0,114","0,168","0,512","-0,171","-0,168"
15,"-0,316","-0,164","-0,388","0,066","-0,116","-0,003","0,264","0,144","0,014","-0,058","-0,029","0,166","0,035","-0,008","0,049","0,213","0,170","0,027","0,394","-0,038","-0,127"
16,"-0,499","-0,161","-0,391","-0,020","0,117","-0,226","0,106","0,004","-0,169","-0,088","0,449","0,056","0,059","0,047","-0,250","0,227","0,175","-0,156","0,022","-0,118","-0,214"
17,"-0,318","-0,202","-0,310","-0,038","0,068","-0,336","0,100","-0,039","-0,212","-0,004","0,643","-0,172","-0,112","0,045","-0,401","0,123","0,103","-0,104","-0,215","-0,031","-0,094"
18,"-0,142","-0,418","-0,172","-0,020","0,117","-0,226","0,020","-0,044","-0,281","0,049","0,680","0,009","-0,174","-0,011","-0,379","0,148","0,224","0,044","-0,337","0,090","-0,113"
19,"-0,140","-0,456","-0,288","-0,149","0,097","-0,263","-0,061","-0,228","-0,173","0,107","0,531","-0,080","-0,181","-0,038","-0,298","-0,042","0,134","-0,177","-0,577","0,165","-0,053"
20,"-0,145","-0,611","-0,172","-0,086","-0,017","-0,224","-0,128","-0,148","-0,156","0,089","0,148","-0,118","-0,130","0,017","-0,184","-0,046","0,085","-0,036","-0,821","0,227","-0,053"
