Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
0,"-0,011","-0,291","-0,577","-0,108","-0,441","-0,675","-0,038","0,167","-0,303","-0,123","-0,246","-1,069","0,013","-0,636","-0,489","0,249","-0,196","0,002","-0,179","-0,085","-0,207"
1,"0,260","-0,264","-1,165","-0,094","-0,417","-0,556","-0,142","0,351","-0,121","0,449","-0,007","-0,504","0,249","-0,466","-0,336","0,049","-0,172","0,017","0,115","-0,152","-0,515"
2,"0,396","-0,375","-1,443","-0,245","-0,284","-0,815","-0,096","0,283","-0,230","0,508","-0,166","-0,042","-0,038","-0,150","0,510","0,037","-0,256","0,004","-0,125","-0,124","-0,388"
3,"0,395","-0,432","-1,421","-0,336","-0,353","-0,539","0,048","0,322","-0,125","0,194","-0,150","0,374","-0,308","0,004","1,024","0,126","-0,136","0,005","-0,064","-0,244","-0,364"
4,"0,249","-0,424","-0,906","-0,414","-0,279","-0,169","0,021","0,135","-0,053","0,013","-0,207","0,410","-0,286","-0,251","0,591","0,293","-0,415","-0,047","0,056","-0,079","-0,466"
5,"0,232","-0,347","-0,543","-0,408","-0,088","-0,145","0,165","-0,070","-0,068","-0,022","-0,231","0,607","-0,297","-0,603","-0,388","0,128","-0,323","0,081","0,119","-0,126","-0,396"
6,"0,155","-0,462","-0,174","-0,543","-0,229","-0,225","0,244","-0,319","-0,117","0,083","-0,316","0,484","-0,330","-0,641","-0,951","-0,253","-0,164","-0,058","0,127","-0,253","-0,119"
7,"-0,155","-0,363","-0,097","-0,407","-0,267","-0,109","-0,177","-0,401","-0,073","0,255","-0,151","0,366","-0,385","-0,676","-1,071","-0,289","0,080","-0,189","0,365","-0,175","-0,332"
8,"-0,028","-0,214","-0,215","-0,544","-0,110","-0,249","-0,328","-0,233","-0,106","0,318","-0,174","-0,077","-0,591","-0,539","-0,612","-0,065","0,037","-0,103","0,125","-0,385","-0,153"
9,"0,097","-0,179","-0,288","-0,481","-0,208","-0,739","-0,361","-0,174","-0,225","0,191","-0,086","-0,579","-0,600","-0,428","-0,454","-0,020","-0,058","-0,094","0,001","-0,278","-0,234"
