Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,982","-0,186","-0,023","0,000","0,993","-0,101","0,058","0,000","0,889","0,441","0,121","0,000","0,993","-0,096","0,068","0,000","0,990","-0,140","-0,025","0,000","0,881","0,428","-0,201","0,000","0,994","-0,105","0,018","0,000"
1,"0,982","-0,186","-0,023","0,000","0,993","-0,101","0,058","0,000","0,890","0,439","0,122","0,000","0,993","-0,096","0,069","0,000","0,990","-0,142","-0,022","0,000","0,880","0,429","-0,201","0,000","0,994","-0,106","0,018","0,000"
2,"0,982","-0,186","-0,023","0,000","0,993","-0,102","0,058","0,000","0,890","0,439","0,122","0,000","0,993","-0,096","0,069","0,000","0,989","-0,143","-0,022","0,000","0,880","0,429","-0,201","0,000","0,994","-0,106","0,018","0,000"
3,"0,982","-0,186","-0,023","0,000","0,993","-0,100","0,058","0,000","0,890","0,439","0,122","0,000","0,993","-0,095","0,068","0,000","0,990","-0,142","-0,024","0,000","0,881","0,429","-0,200","0,000","0,994","-0,106","0,017","0,000"
4,"0,982","-0,186","-0,023","0,000","0,993","-0,101","0,059","0,000","0,890","0,439","0,122","0,000","0,993","-0,096","0,069","0,000","0,990","-0,142","-0,024","0,000","0,881","0,428","-0,201","0,000","0,994","-0,106","0,018","0,000"
5,"0,983","-0,183","-0,023","0,000","0,993","-0,099","0,058","0,000","0,890","0,440","0,122","0,000","0,993","-0,095","0,069","0,000","0,990","-0,142","-0,025","0,000","0,881","0,429","-0,200","0,000","0,994","-0,106","0,017","0,000"
6,"0,983","-0,184","-0,023","0,000","0,993","-0,100","0,058","0,000","0,889","0,442","0,122","0,000","0,993","-0,096","0,069","0,000","0,990","-0,142","-0,025","0,000","0,880","0,430","-0,201","0,000","0,994","-0,106","0,017","0,000"
7,"0,983","-0,184","-0,024","0,000","0,993","-0,099","0,058","0,000","0,889","0,442","0,122","0,000","0,993","-0,095","0,069","0,000","0,990","-0,142","-0,025","0,000","0,881","0,429","-0,201","0,000","0,994","-0,106","0,017","0,000"
8,"0,982","-0,186","-0,024","0,000","0,993","-0,100","0,058","0,000","0,889","0,442","0,122","0,000","0,993","-0,096","0,069","0,000","0,990","-0,142","-0,025","0,000","0,881","0,429","-0,201","0,000","0,994","-0,106","0,017","0,000"
9,"0,983","-0,185","-0,024","0,000","0,993","-0,100","0,058","0,000","0,889","0,441","0,122","0,000","0,993","-0,096","0,068","0,000","0,990","-0,142","-0,025","0,000","0,881","0,429","-0,201","0,000","0,994","-0,106","0,017","0,000"
