Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,982","-0,189","-0,019","0,000","0,994","-0,097","0,056","0,000","0,886","0,450","0,110","0,000","0,993","-0,098","0,066","0,000","0,991","-0,134","-0,020","0,000","0,884","0,421","-0,203","0,000","0,995","-0,101","0,018","0,000"
1,"0,982","-0,189","-0,019","0,000","0,994","-0,097","0,056","0,000","0,886","0,451","0,112","0,000","0,993","-0,100","0,068","0,000","0,991","-0,134","-0,020","0,000","0,884","0,421","-0,203","0,000","0,995","-0,101","0,018","0,000"
2,"0,982","-0,189","-0,019","0,000","0,994","-0,097","0,057","0,000","0,885","0,452","0,113","0,000","0,992","-0,103","0,068","0,000","0,991","-0,134","-0,020","0,000","0,886","0,417","-0,204","0,000","0,995","-0,101","0,018","0,000"
3,"0,982","-0,187","-0,019","0,000","0,994","-0,097","0,056","0,000","0,885","0,452","0,111","0,000","0,993","-0,101","0,068","0,000","0,991","-0,133","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,100","0,018","0,000"
4,"0,982","-0,188","-0,019","0,000","0,994","-0,097","0,056","0,000","0,885","0,452","0,111","0,000","0,992","-0,102","0,068","0,000","0,991","-0,134","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,100","0,018","0,000"
5,"0,982","-0,187","-0,019","0,000","0,994","-0,097","0,056","0,000","0,885","0,453","0,110","0,000","0,993","-0,101","0,066","0,000","0,991","-0,133","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,100","0,018","0,000"
6,"0,982","-0,189","-0,019","0,000","0,994","-0,097","0,056","0,000","0,885","0,453","0,110","0,000","0,993","-0,101","0,066","0,000","0,991","-0,133","-0,021","0,000","0,885","0,418","-0,203","0,000","0,995","-0,100","0,018","0,000"
7,"0,982","-0,189","-0,020","0,000","0,994","-0,097","0,056","0,000","0,885","0,452","0,110","0,000","0,993","-0,101","0,066","0,000","0,991","-0,132","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,099","0,018","0,000"
8,"0,982","-0,190","-0,019","0,000","0,994","-0,098","0,056","0,000","0,885","0,452","0,110","0,000","0,993","-0,101","0,066","0,000","0,991","-0,132","-0,021","0,000","0,885","0,418","-0,203","0,000","0,995","-0,099","0,019","0,000"
9,"0,982","-0,190","-0,019","0,000","0,994","-0,097","0,056","0,000","0,885","0,452","0,110","0,000","0,993","-0,101","0,066","0,000","0,991","-0,132","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,099","0,019","0,000"
10,"0,981","-0,192","-0,018","0,000","0,993","-0,099","0,057","0,000","0,884","0,454","0,109","0,001","0,992","-0,104","0,064","0,000","0,991","-0,130","-0,021","0,000","0,884","0,420","-0,205","0,000","0,995","-0,098","0,022","0,000"
11,"0,982","-0,190","-0,018","0,000","0,994","-0,096","0,057","0,000","0,885","0,452","0,108","0,001","0,993","-0,102","0,066","0,000","0,991","-0,132","-0,022","0,000","0,885","0,418","-0,204","0,000","0,995","-0,101","0,023","0,000"
12,"0,982","-0,187","-0,018","0,000","0,993","-0,099","0,056","0,000","0,886","0,450","0,109","0,000","0,993","-0,099","0,066","0,000","0,991","-0,130","-0,021","0,000","0,885","0,417","-0,207","0,002","0,995","-0,099","0,020","0,000"
13,"0,982","-0,190","-0,018","0,000","0,994","-0,097","0,054","0,000","0,885","0,452","0,108","0,001","0,993","-0,100","0,069","0,001","0,991","-0,132","-0,022","0,000","0,885","0,419","-0,205","0,000","0,995","-0,101","0,018","0,000"
