Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"0,006","-0,004","1,042","0,001","-0,004","1,001","0,004","-0,005","0,943","0,001","-0,014","1,008","0,001","-0,008","1,022","-0,001","-0,001","0,959","-0,001","-0,004","0,997"
1,"0,003","-0,015","1,048","0,000","-0,008","0,999","0,000","0,001","0,946","-0,003","-0,008","1,010","0,003","-0,012","1,026","-0,003","0,004","0,959","-0,005","-0,003","1,001"
2,"-0,001","-0,011","1,044","-0,002","-0,005","1,005","0,001","0,000","0,945","0,006","-0,011","1,010","0,006","-0,006","1,025","0,004","0,003","0,962","-0,004","0,006","1,000"
3,"-0,001","-0,005","1,042","-0,002","-0,011","1,004","0,004","-0,001","0,943","0,003","-0,021","1,011","-0,002","-0,014","1,026","0,000","0,001","0,962","0,001","0,000","1,000"
4,"-0,004","-0,010","1,038","0,007","-0,006","1,001","0,004","0,000","0,944","0,000","-0,020","1,006","0,000","-0,008","1,021","0,000","-0,005","0,956","-0,003","-0,001","0,999"
5,"-0,006","0,000","1,040","-0,002","-0,014","1,004","0,003","-0,002","0,945","0,005","-0,024","1,012","0,001","-0,007","1,021","0,002","-0,005","0,959","0,001","-0,001","1,002"
6,"0,010","0,000","1,042","-0,003","-0,008","0,998","0,000","0,000","0,946","0,004","-0,014","1,006","0,003","0,002","1,020","-0,001","0,001","0,954","0,002","-0,004","0,998"
7,"0,002","0,001","1,046","0,000","-0,002","1,003","-0,002","-0,002","0,938","-0,002","-0,002","1,005","0,004","-0,003","1,024","0,005","0,005","0,959","0,000","-0,007","0,998"
8,"0,012","-0,002","1,048","-0,004","0,004","1,000","0,002","-0,002","0,941","-0,009","-0,004","1,009","0,006","-0,006","1,022","0,004","-0,004","0,961","0,000","-0,006","0,996"
9,"0,000","-0,005","1,042","0,001","-0,003","1,005","-0,001","0,000","0,942","-0,007","-0,014","1,011","-0,002","-0,007","1,019","0,004","0,000","0,956","-0,001","0,000","0,999"
