Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,977","-0,212","-0,021","0,000","0,994","-0,095","0,051","0,000","0,887","0,447","0,114","0,000","0,990","-0,118","0,075","0,000","0,991","-0,133","-0,013","0,000","0,881","0,427","-0,205","0,000","0,998","-0,058","0,015","0,000"
1,"0,976","-0,217","-0,019","0,000","0,994","-0,097","0,051","0,000","0,886","0,448","0,117","0,000","0,990","-0,117","0,077","0,000","0,991","-0,135","-0,013","0,000","0,880","0,429","-0,204","0,000","0,998","-0,058","0,017","0,000"
2,"0,976","-0,217","-0,017","0,000","0,994","-0,097","0,053","0,000","0,886","0,448","0,117","0,000","0,990","-0,117","0,077","0,000","0,991","-0,135","-0,013","0,000","0,880","0,429","-0,204","0,000","0,998","-0,058","0,017","0,000"
3,"0,977","-0,215","-0,017","0,000","0,994","-0,097","0,053","0,000","0,886","0,449","0,116","0,000","0,990","-0,117","0,074","0,000","0,991","-0,135","-0,013","0,000","0,880","0,429","-0,205","0,000","0,998","-0,057","0,017","0,000"
4,"0,976","-0,215","-0,017","0,000","0,994","-0,097","0,053","0,000","0,886","0,449","0,116","0,000","0,990","-0,120","0,075","0,000","0,991","-0,135","-0,012","0,000","0,880","0,428","-0,205","0,000","0,998","-0,057","0,017","0,000"
5,"0,977","-0,213","-0,017","0,000","0,994","-0,097","0,052","0,000","0,886","0,449","0,115","0,000","0,990","-0,120","0,074","0,000","0,991","-0,133","-0,013","0,000","0,881","0,427","-0,205","0,000","0,998","-0,056","0,016","0,000"
6,"0,977","-0,213","-0,017","0,000","0,994","-0,097","0,053","0,000","0,886","0,449","0,116","0,000","0,990","-0,120","0,074","0,000","0,991","-0,133","-0,013","0,000","0,880","0,428","-0,205","0,000","0,998","-0,057","0,016","0,000"
7,"0,977","-0,212","-0,017","0,000","0,994","-0,097","0,052","0,000","0,886","0,449","0,116","0,000","0,990","-0,118","0,075","0,000","0,991","-0,133","-0,013","0,000","0,880","0,428","-0,205","0,000","0,998","-0,057","0,015","0,000"
8,"0,977","-0,212","-0,017","0,000","0,994","-0,097","0,053","0,000","0,886","0,449","0,116","0,000","0,990","-0,117","0,075","0,000","0,991","-0,133","-0,013","0,000","0,880","0,428","-0,206","0,000","0,998","-0,058","0,015","0,000"
9,"0,977","-0,212","-0,017","0,000","0,994","-0,096","0,052","0,000","0,886","0,449","0,116","0,000","0,990","-0,117","0,075","0,000","0,991","-0,133","-0,013","0,000","0,880","0,428","-0,206","0,000","0,998","-0,057","0,015","0,000"
10,"0,977","-0,213","-0,015","0,000","0,994","-0,094","0,051","0,000","0,886","0,450","0,114","0,001","0,990","-0,119","0,072","0,000","0,991","-0,135","-0,010","0,000","0,881","0,427","-0,204","-0,001","0,998","-0,054","0,015","0,000"
11,"0,977","-0,211","-0,015","0,000","0,995","-0,091","0,050","0,000","0,885","0,452","0,115","0,001","0,991","-0,117","0,070","0,000","0,991","-0,132","-0,012","0,000","0,880","0,427","-0,207","0,000","0,998","-0,057","0,014","0,000"
12,"0,977","-0,212","-0,018","0,000","0,994","-0,094","0,051","0,000","0,885","0,451","0,117","0,000","0,991","-0,114","0,072","0,000","0,991","-0,129","-0,013","0,000","0,879","0,429","-0,207","0,000","0,998","-0,055","0,016","0,000"
13,"0,977","-0,211","-0,020","-0,001","0,994","-0,096","0,052","0,000","0,886","0,449","0,116","0,000","0,991","-0,113","0,075","0,001","0,991","-0,132","-0,014","0,000","0,880","0,429","-0,205","-0,001","0,998","-0,058","0,017","0,000"
14,"0,977","-0,213","-0,019","-0,001","0,994","-0,094","0,051","0,000","0,886","0,449","0,114","0,001","0,991","-0,113","0,077","0,001","0,991","-0,135","-0,015","-0,001","0,880","0,427","-0,207","0,000","0,998","-0,055","0,016","0,000"
15,"0,977","-0,214","-0,016","0,000","0,994","-0,096","0,053","0,000","0,885","0,451","0,115","0,001","0,990","-0,115","0,076","0,000","0,991","-0,135","-0,012","0,000","0,879","0,429","-0,206","-0,001","0,998","-0,057","0,013","0,000"
16,"0,977","-0,212","-0,014","0,000","0,994","-0,098","0,050","-0,001","0,886","0,449","0,116","0,000","0,990","-0,118","0,075","0,000","0,991","-0,132","-0,012","0,000","0,881","0,427","-0,205","0,000","0,998","-0,054","0,013","0,000"
17,"0,977","-0,214","-0,016","0,000","0,994","-0,095","0,051","-0,001","0,887","0,447","0,115","0,000","0,990","-0,120","0,073","-0,001","0,991","-0,135","-0,011","0,000","0,879","0,429","-0,207","0,000","0,998","-0,055","0,011","0,000"
18,"0,976","-0,215","-0,019","-0,001","0,994","-0,092","0,050","-0,001","0,886","0,449","0,117","0,000","0,990","-0,119","0,076","0,000","0,991","-0,132","-0,012","0,000","0,880","0,429","-0,204","-0,002","0,998","-0,055","0,014","0,000"
19,"0,977","-0,213","-0,021","-0,002","0,995","-0,090","0,052","0,000","0,886","0,448","0,114","0,001","0,990","-0,116","0,075","0,000","0,992","-0,129","-0,013","0,000","0,881","0,427","-0,205","-0,001","0,998","-0,056","0,017","0,000"
20,"0,977","-0,211","-0,020","-0,001","0,995","-0,091","0,049","-0,001","0,886","0,448","0,117","0,000","0,991","-0,113","0,076","0,000","0,991","-0,132","-0,012","0,000","0,881","0,426","-0,207","0,001","0,998","-0,056","0,014","0,000"
21,"0,978","-0,208","-0,020","-0,001","0,994","-0,091","0,052","-0,001","0,885","0,450","0,116","0,000","0,991","-0,110","0,076","0,000","0,991","-0,131","-0,015","-0,001","0,880","0,428","-0,207","0,000","0,998","-0,058","0,016","0,000"
22,"0,979","-0,205","-0,020","-0,001","0,995","-0,089","0,049","-0,001","0,884","0,452","0,116","0,000","0,991","-0,109","0,079","0,001","0,992","-0,128","-0,016","-0,001","0,881","0,426","-0,207","0,001","0,998","-0,055","0,015","0,000"
