Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"-20,721","5,117","1,579","-0,473","-3,147","-0,281","65,845","8,707","0,014","-8,262","7,965","0,681","-9,157","-1,075","0,087","69,172","21,484","-9,830","4,047","-2,478","0,088"
1,"-20,454","5,378","1,682","-0,473","-3,147","-0,281","65,480","8,774","-0,015","-7,979","7,688","0,638","-8,784","-1,067","0,075","69,524","21,494","-9,819","4,325","-2,757","0,104"
2,"-20,465","4,983","1,602","-0,422","-3,114","-0,284","65,814","9,387","-0,312","-7,855","7,688","0,641","-8,916","-0,788","0,086","69,585","21,444","-9,879","4,450","-2,757","0,107"
3,"-20,442","4,861","1,545","-0,608","-2,758","-0,224","65,646","9,066","-0,230","-7,826","7,358","0,604","-8,981","-0,778","0,089","69,374","21,549","-9,935","4,325","-2,631","0,099"
4,"-20,425","4,574","1,482","-0,675","-2,756","-0,218","65,568","9,081","-0,236","-7,881","7,349","0,606","-8,854","-0,478","0,104","69,504","21,551","-9,935","4,336","-2,638","0,100"
5,"-20,354","4,535","1,462","-0,610","-2,802","-0,228","65,314","8,915","-0,189","-7,815","7,366","0,608","-8,928","-0,478","0,106","69,347","21,546","-9,932","4,336","-2,596","0,098"
6,"-20,345","4,243","1,398","-0,445","-2,812","-0,250","65,626","9,082","-0,265","-7,891","7,371","0,612","-8,931","-0,178","0,124","69,292","21,571","-9,933","4,340","-2,598","0,098"
7,"-20,296","4,134","1,346","-0,453","-2,721","-0,240","65,604","8,952","-0,234","-8,009","7,334","0,613","-8,770","-0,172","0,121","69,334","21,542","-9,928","4,225","-2,484","0,092"
8,"-20,381","3,912","1,303","-0,527","-2,750","-0,237","65,683","9,017","-0,269","-8,084","7,362","0,619","-8,727","0,053","0,134","69,480","21,548","-9,932","4,225","-2,484","0,092"
9,"-20,257","3,900","1,288","-0,634","-2,736","-0,223","65,558","8,996","-0,267","-8,133","7,361","0,618","-8,589","0,055","0,132","69,412","21,544","-9,927","4,154","-2,470","0,090"
10,"-20,877","3,740","1,236","-0,632","-2,753","-0,217","65,113","8,798","-0,069","-8,109","7,497","0,635","-8,574","0,034","0,128","69,468","21,543","-9,912","3,847","-2,312","0,078"
11,"-20,577","4,270","1,447","-0,608","-2,627","-0,195","65,492","9,034","-0,315","-8,164","7,143","0,551","-8,234","-0,475","-0,025","69,885","21,503","-9,815","4,095","-2,548","0,094"
12,"-20,797","4,754","1,659","-0,627","-2,190","-0,109","65,909","8,828","0,085","-8,694","6,747","0,441","-8,358","-0,531","-0,031","69,428","21,472","-9,770","3,817","-2,745","0,106"
13,"-20,457","5,080","1,776","-0,667","-2,241","-0,113","65,382","8,569","0,330","-8,131","6,990","0,524","-8,683","-0,817","-0,101","69,340","21,409","-9,656","4,162","-2,748","0,107"
14,"-20,871","4,936","1,722","-0,457","-2,872","-0,279","65,473","8,965","-0,228","-8,127","7,600","0,664","-9,253","-0,802","-0,073","69,071","21,497","-9,787","4,028","-2,435","0,083"
15,"-20,622","4,414","1,470","-0,950","-3,041","-0,227","65,585","9,072","-0,372","-8,453","7,817","0,704","-9,339","-0,664","-0,025","68,602","21,372","-9,642","4,024","-2,094","0,060"
16,"-20,268","3,887","1,222","-0,751","-2,539","-0,159","65,580","8,961","-0,226","-8,405","7,803","0,709","-9,389","-0,616","-0,004","68,661","21,618","-10,030","4,157","-1,779","0,039"
17,"-20,073","3,994","1,270","-0,680","-2,825","-0,230","66,144","9,161","-0,398","-8,702","7,676","0,670","-8,819","-0,311","0,063","68,836","21,716","-10,190","4,110","-2,119","0,065"
18,"-20,571","3,946","1,275","-0,689","-2,823","-0,223","65,558","9,098","-0,429","-8,651","7,418","0,606","-8,705","-0,016","0,149","68,970","21,508","-9,895","3,831","-2,323","0,080"
19,"-20,048","3,798","1,191","-0,960","-2,384","-0,084","65,314","8,808","-0,060","-8,644","7,202","0,551","-8,215","0,095","0,161","69,577","21,707","-10,163","4,156","-2,426","0,087"
20,"-20,511","4,215","1,417","-0,589","-2,417","-0,160","65,764","9,082","-0,332","-8,597","6,659","0,427","-8,160","-0,037","0,104","69,686","21,537","-9,900","3,979","-2,720","0,107"
21,"-19,957","4,549","1,550","-0,822","-2,678","-0,180","65,167","8,940","-0,239","-8,217","6,788","0,473","-7,856","-0,525","-0,067","69,616","21,587","-9,968","4,262","-2,909","0,117"
22,"-20,536","4,869","1,728","-0,620","-2,140","-0,107","65,596","8,999","-0,221","-8,579","6,334","0,356","-8,421","-0,638","-0,086","69,541","21,570","-9,940","3,945","-3,041","0,122"
23,"-20,063","4,933","1,733","-0,841","-2,498","-0,150","65,380","8,821","-0,014","-8,203","6,841","0,499","-8,399","-0,603","-0,088","69,033","21,454","-9,786","4,223","-2,841","0,104"
24,"-20,373","4,783","1,682","-0,802","-2,830","-0,223","65,270","9,094","-0,434","-7,951","7,310","0,619","-9,003","-0,770","-0,109","68,967","21,429","-9,759","4,179","-2,501","0,076"
25,"-20,006","4,269","1,427","-0,908","-2,390","-0,111","65,001","9,152","-0,595","-7,641","7,341","0,643","-9,105","-0,605","-0,047","68,912","21,599","-10,032","4,309","-2,188","0,051"
26,"-19,993","3,715","1,171","-0,865","-2,563","-0,147","65,166","9,027","-0,401","-8,111","7,779","0,728","-8,645","-0,153","0,080","68,885","21,483","-9,888","4,145","-1,888","0,028"
27,"-19,529","3,782","1,177","-0,896","-2,621","-0,150","65,732","9,188","-0,518","-8,210","7,366","0,634","-8,063","-0,061","0,100","69,080","21,375","-9,734","4,344","-2,168","0,049"
28,"-19,494","3,553","1,068","-0,953","-2,645","-0,141","65,325","9,093","-0,461","-8,405","7,861","0,731","-8,046","0,112","0,154","69,016","21,379","-9,743","4,050","-1,984","0,036"
29,"-19,871","4,029","1,294","-1,075","-3,126","-0,214","65,593","9,120","-0,424","-8,779","7,722","0,670","-7,971","-0,052","0,102","69,189","21,515","-9,924","3,944","-2,311","0,061"
30,"-19,885","4,056","1,310","-1,016","-3,130","-0,226","65,597","9,114","-0,399","-8,731","7,717","0,661","-7,969","-0,057","0,094","69,196","21,501","-9,890","3,964","-2,335","0,065"
31,"-19,890","4,073","1,320","-1,008","-3,068","-0,215","65,568","9,082","-0,344","-8,687","7,678","0,643","-7,971","-0,071","0,080","69,214","21,498","-9,864","3,994","-2,348","0,070"
32,"-19,955","4,091","1,330","-0,955","-3,048","-0,222","65,587","9,073","-0,319","-8,698","7,648","0,629","-7,974","-0,070","0,071","69,265","21,501","-9,844","3,962","-2,357","0,075"
33,"-20,022","4,111","1,342","-0,957","-2,984","-0,210","65,613","9,057","-0,306","-8,727","7,602","0,624","-8,003","-0,050","0,080","69,237","21,477","-9,815","3,935","-2,371","0,077"
34,"-20,079","4,117","1,342","-0,920","-2,940","-0,200","65,620","9,035","-0,302","-8,745","7,558","0,620","-8,017","-0,070","0,091","69,294","21,477","-9,836","3,911","-2,383","0,078"
35,"-20,085","4,125","1,333","-0,897","-2,929","-0,192","65,670","9,031","-0,314","-8,732","7,492","0,605","-8,060","-0,069","0,115","69,253","21,481","-9,862","3,924","-2,416","0,082"
36,"-20,012","4,119","1,317","-0,905","-2,925","-0,188","65,628","9,033","-0,337","-8,671","7,448","0,597","-8,059","-0,070","0,127","69,207","21,499","-9,892","3,968","-2,431","0,084"
37,"-19,940","4,113","1,313","-0,850","-2,936","-0,204","65,639","9,049","-0,354","-8,604","7,461","0,601","-8,067","-0,069","0,125","69,200","21,503","-9,899","4,013","-2,426","0,084"
38,"-19,909","4,134","1,330","-0,870","-2,953","-0,206","65,594","9,060","-0,374","-8,552","7,492","0,608","-8,107","-0,096","0,115","69,192","21,507","-9,912","4,050","-2,419","0,084"
39,"-19,908","4,135","1,346","-0,881","-2,980","-0,211","65,579","9,081","-0,406","-8,507","7,534","0,621","-8,155","-0,146","0,100","69,143","21,509","-9,938","4,072","-2,394","0,083"
