Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,977","-0,214","-0,025","0,000","0,993","-0,103","0,064","0,000","0,882","0,455","0,121","0,000","0,990","-0,106","0,091","0,000","0,991","-0,135","-0,016","0,000","0,877","0,428","-0,217","0,000","0,999","-0,035","0,022","0,000"
1,"0,977","-0,214","-0,025","0,000","0,993","-0,103","0,064","0,000","0,884","0,452","0,122","0,000","0,990","-0,106","0,091","0,000","0,990","-0,138","-0,016","0,000","0,877","0,428","-0,217","0,000","0,999","-0,038","0,024","0,000"
2,"0,976","-0,215","-0,022","0,000","0,993","-0,103","0,064","0,000","0,882","0,454","0,128","0,000","0,990","-0,106","0,091","0,000","0,990","-0,138","-0,015","0,000","0,878","0,428","-0,216","0,000","0,999","-0,039","0,024","0,000"
3,"0,977","-0,214","-0,022","0,000","0,993","-0,100","0,063","0,000","0,882","0,455","0,124","0,000","0,991","-0,105","0,087","0,000","0,991","-0,137","-0,015","0,000","0,877","0,428","-0,217","0,000","0,999","-0,038","0,023","0,000"
4,"0,977","-0,214","-0,019","0,000","0,993","-0,100","0,063","0,000","0,882","0,455","0,124","0,000","0,991","-0,106","0,087","0,000","0,990","-0,138","-0,015","0,000","0,877","0,428","-0,217","0,000","0,999","-0,038","0,023","0,000"
5,"0,977","-0,213","-0,019","0,000","0,993","-0,100","0,063","0,000","0,883","0,453","0,122","0,000","0,991","-0,105","0,087","0,000","0,991","-0,136","-0,015","0,000","0,878","0,428","-0,217","0,000","0,999","-0,038","0,023","0,000"
6,"0,977","-0,213","-0,016","0,000","0,993","-0,102","0,062","0,000","0,883","0,453","0,124","0,000","0,991","-0,106","0,087","0,000","0,991","-0,136","-0,015","0,000","0,878","0,427","-0,217","0,000","0,999","-0,038","0,023","0,000"
7,"0,977","-0,212","-0,016","0,000","0,993","-0,102","0,062","0,000","0,883","0,453","0,122","0,000","0,991","-0,106","0,086","0,000","0,991","-0,136","-0,015","0,000","0,878","0,428","-0,217","0,000","0,999","-0,037","0,022","0,000"
8,"0,977","-0,213","-0,014","0,000","0,993","-0,102","0,062","0,000","0,883","0,454","0,123","0,000","0,991","-0,107","0,086","0,000","0,990","-0,138","-0,015","0,000","0,878","0,428","-0,217","0,000","0,999","-0,037","0,022","0,000"
9,"0,977","-0,211","-0,014","0,000","0,993","-0,101","0,062","0,000","0,883","0,454","0,123","0,000","0,991","-0,106","0,086","0,000","0,990","-0,137","-0,015","0,000","0,878","0,428","-0,217","0,000","0,999","-0,036","0,022","0,000"
10,"0,977","-0,214","-0,014","0,000","0,993","-0,098","0,062","0,000","0,883","0,453","0,120","0,001","0,991","-0,104","0,086","0,000","0,990","-0,140","-0,015","0,000","0,879","0,426","-0,216","0,000","0,999","-0,034","0,020","0,000"
11,"0,977","-0,213","-0,017","0,000","0,993","-0,101","0,062","0,000","0,883","0,453","0,123","0,000","0,991","-0,106","0,085","0,000","0,990","-0,142","-0,013","0,000","0,879","0,427","-0,214","-0,001","0,999","-0,036","0,022","0,000"
12,"0,977","-0,212","-0,020","-0,001","0,993","-0,103","0,064","0,000","0,882","0,455","0,121","0,001","0,991","-0,109","0,083","-0,001","0,990","-0,141","-0,015","0,000","0,879","0,425","-0,216","0,000","0,999","-0,033","0,024","0,000"
13,"0,977","-0,212","-0,023","-0,001","0,993","-0,101","0,065","0,000","0,883","0,453","0,120","0,001","0,991","-0,107","0,085","0,000","0,990","-0,138","-0,016","0,000","0,878","0,427","-0,215","-0,001","0,999","-0,036","0,024","0,000"
14,"0,976","-0,215","-0,024","-0,002","0,993","-0,101","0,063","0,000","0,883","0,453","0,123","0,000","0,991","-0,105","0,088","0,000","0,991","-0,135","-0,017","0,000","0,878","0,427","-0,218","0,001","0,999","-0,035","0,021","0,000"
15,"0,977","-0,213","-0,022","-0,001","0,993","-0,100","0,060","0,000","0,882","0,455","0,122","0,001","0,990","-0,108","0,087","0,000","0,991","-0,133","-0,017","0,000","0,879","0,426","-0,216","0,000","0,999","-0,035","0,018","0,000"
