Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"-0,007","0,001","1,050","-0,001","-0,001","1,002","0,005","-0,002","0,947","-0,004","0,004","1,010","-0,004","0,000","1,028","-0,002","0,001","0,964","-0,003","0,001","1,001"
1,"-0,004","0,006","1,049","0,001","0,006","1,001","-0,001","-0,005","0,941","-0,008","-0,002","1,014","0,004","0,003","1,034","-0,003","-0,004","0,959","-0,001","-0,002","1,002"
2,"-0,012","-0,002","1,051","0,000","0,001","1,004","0,000","-0,001","0,945","-0,009","-0,007","1,014","0,003","-0,003","1,028","0,000","0,000","0,956","0,003","-0,004","1,004"
3,"-0,010","0,000","1,049","0,000","-0,004","1,000","0,002","0,000","0,944","-0,013","0,002","1,011","0,004","-0,003","1,031","-0,002","0,007","0,960","-0,004","-0,001","1,001"
4,"-0,006","0,002","1,058","0,003","0,006","1,002","0,003","-0,003","0,945","-0,008","-0,006","1,011","0,003","-0,001","1,033","0,000","0,004","0,960","-0,001","0,000","1,005"
5,"-0,005","-0,004","1,053","0,003","0,004","1,001","-0,001","-0,001","0,947","-0,005","0,001","1,009","0,001","-0,002","1,036","-0,002","0,001","0,958","-0,001","0,002","1,005"
6,"-0,003","0,003","1,056","-0,003","0,008","1,001","0,000","0,000","0,945","-0,002","-0,009","1,014","0,003","-0,001","1,032","-0,002","0,002","0,957","-0,002","-0,002","1,001"
7,"0,004","-0,004","1,055","-0,001","0,005","1,001","0,000","0,001","0,947","0,001","-0,007","1,015","0,001","-0,004","1,031","-0,001","-0,002","0,962","-0,005","-0,004","1,010"
8,"0,009","0,003","1,055","0,001","0,008","1,004","0,001","0,004","0,945","0,003","-0,003","1,017","0,000","-0,002","1,033","-0,001","0,001","0,964","-0,001","-0,001","1,003"
9,"0,006","0,000","1,055","0,005","0,003","1,002","0,003","0,000","0,949","0,000","-0,004","1,016","0,004","-0,003","1,030","0,005","-0,002","0,959","0,000","-0,005","1,007"
10,"0,012","0,007","1,048","0,005","-0,003","1,006","0,002","0,003","0,951","-0,005","0,004","1,010","0,002","-0,002","1,033","-0,002","0,001","0,962","-0,004","-0,003","1,003"
11,"0,009","0,005","1,051","0,001","-0,001","1,007","0,000","0,000","0,948","-0,003","0,002","1,012","0,004","0,002","1,034","0,000","-0,002","0,960","-0,003","0,002","1,000"
12,"0,006","0,007","1,052","0,001","-0,002","1,008","0,001","0,001","0,945","-0,001","-0,005","1,012","0,002","0,002","1,032","0,003","-0,004","0,964","0,001","-0,002","1,000"
13,"0,009","0,007","1,051","0,004","-0,006","1,002","0,003","0,004","0,950","0,006","-0,006","1,011","0,004","-0,002","1,030","0,003","-0,002","0,966","-0,004","-0,003","1,002"
14,"0,002","0,001","1,055","0,002","0,000","1,003","-0,002","-0,003","0,944","0,006","-0,008","1,013","0,005","0,002","1,028","0,003","-0,001","0,959","0,001","0,005","1,002"
15,"0,002","-0,002","1,056","0,005","-0,007","1,000","0,000","0,001","0,947","0,002","-0,012","1,011","-0,003","0,001","1,031","-0,002","0,003","0,962","-0,001","-0,001","1,009"
16,"0,000","-0,004","1,056","0,005","-0,003","1,002","0,003","-0,003","0,949","0,003","-0,010","1,014","0,005","0,002","1,029","0,002","0,004","0,957","-0,003","0,001","1,006"
17,"0,007","0,005","1,054","-0,003","0,005","0,997","-0,001","0,002","0,950","0,001","-0,004","1,012","0,005","0,002","1,027","0,007","-0,003","0,957","-0,005","0,002","1,001"
18,"0,004","0,000","1,053","-0,003","0,003","1,004","-0,001","-0,001","0,946","-0,002","-0,008","1,010","0,005","-0,002","1,033","0,000","0,002","0,962","-0,004","-0,001","0,998"
