Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
0,"0,968","-0,249","-0,018","0,000","0,989","-0,131","0,065","0,000","0,891","0,439","0,118","0,000","0,986","-0,146","0,076","0,000","0,985","-0,171","-0,023","0,000","0,886","0,423","-0,190","0,000","0,995","-0,097","0,013","0,000"
1,"0,968","-0,249","-0,018","0,000","0,989","-0,131","0,065","0,000","0,891","0,437","0,121","0,000","0,986","-0,149","0,078","0,000","0,985","-0,171","-0,023","0,000","0,887","0,421","-0,190","0,000","0,995","-0,098","0,013","0,000"
2,"0,968","-0,250","-0,015","0,000","0,989","-0,131","0,065","0,000","0,891","0,438","0,122","0,000","0,985","-0,151","0,078","0,000","0,985","-0,173","-0,023","0,000","0,886","0,422","-0,191","0,000","0,995","-0,099","0,013","0,000"
3,"0,968","-0,249","-0,016","0,000","0,989","-0,131","0,065","0,000","0,890","0,439","0,121","0,000","0,986","-0,149","0,078","0,000","0,985","-0,173","-0,026","0,000","0,886","0,422","-0,191","0,000","0,995","-0,098","0,013","0,000"
4,"0,968","-0,250","-0,016","0,000","0,989","-0,131","0,065","0,000","0,890","0,439","0,121","0,000","0,986","-0,150","0,078","0,000","0,985","-0,173","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,013","0,000"
5,"0,968","-0,250","-0,018","0,000","0,989","-0,130","0,064","0,000","0,890","0,439","0,121","0,000","0,986","-0,149","0,078","0,000","0,985","-0,172","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,012","0,000"
6,"0,968","-0,250","-0,018","0,000","0,989","-0,130","0,065","0,000","0,890","0,439","0,121","0,000","0,986","-0,150","0,078","0,000","0,985","-0,172","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,012","0,000"
7,"0,968","-0,250","-0,018","0,000","0,990","-0,128","0,065","0,000","0,890","0,439","0,121","0,000","0,986","-0,150","0,077","0,000","0,985","-0,172","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,012","0,000"
8,"0,968","-0,250","-0,018","0,000","0,990","-0,128","0,065","0,000","0,890","0,440","0,121","0,000","0,986","-0,150","0,077","0,000","0,985","-0,173","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,012","0,000"
9,"0,968","-0,250","-0,019","0,000","0,990","-0,128","0,064","0,000","0,890","0,440","0,121","0,000","0,986","-0,150","0,075","0,000","0,985","-0,172","-0,026","0,000","0,886","0,423","-0,191","0,000","0,995","-0,098","0,012","0,000"
10,"0,968","-0,249","-0,021","-0,001","0,989","-0,131","0,063","0,000","0,889","0,442","0,120","0,001","0,986","-0,147","0,076","0,000","0,985","-0,170","-0,024","0,000","0,886","0,423","-0,189","-0,001","0,995","-0,099","0,014","0,000"
11,"0,969","-0,247","-0,024","-0,001","0,989","-0,130","0,065","0,000","0,890","0,440","0,121","0,000","0,987","-0,146","0,073","0,000","0,985","-0,170","-0,027","0,000","0,886","0,422","-0,191","0,000","0,995","-0,097","0,013","0,000"
12,"0,969","-0,245","-0,023","-0,001","0,989","-0,132","0,063","0,000","0,889","0,441","0,119","0,001","0,986","-0,149","0,074","0,000","0,985","-0,170","-0,024","0,000","0,886","0,421","-0,193","0,002","0,995","-0,098","0,011","0,000"
13,"0,969","-0,246","-0,026","-0,002","0,989","-0,134","0,062","-0,001","0,889","0,442","0,121","0,000","0,986","-0,150","0,071","-0,001","0,985","-0,172","-0,026","0,000","0,886","0,423","-0,192","0,001","0,995","-0,098","0,014","0,000"
