Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
0,"-14,545","4,299","1,471","-5,900","-0,925","0,326","64,114","8,789","0,112","-2,769","5,897","0,913","-12,926","0,416","0,319","68,625","18,897","-7,474","15,872","-2,286","0,319"
1,"-14,304","4,233","1,447","-5,627","-1,012","0,315","64,410","8,619","0,427","-2,611","6,332","0,992","-12,681","0,100","0,259","68,987","19,096","-7,827","16,112","-2,283","0,323"
2,"-14,185","4,232","1,445","-5,628","-0,929","0,325","64,398","8,575","0,499","-2,492","6,333","0,995","-12,681","0,100","0,259","69,005","18,644","-7,607","16,232","-2,282","0,325"
3,"-14,320","4,288","1,460","-5,798","-0,917","0,341","63,932","8,372","0,590","-2,655","6,333","0,991","-12,792","0,143","0,275","68,756","18,847","-7,626","16,050","-2,275","0,321"
4,"-14,224","4,224","1,440","-5,610","-0,935","0,323","64,190","8,494","0,540","-2,560","6,345","0,995","-12,793","0,211","0,277","68,804","18,861","-7,642","16,145","-2,276","0,323"
5,"-14,258","4,196","1,427","-5,717","-0,991","0,325","64,102","8,409","0,517","-2,589","6,345","0,991","-12,844","0,322","0,295","68,729","18,940","-7,622","16,050","-2,247","0,317"
6,"-14,258","4,196","1,427","-5,581","-1,077","0,308","64,229","8,425","0,517","-2,588","6,427","1,005","-12,844","0,322","0,295","68,707","18,832","-7,565","16,050","-2,247","0,317"
7,"-13,944","4,206","1,410","-5,703","-1,026","0,320","64,119","8,435","0,480","-2,600","6,340","0,989","-12,507","0,316","0,288","68,729","18,940","-7,622","16,026","-2,246","0,316"
8,"-13,959","4,183","1,405","-5,961","-1,100","0,335","64,091","8,524","0,437","-2,849","6,409","1,011","-12,525","0,234","0,273","68,824","18,858","-7,664","16,037","-2,247","0,317"
9,"-14,155","4,141","1,392","-5,703","-1,040","0,319","64,091","8,524","0,437","-2,812","6,394","0,995","-12,507","0,235","0,273","68,797","18,834","-7,649","15,813","-2,206","0,306"
