Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
0,"-0,008","-0,007","1,052","-0,001","-0,003","1,003","-0,003","0,003","0,945","0,007","0,002","1,007","0,002","-0,001","1,020","0,002","0,000","0,954","0,000","0,006","0,999"
1,"-0,003","-0,004","1,050","-0,001","-0,007","1,004","0,002","0,003","0,943","0,004","-0,009","1,002","0,003","0,000","1,021","-0,001","-0,002","0,955","-0,001","0,005","0,999"
2,"0,002","0,001","1,051","-0,002","-0,010","1,003","0,003","0,003","0,950","0,004","-0,010","1,013","0,004","0,001","1,022","0,000","0,001","0,956","-0,001","0,007","1,000"
3,"0,000","0,000","1,049","0,001","-0,007","1,007","0,000","0,002","0,948","-0,002","-0,006","1,008","-0,004","-0,006","1,023","0,005","0,000","0,960","-0,004","0,000","1,001"
4,"-0,005","-0,004","1,053","0,000","-0,003","1,001","0,000","-0,004","0,941","-0,002","-0,009","1,010","-0,003","-0,004","1,026","0,000","0,003","0,953","-0,002","0,004","1,005"
5,"-0,002","-0,002","1,050","-0,003","0,003","1,002","-0,001","0,004","0,943","0,002","-0,005","1,007","-0,004","0,002","1,022","-0,003","0,005","0,956","0,004","-0,001","1,002"
6,"-0,001","0,006","1,048","0,000","-0,005","1,001","0,000","0,002","0,945","0,000","-0,001","1,012","-0,004","0,001","1,022","-0,004","-0,002","0,955","0,001","0,004","1,002"
7,"-0,008","0,009","1,049","0,000","-0,005","1,001","0,000","0,008","0,942","0,005","-0,004","1,011","-0,003","0,000","1,025","-0,003","0,004","0,955","0,000","-0,001","0,999"
8,"-0,006","0,002","1,051","0,002","-0,001","1,002","0,001","-0,002","0,945","0,002","-0,003","1,009","0,000","0,002","1,025","-0,003","-0,002","0,961","-0,001","0,005","1,001"
9,"-0,010","0,006","1,049","0,001","-0,005","1,000","-0,004","0,005","0,946","0,006","0,005","1,010","-0,001","0,002","1,026","0,001","0,001","0,954","-0,001","-0,002","1,003"
10,"-0,008","0,001","1,052","0,000","0,003","1,002","0,000","0,005","0,943","0,008","0,003","1,008","-0,001","0,001","1,027","0,003","0,000","0,956","0,003","0,002","1,001"
11,"-0,003","0,003","1,045","0,000","0,001","1,000","0,003","0,002","0,941","0,007","-0,002","1,010","0,000","-0,005","1,027","-0,004","0,004","0,953","-0,003","-0,001","1,003"
12,"-0,003","-0,001","1,052","-0,001","0,001","1,004","0,001","0,005","0,938","0,003","-0,003","1,006","-0,002","-0,001","1,023","0,004","-0,004","0,956","-0,001","0,001","0,999"
13,"-0,004","-0,004","1,054","-0,001","0,000","0,999","0,001","0,002","0,944","0,008","-0,003","1,007","0,000","-0,005","1,022","-0,004","-0,001","0,953","0,003","0,001","1,001"
14,"-0,008","-0,003","1,053","0,000","0,000","1,000","0,000","0,005","0,940","0,004","-0,003","1,010","0,005","0,002","1,022","0,002","0,004","0,956","0,004","0,005","0,997"
15,"-0,004","-0,002","1,047","-0,001","0,003","1,001","0,001","0,003","0,942","0,003","-0,007","1,011","0,007","0,001","1,028","0,001","-0,002","0,957","-0,001","-0,001","0,995"
16,"-0,004","0,002","1,047","-0,001","-0,006","0,999","-0,002","-0,001","0,944","0,003","-0,005","1,012","0,008","-0,006","1,028","-0,001","0,000","0,959","0,005","0,000","1,000"
17,"0,001","0,007","1,050","-0,005","-0,005","0,998","0,000","0,006","0,944","-0,003","-0,001","1,012","0,003","0,002","1,024","0,000","0,001","0,958","-0,007","-0,001","1,001"
18,"-0,003","0,003","1,052","0,002","0,007","1,002","-0,002","0,000","0,945","-0,002","-0,011","1,010","-0,005","0,000","1,023","-0,001","0,000","0,960","0,002","0,000","0,998"
19,"-0,002","0,003","1,051","0,001","0,004","1,001","0,000","0,004","0,943","-0,003","-0,011","1,010","-0,003","0,002","1,023","-0,002","0,009","0,961","0,000","0,000","1,001"
20,"-0,009","0,007","1,054","0,003","-0,006","1,000","0,002","0,001","0,946","0,002","-0,004","1,011","-0,002","0,000","1,022","0,000","-0,003","0,952","0,004","0,003","0,995"
21,"-0,006","0,009","1,051","0,002","-0,002","1,006","0,000","-0,002","0,939","0,006","-0,007","1,015","0,001","0,002","1,025","-0,005","0,001","0,956","0,003","-0,002","0,998"
22,"-0,009","0,009","1,048","0,000","0,001","1,000","-0,003","0,003","0,941","0,007","-0,001","1,013","-0,004","0,002","1,023","-0,002","-0,003","0,953","-0,001","-0,003","0,999"
23,"-0,010","0,009","1,052","-0,005","0,004","1,000","0,003","0,002","0,943","0,010","-0,001","1,012","0,002","0,005","1,026","-0,004","0,001","0,956","0,001","0,000","1,000"
24,"-0,011","0,004","1,046","0,002","-0,002","1,003","0,000","0,005","0,947","0,009","-0,003","1,004","0,001","0,002","1,022","0,000","0,001","0,953","0,002","0,000","1,002"
25,"-0,007","0,000","1,048","0,002","0,003","1,000","0,005","0,002","0,949","0,004","0,002","1,008","0,002","-0,004","1,022","0,000","-0,001","0,958","-0,002","0,003","0,999"
26,"-0,007","-0,002","1,049","0,001","-0,001","1,003","-0,002","-0,004","0,940","0,003","-0,006","1,009","0,003","-0,001","1,029","0,000","-0,002","0,952","0,001","0,001","0,999"
27,"0,000","-0,004","1,047","-0,003","0,001","1,002","0,001","0,002","0,945","-0,001","-0,007","1,011","0,002","0,005","1,025","-0,002","-0,001","0,956","-0,002","-0,001","1,000"
28,"0,000","-0,004","1,054","-0,003","-0,006","1,000","-0,001","0,003","0,943","0,001","-0,001","1,010","0,001","0,003","1,022","-0,002","0,000","0,955","-0,008","-0,002","1,001"
29,"0,003","-0,005","1,057","-0,001","0,006","1,003","0,001","0,001","0,936","-0,006","0,004","1,008","-0,002","-0,001","1,029","0,001","-0,001","0,959","0,000","-0,001","0,997"
30,"-0,001","0,003","1,051","0,000","-0,002","1,003","-0,004","0,002","0,946","-0,005","0,009","1,014","0,002","0,005","1,023","0,001","0,001","0,958","0,005","0,001","0,998"
31,"-0,007","0,008","1,046","0,001","0,003","1,000","0,003","-0,001","0,943","0,000","0,002","1,011","0,001","0,003","1,025","0,004","0,001","0,953","0,004","0,000","0,999"
32,"-0,010","0,008","1,050","-0,001","0,005","1,002","0,002","-0,001","0,938","0,005","-0,001","1,009","0,001","-0,001","1,023","-0,003","0,001","0,963","0,000","0,000","1,003"
33,"-0,012","0,013","1,046","0,001","0,002","1,000","-0,001","0,004","0,943","0,004","-0,002","1,011","0,000","0,001","1,019","-0,003","0,000","0,955","0,003","-0,005","1,005"
34,"-0,009","0,007","1,053","0,001","0,004","1,000","0,001","0,000","0,948","0,006","-0,003","1,012","0,001","-0,001","1,021","0,005","0,002","0,953","0,005","-0,002","0,999"
35,"-0,009","0,005","1,053","0,003","-0,005","1,003","-0,001","-0,001","0,941","0,006","0,000","1,012","0,003","0,001","1,022","-0,003","-0,003","0,951","0,004","0,000","0,997"
36,"-0,007","0,007","1,048","-0,002","-0,004","1,004","0,000","-0,002","0,938","0,004","-0,007","1,012","-0,001","-0,003","1,023","-0,001","-0,002","0,956","0,001","-0,005","0,992"
37,"-0,004","0,004","1,051","-0,001","-0,004","1,002","0,000","0,001","0,946","0,006","-0,004","1,007","0,001","0,006","1,021","-0,001","0,000","0,952","-0,003","-0,002","0,997"
38,"0,001","0,002","1,052","-0,003","-0,002","1,006","0,001","0,003","0,937","0,006","-0,004","1,007","0,001","-0,002","1,022","0,001","0,003","0,953","-0,001","0,001","0,997"
39,"0,001","0,001","1,053","0,002","0,001","1,001","0,002","-0,002","0,943","-0,002","-0,003","1,008","0,002","0,003","1,024","-0,004","0,001","0,955","0,000","0,003","1,000"
40,"-0,004","0,006","1,053","0,001","-0,003","1,006","-0,004","0,000","0,941","0,002","0,000","1,009","0,002","0,003","1,023","0,002","-0,001","0,953","0,003","0,003","0,998"
41,"0,000","0,004","1,046","-0,001","0,006","1,005","-0,001","0,002","0,944","0,003","-0,001","1,006","-0,001","0,001","1,022","-0,003","-0,001","0,956","0,001","0,000","1,002"
42,"-0,002","0,005","1,050","-0,004","-0,002","1,002","-0,005","0,002","0,945","0,001","-0,002","1,010","0,004","-0,001","1,026","0,004","-0,002","0,954","0,002","0,007","1,002"
43,"-0,007","0,001","1,046","0,002","-0,010","1,000","0,002","-0,001","0,944","0,001","0,005","1,004","-0,002","0,004","1,024","0,003","0,000","0,957","0,005","0,010","0,999"
44,"-0,003","-0,003","1,049","-0,001","-0,006","1,001","-0,003","0,003","0,944","0,003","-0,002","1,008","0,003","0,006","1,026","0,001","-0,001","0,950","0,002","0,008","0,997"
45,"-0,008","0,007","1,051","0,000","0,003","0,999","-0,001","0,004","0,938","0,003","-0,008","1,006","0,004","0,007","1,025","-0,006","0,003","0,959","-0,001","0,003","1,002"
46,"-0,004","0,008","1,053","0,001","-0,008","1,004","-0,002","0,001","0,945","0,010","-0,005","1,008","-0,001","0,002","1,021","0,006","0,002","0,954","0,003","0,001","1,003"
47,"-0,007","0,010","1,052","-0,002","0,002","0,993","-0,001","0,001","0,945","0,004","0,001","1,011","-0,003","0,003","1,024","-0,004","-0,005","0,955","0,003","0,001","0,998"
48,"-0,009","0,004","1,047","0,005","-0,002","0,998","0,000","-0,002","0,939","0,004","0,004","1,006","-0,004","0,003","1,022","0,000","0,001","0,950","0,005","0,002","0,998"
49,"-0,011","0,007","1,047","-0,003","-0,004","0,998","0,000","0,001","0,945","0,000","0,002","1,010","0,002","0,004","1,020","0,000","0,001","0,955","0,000","0,000","0,995"
50,"-0,006","0,006","1,050","-0,003","-0,004","1,001","0,000","0,002","0,942","0,003","0,000","1,004","0,004","0,001","1,026","0,003","0,001","0,957","0,001","0,005","0,994"
51,"-0,003","0,010","1,050","-0,001","0,001","0,997","-0,003","0,004","0,947","0,004","-0,001","1,009","0,004","0,001","1,026","0,001","0,000","0,959","-0,001","0,002","0,996"
52,"-0,008","0,008","1,052","0,002","-0,002","1,002","0,001","0,001","0,943","0,009","-0,002","1,011","-0,007","-0,001","1,022","-0,003","-0,001","0,956","-0,001","0,000","1,000"
53,"-0,004","0,010","1,052","0,001","0,002","0,998","-0,002","0,004","0,943","0,002","-0,007","1,005","-0,004","-0,006","1,026","0,000","-0,002","0,955","-0,006","0,005","1,000"
54,"-0,004","0,008","1,050","0,000","0,002","0,997","-0,006","0,000","0,940","0,003","-0,006","1,013","0,003","0,002","1,020","0,003","-0,001","0,953","-0,007","0,000","1,002"
55,"-0,003","0,011","1,048","-0,003","0,005","0,999","0,002","0,003","0,941","-0,002","0,002","1,017","-0,001","0,002","1,023","0,000","0,003","0,955","-0,006","0,005","1,001"
56,"-0,001","0,005","1,048","0,004","-0,001","1,004","0,003","0,006","0,942","-0,004","0,003","1,007","-0,003","0,004","1,024","0,002","0,003","0,958","0,003","-0,002","0,998"
57,"-0,003","0,010","1,046","0,000","-0,002","1,002","0,000","0,001","0,943","-0,001","0,000","1,010","0,000","-0,005","1,027","-0,002","0,004","0,956","0,004","0,004","1,001"
58,"-0,001","0,007","1,048","0,004","-0,005","0,999","0,006","0,006","0,944","0,002","0,002","1,006","-0,003","-0,001","1,021","-0,003","0,000","0,957","0,002","-0,002","0,996"
59,"-0,006","0,007","1,046","0,000","-0,003","1,000","-0,002","0,001","0,936","0,004","0,003","1,005","-0,002","-0,004","1,023","0,000","0,001","0,950","0,006","-0,001","0,998"
60,"-0,008","-0,002","1,054","0,000","-0,003","1,001","0,003","-0,002","0,943","0,010","-0,006","1,007","-0,002","-0,005","1,027","-0,002","0,004","0,953","0,000","0,000","1,002"
61,"-0,010","-0,005","1,056","0,003","-0,006","1,001","0,002","0,001","0,942","0,010","-0,002","1,009","-0,003","-0,005","1,027","-0,002","0,004","0,955","-0,002","0,003","1,002"
62,"-0,009","-0,009","1,049","0,002","-0,006","1,004","0,002","0,004","0,939","0,011","-0,005","1,009","-0,001","-0,001","1,026","-0,001","-0,004","0,954","0,004","0,004","1,004"
63,"-0,014","-0,008","1,050","0,000","-0,003","1,002","0,001","0,004","0,947","0,004","-0,006","1,014","-0,002","-0,008","1,024","0,001","-0,002","0,954","0,001","0,008","1,001"
