Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,286","-0,194","0,052","-0,298","0,053","0,112","-0,174","-0,026","0,088","-0,523","0,103","0,282","0,167","-0,148","-0,045","0,078","-0,054","-0,045","-0,081","-0,154","0,166"
1,"-0,166","-0,118","0,100","-0,420","-0,006","0,127","-0,241","0,024","0,022","0,268","0,055","0,346","0,212","0,042","-0,095","0,238","-0,012","0,099","0,164","-0,271","0,192"
2,"-0,219","-0,037","-0,056","-0,666","0,044","0,065","-0,164","-0,063","0,219","-0,029","-0,225","0,208","0,104","-0,068","-0,019","-0,011","0,180","-0,068","0,391","0,031","0,570"
3,"-0,288","-0,060","0,075","-0,666","-0,016","0,076","-0,215","0,020","0,332","-0,390","-0,287","0,085","0,164","-0,065","-0,026","-0,048","0,113","0,045","0,141","0,068","0,513"
4,"-0,331","-0,091","-0,237","-0,727","-0,015","0,079","-0,164","-0,063","0,219","-0,197","-0,214","-0,155","0,165","0,052","0,046","0,092","0,113","-0,007","0,067","0,133","0,359"
5,"-0,203","-0,184","-0,329","-0,478","0,065","0,178","-0,118","-0,157","0,046","-0,139","-0,048","-0,105","0,037","-0,020","-0,045","-0,034","0,163","0,014","-0,100","-0,115","-0,050"
6,"-0,151","-0,072","-0,169","-0,181","0,030","-0,013","-0,149","-0,105","-0,335","-0,092","0,047","0,194","0,019","0,135","-0,140","0,098","0,197","0,012","-0,317","-0,257","-0,366"
7,"-0,158","-0,037","-0,052","-0,312","-0,072","-0,237","-0,255","-0,070","-0,146","-0,762","0,042","0,164","0,225","-0,061","-0,032","0,026","0,038","-0,041","-0,477","-0,099","-0,151"
8,"-0,115","-0,006","0,260","-0,495","-0,131","-0,220","-0,357","-0,024","0,103","0,048","-0,159","-0,174","0,045","-0,155","-0,033","0,077","0,063","0,024","-0,410","-0,076","-0,101"
9,"-0,106","-0,117","0,103","-0,556","-0,131","-0,217","-0,297","0,095","0,076","0,046","-0,076","-0,150","0,037","-0,020","-0,045","0,011","-0,013","-0,009","-0,023","0,012","0,087"
