Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,989","-0,147","-0,030","0,000","0,996","-0,085","0,019","0,000","0,995","-0,091","0,041","0,000","0,968","-0,250","-0,021","0,000","0,873","0,483","0,063","0,000","0,869","0,476","-0,139","0,000","0,978","-0,204","0,049","0,000"
1,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,096","0,042","0,000","0,968","-0,250","-0,021","0,000","0,873","0,483","0,063","0,000","0,869","0,476","-0,139","0,000","0,978","-0,204","0,049","0,000"
2,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,096","0,042","0,000","0,968","-0,250","-0,021","0,000","0,873","0,484","0,063","0,000","0,869","0,476","-0,139","0,000","0,978","-0,205","0,049","0,000"
3,"0,989","-0,146","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,095","0,041","0,000","0,968","-0,249","-0,022","0,000","0,873","0,484","0,061","0,000","0,869","0,474","-0,139","0,000","0,978","-0,204","0,048","0,000"
4,"0,989","-0,146","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,095","0,042","0,000","0,968","-0,250","-0,022","0,000","0,873","0,484","0,061","0,000","0,869","0,474","-0,139","0,000","0,978","-0,204","0,049","0,000"
5,"0,989","-0,146","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,093","0,041","0,000","0,968","-0,249","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,474","-0,139","0,000","0,978","-0,203","0,048","0,000"
6,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,093","0,042","0,000","0,968","-0,250","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,474","-0,138","0,000","0,978","-0,204","0,049","0,000"
7,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,093","0,042","0,000","0,968","-0,250","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,474","-0,139","0,000","0,978","-0,203","0,049","0,000"
8,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,093","0,042","0,000","0,968","-0,250","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,474","-0,138","0,000","0,978","-0,204","0,049","0,000"
9,"0,989","-0,147","-0,030","0,000","0,996","-0,086","0,019","0,000","0,995","-0,093","0,041","0,000","0,968","-0,249","-0,022","0,000","0,873","0,484","0,059","0,000","0,870","0,474","-0,139","0,000","0,978","-0,203","0,048","0,000"
