Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,106","0,199","0,106","0,139","0,077","0,059","-0,157","0,007","-0,122","0,157","-0,271","0,177","-0,164","-0,103","-0,130","-0,170","-0,096","-0,048","-0,064","0,096","-0,097"
1,"-0,140","0,104","0,013","-0,043","0,017","0,066","0,147","0,005","-0,140","0,300","-0,176","0,159","0,098","-0,193","0,011","0,179","-0,192","0,030","-0,205","-0,103","-0,011"
2,"0,101","0,066","-0,108","0,079","0,198","0,044","0,090","0,019","-0,077","-0,023","-0,037","-0,011","0,208","0,030","-0,022","0,000","-0,124","0,013","0,022","-0,134","0,160"
3,"-0,023","-0,087","-0,185","0,140","0,092","0,180","0,090","-0,041","-0,063","-0,015","0,120","0,058","0,148","-0,222","-0,126","0,050","-0,077","-0,105","-0,070","-0,047","0,080"
4,"0,098","0,011","-0,282","-0,104","0,160","0,233","0,030","-0,159","-0,033","-0,058","0,263","0,060","0,271","0,072","0,019","0,231","-0,019","-0,037","-0,117","-0,114","0,109"
5,"0,220","-0,106","-0,248","-0,104","0,024","0,127","0,037","-0,073","0,072","0,034","0,344","-0,026","0,343","-0,019","0,091","0,231","-0,019","-0,037","-0,108","-0,095","0,167"
6,"0,098","0,011","-0,282","-0,165","0,009","0,006","0,166","-0,047","0,184","-0,093","0,383","0,006","0,334","0,113","0,060","0,238","-0,075","0,101","-0,294","-0,140","0,145"
7,"0,343","-0,029","-0,211","0,322","0,116","-0,130","0,045","-0,046","0,191","0,030","0,265","-0,061","0,340","0,067","0,099","0,186","0,075","-0,050","-0,183","0,030","0,202"
8,"0,100","0,048","-0,166","0,018","0,206","0,105","0,099","-0,133","0,082","0,005","0,153","-0,019","0,156","-0,105","0,014","0,279","0,013","0,027","-0,123","0,038","0,190"
9,"0,164","0,027","-0,033","0,018","0,145","0,112","0,163","-0,120","0,138","0,007","0,260","-0,262","0,037","-0,071","0,071","0,283","0,154","-0,104","0,105","-0,240","0,182"
10,"0,107","0,159","0,182","0,079","0,077","0,059","0,220","-0,074","0,061","0,034","0,163","-0,152","0,211","-0,056","-0,030","0,099","0,082","0,010","0,141","-0,117","0,136"
11,"0,174","0,368","0,434","0,139","0,198","0,044","0,202","-0,142","-0,235","0,001","0,074","-0,053","0,082","-0,053","-0,105","0,002","0,003","0,064","0,137","-0,040","0,177"
12,"0,051","0,233","0,416","0,200","0,130","-0,009","0,072","-0,109","-0,360","-0,050","0,060","-0,121","0,029","-0,063","-0,014","-0,152","-0,067","0,098","0,085","-0,201","0,108"
13,"0,050","0,273","0,339","0,078","0,123","-0,070","0,011","-0,108","-0,356","-0,007","0,097","0,002","0,008","-0,001","-0,224","-0,084","0,009","0,125","0,165","-0,182","-0,105"
14,"-0,012","0,080","0,338","0,078","-0,013","-0,176","-0,050","-0,048","-0,366","-0,090","-0,006","0,033","-0,027","-0,113","0,030","-0,027","0,000","0,145","0,108","-0,021","0,045"
15,"0,044","0,064","0,086","0,017","-0,058","-0,047","0,015","-0,095","-0,297","-0,023","0,143","0,114","-0,037","-0,019","-0,048","0,088","-0,003","0,003","0,085","-0,153","-0,168"
16,"-0,142","-0,107","-0,048","-0,043","0,009","0,006","-0,099","-0,186","-0,144","-0,123","-0,095","0,131","-0,045","-0,012","-0,133","0,020","-0,080","-0,024","-0,040","-0,018","-0,063"
17,"-0,021","-0,068","-0,127","0,078","-0,112","0,021","0,021","0,111","-0,219","0,000","-0,033","0,190","0,031","-0,024","0,033","-0,139","0,033","-0,078","0,046","0,095","-0,178"
18,"-0,025","-0,124","-0,301","0,017","-0,051","0,013","-0,025","0,165","0,022","0,106","-0,105","0,235","0,024","-0,142","-0,108","-0,046","-0,029","0,000","0,073","-0,095","-0,184"
19,"-0,146","-0,163","-0,222","-0,044","-0,058","-0,047","-0,074","0,088","0,231","-0,004","-0,112","0,155","-0,048","0,074","-0,125","-0,039","-0,197","-0,095","0,193","0,093","-0,070"
20,"-0,084","-0,221","-0,205","0,078","-0,051","0,013","-0,064","0,247","0,382","0,055","-0,120","0,167","-0,035","0,020","-0,001","-0,027","-0,112","-0,088","0,132","-0,086","-0,196"
21,"-0,083","-0,144","-0,165","-0,104","0,009","0,006","-0,077","0,015","0,185","-0,012","-0,089","0,211","-0,101","0,064","-0,034","-0,018","-0,153","-0,132","0,218","-0,021","-0,036"
22,"-0,082","-0,068","-0,126","-0,044","-0,058","-0,047","0,040","0,060","0,105","-0,051","-0,048","0,122","-0,088","0,010","0,090","-0,084","-0,103","-0,108","0,218","-0,021","-0,036"
23,"-0,084","-0,028","-0,202","-0,044","-0,058","-0,047","-0,024","-0,013","0,063","-0,031","0,166","0,170","-0,154","0,054","0,057","-0,046","-0,029","0,000","0,193","0,093","-0,070"
24,"-0,022","0,048","-0,164","-0,043","-0,112","0,021","0,037","0,046","0,045","-0,074","0,129","0,046","-0,135","-0,047","0,220","0,059","-0,006","0,084","0,028","0,009","-0,017"
25,"-0,018","-0,012","0,047","-0,044","-0,119","-0,040","-0,024","-0,013","0,063","0,120","0,058","-0,029","-0,093","0,056","0,051","-0,009","-0,082","0,057","0,060","0,209","-0,022"
26,"-0,013","0,062","0,280","-0,044","-0,126","-0,100","0,091","-0,100","-0,050","0,040","-0,147","-0,090","-0,027","0,012","0,085","-0,071","0,221","0,183","-0,087","-0,085","-0,034"
27,"0,047","0,101","0,202","0,017","-0,172","0,028","0,087","-0,054","-0,123","-0,078","0,050","0,012","0,095","-0,108","0,019","0,041","0,076","0,172","-0,042","-0,238","0,074"
28,"0,048","0,178","0,241","-0,044","-0,187","-0,093","0,148","-0,114","-0,113","-0,066","-0,075","-0,135","0,205","-0,009","-0,069","0,002","0,115","0,297","-0,190","-0,236","-0,034"
29,"0,172","0,157","0,374","0,139","-0,134","-0,161","0,072","-0,109","-0,360","0,167","-0,006","0,004","0,132","-0,082","-0,243","0,050","0,035","0,128","-0,049","-0,086","0,155"
30,"-0,015","0,159","0,185","0,078","0,002","-0,055","0,079","-0,022","-0,255","-0,145","-0,100","-0,070","0,206","-0,134","-0,124","0,244","0,193","0,021","0,093","-0,183","0,165"
31,"-0,017","0,064","0,087","0,078","0,009","0,006","0,015","-0,095","-0,297","-0,233","-0,101","0,051","0,266","-0,007","-0,074","0,186","0,075","-0,050","-0,021","-0,277","0,148"
32,"-0,141","-0,031","-0,008","0,017","-0,051","0,013","0,079","-0,022","-0,255","0,018","0,029","-0,165","0,018","0,030","-0,092","0,134","-0,098","0,017","-0,105","-0,171","0,126"
33,"-0,022","-0,010","-0,145","0,078","-0,051","0,013","0,026","-0,113","-0,106","0,026","0,186","-0,096","-0,035","0,020","-0,001","0,165","0,031","-0,013","-0,010","-0,038","0,069"
34,"-0,024","-0,047","-0,261","0,078","-0,066","-0,108","0,087","-0,054","-0,123","0,074","0,229","-0,306","0,023","-0,017","-0,053","0,156","-0,039","-0,203","0,019","-0,010","-0,075"
35,"-0,087","-0,084","-0,376","-0,043","-0,051","0,013","0,038","-0,132","0,086","0,081","0,099","-0,119","-0,087","-0,115","0,035","0,099","-0,030","-0,223","-0,010","-0,038","0,069"
36,"0,094","-0,045","-0,457","0,017","-0,051","0,013","0,037","-0,013","0,059","-0,023","-0,037","-0,011","-0,151","-0,032","0,049","0,004","0,017","-0,118","0,049","-0,029","0,057"
37,"-0,022","-0,145","-0,166","-0,044","0,002","-0,055","-0,017","0,074","0,168","-0,063","-0,103","0,143","0,144","0,113","-0,009","0,043","0,091","-0,010","0,037","0,028","0,040"
38,"-0,141","-0,089","0,010","0,078","-0,051","0,013","-0,085","0,047","0,053","0,104","-0,077","-0,043","-0,088","0,010","0,090","-0,112","0,021","0,024","0,043","-0,124","-0,041"
39,"-0,077","-0,052","0,125","0,139","0,009","0,006","-0,024","-0,013","0,063","-0,047","-0,149","0,031","0,026","0,022","-0,006","-0,025","0,015","-0,037","0,108","-0,021","0,045"
40,"0,047","0,043","0,220","0,078","0,070","-0,002","-0,028","-0,026","0,003","-0,016","-0,168","0,176","0,029","-0,063","-0,014","-0,009","-0,082","0,057","-0,085","0,086","0,104"
41,"-0,012","-0,171","0,354","0,018","-0,044","0,074","-0,032","0,079","-0,083","-0,008","-0,191","0,120","0,086","0,150","0,043","0,027","-0,135","0,115","0,007","0,048","-0,092"
42,"-0,073","-0,112","0,337","0,017","0,070","-0,002","0,026","-0,054","-0,119","-0,114","-0,118","0,075","0,026","0,022","-0,006","0,048","-0,091","0,077","0,025","0,085","0,023"
43,"-0,014","-0,073","0,259","-0,043","0,070","-0,001","0,026","-0,054","-0,119","0,024","-0,102","0,022","0,010","0,163","-0,123","0,022","0,047","0,027","-0,005","0,105","-0,109"
44,"-0,076","-0,033","0,183","-0,043","0,009","0,006","0,022","0,051","-0,206","0,120","0,058","-0,029","-0,153","-0,071","0,002","0,134","-0,098","0,017","-0,005","0,105","-0,109"
45,"0,042","-0,031","-0,012","0,139","0,077","0,059","0,026","0,005","-0,133","0,167","-0,006","0,004","-0,027","-0,113","0,030","0,104","-0,101","0,098","0,019","-0,010","-0,075"
46,"-0,142","-0,049","-0,066","0,139","0,198","0,044","-0,096","-0,053","-0,112","0,040","0,033","0,036","-0,034","-0,105","-0,056","-0,025","0,015","-0,037","0,084","0,094","0,011"
47,"-0,021","-0,126","-0,108","0,139","0,252","-0,024","-0,021","0,179","0,081","-0,074","0,129","0,046","0,018","0,030","-0,092","0,079","0,038","0,047","-0,078","-0,066","0,023"
48,"-0,023","-0,087","-0,185","0,078","0,191","-0,016","-0,028","-0,026","0,003","0,081","0,099","-0,119","0,089","-0,061","-0,020","0,011","-0,038","0,020","-0,061","-0,029","0,138"
49,"0,164","0,027","-0,033","0,018","0,077","0,059","-0,031","-0,040","-0,056","0,344","-0,031","0,040","-0,098","-0,022","-0,042","-0,025","0,015","-0,037","0,045","0,047","0,097"
50,"0,043","0,104","0,009","-0,104","0,009","0,006","0,082","0,051","-0,209","0,020","-0,180","-0,013","0,079","0,033","-0,097","0,029","-0,121","-0,068","-0,058","-0,105","0,097"
51,"0,043","0,104","0,009","-0,043","-0,044","0,074","0,022","-0,068","-0,178","-0,078","-0,131","-0,114","0,034","-0,110","0,025","-0,053","0,027","-0,139","0,002","-0,096","0,086"
52,"-0,018","-0,012","0,047","0,078","0,070","-0,002","-0,043","-0,021","-0,248","-0,055","-0,126","0,087","0,015","0,116","-0,084","0,279","0,013","0,027","0,306","-0,032","0,084"
53,"-0,078","0,064","0,088","0,139","0,070","-0,002","-0,039","-0,067","-0,175","0,085","-0,003","-0,209","0,023","-0,017","-0,053","0,099","0,082","0,010","-0,066","-0,123","0,040"
54,"-0,079","0,046","0,030","0,261","-0,119","-0,040","-0,081","0,001","0,126","0,108","0,002","-0,008","-0,027","0,012","0,085","0,099","0,082","0,010","-0,002","-0,020","0,126"
55,"-0,017","0,122","0,068","0,078","-0,119","-0,040","0,033","0,033","-0,014","0,022","0,107","-0,131","-0,037","-0,019","-0,048","-0,034","0,056","0,007","-0,019","-0,057","0,011"
56,"0,042","0,027","-0,030","0,200","-0,104","0,081","-0,025","0,106","0,035","0,022","0,107","-0,131","0,018","0,030","-0,092","0,070","0,079","0,091","-0,090","-0,009","0,006"
57,"-0,018","-0,012","0,047","0,079","-0,104","0,081","-0,028","0,033","-0,010","-0,117","0,091","-0,077","0,084","0,111","-0,004","0,063","0,135","-0,047","-0,067","0,172","-0,056"
58,"-0,018","0,046","0,029","0,139","0,063","-0,062","-0,032","0,079","-0,083","-0,192","-0,035","-0,103","0,144","0,113","-0,009","-0,025","0,015","-0,037","-0,074","0,324","0,025"
59,"-0,077","-0,052","0,125","0,078","-0,058","-0,047","-0,028","0,092","-0,024","-0,098","-0,164","-0,037","0,160","0,098","0,162","0,093","-0,186","0,091","-0,162","0,335","-0,095"
60,"-0,076","-0,033","0,183","0,079","-0,044","0,074","-0,025","0,106","0,035","-0,055","-0,126","0,087","0,149","0,192","0,084","0,306","0,001","0,129","0,149","0,247","-0,178"
