Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,035","0,182","0,039","-0,012","-0,077","-0,104","0,045","0,051","0,097","0,052","0,172","0,034","0,095","-0,092","-0,072","-0,049","0,021","0,059","0,123","-0,189","0,241"
1,"0,098","0,200","0,096","-0,189","-0,092","-0,029","-0,100","-0,069","-0,180","0,424","0,084","-0,012","0,340","-0,042","-0,047","0,228","-0,074","-0,047","-0,294","-0,057","0,111"
2,"0,094","0,165","-0,021","-0,001","0,018","0,040","0,016","-0,080","-0,249","-0,201","0,249","0,101","0,047","-0,073","0,068","0,036","0,024","-0,005","0,014","-0,072","0,077"
3,"0,034","-0,027","-0,027","0,120","0,020","0,029","0,067","-0,104","-0,373","-0,060","0,159","-0,042","-0,023","-0,064","-0,011","0,062","0,036","-0,086","0,133","-0,056","0,055"
4,"0,033","0,165","-0,019","-0,012","0,102","-0,067","-0,050","-0,032","-0,316","-0,070","0,104","-0,018","0,043","0,012","0,082","0,101","0,101","0,027","0,037","-0,185","0,119"
5,"-0,148","0,182","0,045","-0,072","-0,078","-0,099","0,014","-0,212","-0,285","0,049","0,092","0,003","0,091","0,114","0,005","0,053","0,072","-0,038","0,133","-0,056","0,055"
6,"-0,080","0,116","0,253","-0,062","-0,043","0,033","-0,035","0,003","-0,137","0,099","0,031","0,039","0,105","-0,106","0,012","0,053","0,072","-0,038","0,011","-0,173","-0,015"
7,"0,038","0,141","0,115","-0,056","-0,055","0,092","-0,032","0,075","-0,089","0,156","-0,056","0,019","0,101","-0,021","0,026","0,086","-0,069","-0,002","0,055","-0,030","-0,011"
8,"-0,085","0,006","0,094","0,060","-0,040","0,022","-0,084","-0,093","0,011","0,043","-0,070","-0,057","0,159","-0,053","-0,029","0,009","0,013","0,076","-0,004","-0,038","0,000"
9,"-0,025","0,123","0,058","-0,012","-0,077","-0,104","-0,073","0,122","0,155","0,205","-0,117","0,054","-0,097","0,031","-0,076","-0,039","-0,015","0,011","0,126","-0,078","-0,001"
10,"0,097","0,065","0,071","-0,001","0,078","0,052","-0,137","0,050","0,112","-0,041","-0,067","0,067","-0,027","0,021","0,003","0,036","0,024","-0,005","-0,060","-0,125","-0,025"
11,"-0,086","-0,069","0,053","-0,062","-0,102","0,020","-0,074","-0,069","0,130","0,136","-0,166","0,068","-0,027","0,021","0,003","0,050","-0,043","0,127","0,133","-0,056","0,055"
12,"-0,023","-0,186","0,085","-0,001","-0,042","0,028","-0,014","-0,069","0,125","0,019","-0,073","0,077","-0,027","0,021","0,003","-0,005","0,081","-0,056","0,177","0,086","0,060"
13,"-0,027","-0,086","-0,008","-0,056","0,064","0,117","-0,089","-0,105","-0,048","0,032","0,063","0,083","-0,141","-0,035","0,050","0,055","-0,049","-0,101","0,047","0,127","0,061"
14,"-0,027","-0,086","-0,008","0,060","0,019","0,035","-0,024","-0,093","0,006","0,089","-0,024","0,063","0,040","-0,024","0,032","0,011","-0,108","0,014","0,047","0,127","0,061"
15,"-0,025","-0,069","0,051","0,435","0,121","0,147","-0,085","-0,033","-0,001","0,609","-0,108","0,238","0,105","-0,106","0,012","-0,228","-0,159","-0,072","-0,757","-0,356","0,091"
16,"0,036","-0,069","0,049","0,187","0,009","0,084","-0,026","0,027","-0,018","0,065","-0,027","0,197","0,165","-0,102","0,006","-0,122","-0,139","0,012","-0,112","-0,111","0,043"
17,"-0,028","-0,103","-0,066","0,065","0,007","0,094","0,023","-0,188","-0,166","0,096","-0,050","0,008","0,028","-0,046","-0,102","0,011","-0,108","0,014","-0,112","-0,111","0,043"
18,"0,036","0,065","0,073","0,065","-0,053","0,082","0,023","-0,188","-0,166","-0,051","-0,122","0,091","0,156","-0,088","-0,078","-0,055","-0,184","-0,018","-0,029","-0,215","0,073"
19,"0,102","0,041","0,205","0,010","0,053","0,171","0,019","-0,200","-0,226","0,033","-0,125","-0,032","0,107","-0,070","0,062","0,018","-0,024","0,028","0,071","-0,165","-0,026"
20,"0,039","0,024","0,149","0,126","-0,052","0,077","-0,037","-0,188","-0,161","0,049","0,092","0,003","0,031","-0,011","-0,052","0,009","0,013","0,076","-0,034","-0,137","0,109"
21,"0,044","-0,001","0,283","0,120","-0,039","0,017","0,027","-0,116","-0,118","0,099","0,031","0,039","0,155","0,032","-0,015","-0,031","0,069","0,025","0,007","-0,095","0,021"
22,"0,041","0,041","0,207","-0,001","-0,042","0,028","0,048","-0,129","0,132","0,076","0,176","-0,101","0,050","-0,038","0,117","0,018","-0,024","0,028","0,048","-0,053","-0,067"
23,"0,043","0,058","0,266","0,060","0,019","0,035","0,066","0,038","0,347","0,063","0,040","-0,106","-0,024","0,057","0,052","0,093","0,016","0,013","-0,016","0,018","-0,020"
24,"0,038","0,082","0,132","-0,072","-0,018","-0,086","0,101","0,039","0,032","0,173","-0,027","-0,060","-0,029","-0,014","-0,046","0,093","0,016","0,013","0,126","-0,078","-0,001"
25,"-0,029","0,089","-0,059","0,054","0,032","-0,025","-0,081","0,039","0,047","0,083","-0,186","0,003","0,097","0,064","0,040","0,128","0,112","-0,054","0,015","-0,251","-0,050"
26,"0,029","-0,003","-0,161","-0,062","0,017","0,045","-0,097","0,063","-0,144","-0,034","-0,093","0,012","0,022","0,003","-0,137","0,045","-0,012","-0,053","-0,055","-0,203","-0,060"
27,"0,032","0,090","-0,061","0,115","0,033","-0,030","0,030","0,015","-0,082","0,163","-0,082","-0,036","-0,029","-0,014","-0,046","0,014","0,008","-0,152","-0,026","-0,105","-0,169"
28,"-0,025","-0,011","0,034","-0,006","-0,029","-0,032","-0,035","0,003","-0,137","-0,277","0,038","0,054","-0,148","0,014","0,015","-0,178","0,106","-0,109","-0,090","-0,035","-0,122"
29,"0,035","-0,010","0,032","-0,006","0,030","-0,020","-0,101","-0,009","-0,191","-0,196","-0,045","-0,100","-0,094","0,067","-0,026","0,093","0,016","0,013","0,029","-0,019","-0,144"
30,"-0,024","-0,128","0,068","0,054","-0,028","-0,037","-0,096","0,003","-0,132","-0,031","-0,012","0,042","-0,029","-0,014","-0,046","-0,057","-0,063","0,044","0,080","0,146","-0,084"
31,"-0,025","-0,011","0,034","0,060","0,019","0,035","0,032","-0,105","-0,059","-0,058","-0,096","0,146","-0,104","0,201","-0,048","-0,062","0,089","-0,074","0,024","0,239","0,019"
