Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,980","-0,199","0,017","0,000","0,970","-0,244","-0,002","0,000","0,987","-0,156","0,035","0,000","0,833","0,539","-0,126","0,000","0,900","0,433","0,052","0,000","0,888","0,432","-0,157","0,000","0,805","0,579","0,130","0,000"
1,"0,979","-0,202","0,017","0,000","0,969","-0,246","0,000","0,000","0,987","-0,157","0,036","0,000","0,833","0,539","-0,124","0,000","0,901","0,430","0,053","0,000","0,890","0,429","-0,158","0,000","0,805","0,578","0,132","0,000"
2,"0,979","-0,202","0,017","0,000","0,969","-0,246","0,000","0,000","0,987","-0,157","0,036","0,000","0,833","0,540","-0,124","0,000","0,901","0,431","0,053","0,000","0,890","0,429","-0,157","0,000","0,804","0,579","0,133","0,000"
3,"0,979","-0,202","0,017","0,000","0,970","-0,244","0,000","0,000","0,987","-0,154","0,036","0,000","0,833","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,429","-0,158","0,000","0,805","0,578","0,132","0,000"
4,"0,979","-0,202","0,017","0,000","0,970","-0,244","0,000","0,000","0,987","-0,156","0,036","0,000","0,833","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,429","-0,158","0,000","0,804","0,580","0,132","0,000"
5,"0,979","-0,201","0,017","0,000","0,970","-0,244","0,000","0,000","0,987","-0,156","0,036","0,000","0,832","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,431","-0,157","0,000","0,805","0,579","0,132","0,000"
6,"0,979","-0,201","0,017","0,000","0,970","-0,244","0,001","0,000","0,987","-0,156","0,037","0,000","0,832","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,431","-0,157","0,000","0,804","0,580","0,132","0,000"
7,"0,980","-0,200","0,017","0,000","0,970","-0,244","0,000","0,000","0,987","-0,155","0,037","0,000","0,832","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,888","0,432","-0,157","0,000","0,804","0,580","0,132","0,000"
8,"0,980","-0,201","0,017","0,000","0,970","-0,244","0,000","0,000","0,987","-0,155","0,037","0,000","0,832","0,540","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,431","-0,157","0,000","0,804","0,580","0,133","0,000"
9,"0,980","-0,200","0,017","0,000","0,970","-0,243","0,000","0,000","0,987","-0,155","0,037","0,000","0,832","0,541","-0,124","0,000","0,900","0,433","0,053","0,000","0,889","0,431","-0,157","0,000","0,804","0,580","0,133","0,000"
