Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-10,712","-0,620","0,007","10,888","-2,966","0,283","-15,676","-1,561","1,004","-17,853","3,810","1,452","67,801","3,492","2,420","76,211","13,815","-7,380","-15,078","5,344","0,832"
1,"-10,849","-0,469","0,017","11,136","-3,042","0,297","-15,658","-1,468","1,016","-17,752","3,733","1,447","67,801","3,490","2,508","76,418","13,730","-7,362","-14,827","5,310","0,821"
2,"-11,181","-0,470","0,020","11,136","-3,042","0,297","-15,643","-1,642","1,024","-18,123","3,725","1,469","67,801","3,575","2,466","76,456","13,730","-7,362","-14,824","5,486","0,862"
3,"-10,893","-0,621","0,008","11,125","-3,039","0,296","-15,577","-1,651","1,019","-17,811","3,876","1,487","67,811","3,489","2,510","76,318","13,766","-7,366","-14,761","5,493","0,862"
4,"-10,885","-0,579","0,004","11,182","-3,192","0,313","-15,612","-1,873","1,032","-17,757","3,912","1,519","67,893","3,595","2,455","76,342","13,749","-7,407","-14,738","5,565","0,860"
5,"-10,720","-0,620","0,007","11,180","-3,191","0,312","-15,576","-1,889","1,026","-17,579","4,021","1,535","67,903","3,607","2,431","76,310","13,723","-7,342","-14,705","5,554","0,857"
6,"-10,715","-0,620","0,007","11,180","-3,191","0,312","-15,624","-1,975","1,033","-17,579","4,021","1,535","67,936","3,610","2,431","76,314","13,709","-7,334","-14,795","5,637","0,878"
7,"-10,733","-0,715","0,001","11,125","-3,067","0,299","-15,627","-1,906","1,028","-17,607","3,999","1,510","67,954","3,528","2,468","76,279","13,720","-7,342","-14,854","5,674","0,902"
8,"-10,733","-0,688","0,003","11,142","-3,067","0,299","-15,577","-1,930","1,024","-17,590","3,973","1,503","68,032","3,532","2,471","76,279","13,720","-7,342","-14,874","5,698","0,909"
9,"-10,842","-0,673","0,007","11,128","-3,054","0,298","-15,640","-1,922","1,030","-17,584","3,960","1,496","67,914","3,521","2,472","76,143","13,752","-7,349","-14,870","5,705","0,911"
10,"-10,983","-0,559","0,044","11,438","-3,186","0,324","-15,122","-1,593","1,013","-17,139","3,815","1,391","68,233","3,339","2,837","75,969","14,025","-7,812","-14,362","5,329","0,760"
11,"-10,970","-0,689","0,001","11,128","-3,052","0,295","-15,275","-2,146","0,928","-17,748","3,718","1,376","68,232","3,545","2,504","76,193","13,906","-7,613","-14,587","5,751","0,959"
12,"-10,809","-0,951","-0,088","10,817","-2,921","0,266","-15,261","-2,060","0,940","-18,228","3,846","1,471","68,342","3,620","2,407","76,745","13,828","-7,474","-15,210","5,890","0,997"
13,"-10,827","-0,928","-0,081","10,862","-2,587","0,200","-15,819","-1,875","1,057","-17,866","3,600","1,313","68,148","3,474","2,604","76,186","13,870","-7,546","-15,399","5,984","1,035"
14,"-11,412","-0,712","0,001","10,806","-2,919","0,260","-15,765","-1,945","1,036","-18,184","3,716","1,390","68,316","3,597","2,449","76,085","13,791","-7,414","-15,712","5,835","0,943"
15,"-11,447","-0,718","0,001","11,097","-3,091","0,288","-15,583","-2,278","0,947","-17,825","4,167","1,615","68,421","3,671","2,358","75,892","13,793","-7,428","-15,104","5,686","0,904"
16,"-10,895","-0,911","-0,070","10,787","-2,949","0,255","-15,443","-2,016","0,984","-17,817","4,017","1,527","68,218","3,679","2,305","75,917","13,874","-7,569","-15,106","5,839","0,974"
17,"-11,180","-0,574","0,045","11,099","-3,071","0,275","-15,580","-1,937","1,025","-17,452","3,834","1,405","67,849","3,619","2,324","75,844","13,850","-7,540","-14,677","5,437","0,795"
18,"-10,743","-0,502","0,056","11,136","-2,736","0,206","-15,661","-1,743","1,075","-17,158","3,721","1,330","68,047","3,690","2,258","75,711","13,715","-7,322","-14,965","5,797","0,955"
19,"-10,902","-0,832","-0,051","11,102","-3,071","0,269","-15,384","-1,925","0,997","-17,514","4,050","1,533","68,263","3,460","2,682","76,178","13,842","-7,530","-15,012","5,795","0,952"
20,"-11,018","-0,853","-0,064","11,418","-3,183","0,289","-16,004","-2,086","1,064","-17,312","3,871","1,431","68,100","3,669","2,312","76,053","13,888","-7,609","-15,003","5,719","0,914"
21,"-10,732","-0,505","0,037","11,125","-3,014","0,252","-16,025","-2,216","1,045","-17,290","3,701","1,341","67,561","3,544","2,388","75,770","13,816","-7,490","-14,991","5,930","1,023"
22,"-10,788","-0,984","-0,118","11,026","-2,691","0,187","-15,996","-2,129","1,052","-17,623","3,596","1,305","68,103","3,698","2,266","76,046","14,144","-8,035","-15,407","6,163","1,121"
23,"-10,673","-0,503","0,037","10,934","-3,014","0,247","-15,951","-2,321","1,006","-17,466","3,718","1,362","68,105","3,765","2,159","76,071","13,908","-7,647","-15,173","5,846","0,981"
24,"-11,020","-0,894","-0,079","10,904","-2,678","0,180","-15,504","-1,848","1,024","-17,789","3,473","1,245","68,145","3,554","2,511","75,853","13,997","-7,806","-15,029","5,903","1,020"
25,"-10,458","-1,004","-0,120","10,696","-2,944","0,228","-15,433","-1,262","1,122","-17,767","3,900","1,472","68,268","3,380","2,821","76,268","13,795","-7,475","-15,036","5,412","0,780"
26,"-10,452","-0,974","-0,107","11,019","-2,849","0,207","-15,529","-1,588","1,079","-17,739","3,906","1,465","68,233","3,530","2,573","76,771","13,835","-7,540","-15,023","5,555","0,850"
27,"-10,970","-1,154","-0,151","10,818","-3,122","0,255","-15,827","-2,127","1,025","-18,249","4,082","1,583","68,028","3,803","2,092","76,402","14,067","-7,925","-15,251","5,611","0,863"
28,"-11,056","-0,514","0,058","11,011","-2,845","0,198","-15,281","-1,867","0,993","-18,021","3,542","1,263","68,202","3,666","2,356","76,090","13,737","-7,373","-14,854","5,640","0,899"
29,"-11,112","-0,585","0,037","10,880","-3,158","0,253","-15,073","-1,956","0,949","-17,920","4,010","1,509","68,159","3,495","2,627","75,960","13,795","-7,469","-14,999","5,663","0,897"
30,"-11,098","-0,602","0,033","10,900","-3,133","0,244","-15,126","-1,996","0,953","-17,918","4,010","1,507","68,150","3,524","2,584","76,004","13,776","-7,441","-15,008","5,702","0,912"
31,"-11,140","-0,641","0,020","10,916","-3,107","0,236","-15,183","-2,006","0,965","-17,921","4,000","1,503","68,136","3,531","2,575","75,969","13,797","-7,482","-15,016","5,746","0,928"
32,"-11,118","-0,661","0,011","10,918","-3,073","0,227","-15,243","-2,024","0,976","-17,883","3,960","1,482","68,125","3,520","2,584","75,987","13,810","-7,509","-15,043","5,790","0,947"
33,"-11,127","-0,658","0,008","10,939","-3,048","0,222","-15,241","-2,022","0,980","-17,851","3,908","1,457","68,117","3,521","2,579","75,994","13,814","-7,517","-14,987","5,805","0,954"
34,"-11,186","-0,644","0,011","10,958","-3,022","0,215","-15,279","-2,047","0,979","-17,857","3,883","1,445","68,085","3,547","2,531","75,936","13,815","-7,520","-14,994","5,821","0,966"
35,"-11,125","-0,668","0,000","10,966","-2,989","0,208","-15,335","-2,020","0,988","-17,816","3,863","1,434","68,076","3,539","2,544","75,976","13,808","-7,509","-15,009","5,832","0,976"
36,"-11,090","-0,645","0,009","10,992","-3,010","0,212","-15,340","-1,982","0,992","-17,785","3,854","1,425","68,118","3,538","2,555","75,991","13,796","-7,494","-15,008","5,800","0,965"
37,"-11,101","-0,633","0,020","11,023","-3,022","0,216","-15,361","-1,920","1,004","-17,732","3,845","1,412","68,122","3,528","2,568","75,971","13,787","-7,480","-14,978","5,758","0,950"
38,"-11,040","-0,646","0,021","10,989","-3,013","0,216","-15,417","-1,921","1,013","-17,735","3,844","1,404","68,116","3,544","2,541","76,028","13,804","-7,502","-15,036","5,754","0,943"
39,"-10,986","-0,629","0,032","11,013","-2,990","0,212","-15,408","-1,930","1,011","-17,681","3,827","1,382","68,127","3,557","2,526","76,071","13,792","-7,475","-14,990","5,753","0,941"
40,"-10,928","-0,644","0,032","11,020","-2,956","0,208","-15,448","-1,904","1,024","-17,645","3,818","1,366","68,117","3,563","2,513","76,122","13,804","-7,484","-14,988","5,753","0,937"
41,"-0,393","-0,275","0,001","-0,081","-0,151","-0,212","-0,147","-0,046","0,000","-0,540","0,358","0,002","-0,223","0,180","0,000","0,174","-0,249","0,000","-0,019","-0,201","0,000"
42,"-0,393","-0,275","0,001","0,043","-0,312","-0,212","-0,266","-0,027","0,000","-0,416","0,518","0,003","-0,223","0,267","0,000","-0,284","-0,252","-0,001","-0,015","-0,334","0,000"
43,"-0,186","-0,181","0,000","0,043","-0,312","-0,212","-0,118","0,022","0,000","-0,416","0,424","0,003","-0,057","0,217","0,000","-0,077","-0,251","-0,001","-0,074","-0,335","-0,001"
44,"0,033","-0,252","0,000","0,043","-0,152","-0,212","-0,268","0,002","0,000","0,010","0,336","0,000","-0,222","0,243","0,000","-0,062","0,089","0,000","-0,017","-0,203","0,000"
45,"0,077","-0,221","0,000","0,043","-0,247","-0,212","-0,189","-0,027","0,000","0,011","0,357","0,000","-0,146","0,244","0,000","-0,018","0,131","0,000","-0,015","-0,269","0,000"
46,"0,063","-0,180","0,000","-0,032","-0,247","-0,212","-0,189","-0,027","0,000","-0,034","0,359","0,000","-0,087","0,134","0,000","-0,062","0,089","0,000","-0,090","-0,269","0,000"
47,"0,110","-0,069","0,000","-0,032","-0,247","-0,212","-0,176","-0,011","0,000","-0,031","0,247","0,000","-0,129","0,200","0,000","-0,018","0,089","0,000","-0,094","-0,241","0,000"
48,"0,226","-0,180","0,000","-0,032","-0,238","-0,212","-0,133","-0,029","0,000","0,128","0,350","-0,001","-0,071","0,134","0,000","-0,062","0,089","0,000","-0,050","-0,260","0,000"
49,"0,226","-0,180","0,000","-0,032","-0,247","-0,212","-0,139","-0,013","0,000","0,128","0,358","-0,001","-0,127","0,090","0,000","-0,062","0,079","0,000","-0,058","-0,239","0,000"
