Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,064","-0,087","-0,013","-0,188","-0,115","0,391","0,059","0,083","0,252","0,530","-0,166","-0,105","-0,047","0,026","0,137","0,003","-0,092","-0,001","0,481","0,143","0,555"
1,"0,307","-0,204","0,026","-0,130","-0,247","0,351","0,219","0,047","0,052","0,409","-0,142","-0,190","0,368","-0,013","-0,015","0,482","-0,099","-0,141","-1,084","0,150","0,816"
2,"0,368","0,007","0,087","-0,316","-0,018","0,254","0,077","-0,164","-0,079","0,035","0,038","0,261","-0,077","-0,001","-0,133","-0,129","-0,126","0,000","-0,138","0,062","0,150"
3,"0,246","-0,032","0,163","-0,133","-0,139","0,268","0,251","-0,118","-0,172","-0,095","0,325","0,657","-0,123","0,009","0,009","-0,215","-0,126","-0,161","-0,083","0,227","-0,352"
4,"0,368","0,084","0,127","-0,011","-0,081","0,250","0,069","-0,115","-0,150","0,156","0,257","0,282","-0,120","-0,075","-0,011","0,056","-0,301","-0,076","-0,118","0,063","-0,129"
5,"0,307","0,008","0,087","-0,018","-0,104","0,131","0,128","-0,027","0,326","-0,020","-0,001","-0,067","0,002","0,049","0,046","-0,019","-0,226","0,010","0,103","-0,245","-0,221"
6,"0,368","0,026","0,145","0,101","-0,057","0,053","0,106","-0,120","0,159","-0,447","-0,055","-0,045","-0,136","-0,472","0,168","-0,063","-0,168","-0,035","-0,451","-0,196","-0,220"
7,"0,126","0,011","-0,107","0,037","-0,128","0,008","0,159","-0,012","0,070","-0,323","0,023","-0,155","0,157","0,382","-0,032","0,062","-0,101","0,014","-0,268","-0,258","-0,221"
8,"-0,058","-0,028","-0,032","0,220","-0,010","-0,025","0,123","-0,247","-0,195","-0,564","-0,201","-0,315","-0,159","-0,117","0,163","-0,005","-0,059","0,050","-0,118","-0,238","-0,050"
9,"-0,117","-0,044","-0,284","0,098","-0,188","0,017","0,137","-0,105","-0,098","0,290","-0,283","-0,324","-0,065","0,097","0,021","0,017","0,075","0,038","0,264","-0,254","0,031"
10,"0,003","-0,105","-0,071","-0,088","-0,138","-0,045","0,205","-0,155","-0,034","0,531","-0,278","-0,183","-0,123","0,009","0,009","-0,027","0,134","-0,007","0,523","-0,210","0,103"
11,"0,064","-0,145","0,006","-0,037","-0,234","-0,216","0,098","-0,011","0,077","0,531","-0,142","-0,188","-0,009","0,068","-0,037","0,067","0,100","0,103","0,583","0,085","0,429"
12,"0,123","-0,166","0,141","-0,101","-0,185","-0,284","0,031","-0,141","0,047","0,100","-0,162","0,023","0,001","-0,068","-0,025","0,040","0,092","-0,043","0,494","0,063","0,249"
13,"0,307","0,142","0,108","-0,159","-0,053","-0,245","0,108","-0,089","-0,347","-0,143","-0,162","0,019","-0,002","0,016","-0,005","0,070","-0,134","-0,037","0,506","-0,017","-0,058"
14,"0,248","-0,124","-0,127","-0,165","-0,076","-0,364","0,108","-0,209","-0,325","-0,144","0,111","0,009","-0,076","0,116","-0,062","0,034","-0,108","-0,133","0,088","-0,107","-0,355"
15,"0,310","-0,180","-0,301","-0,046","-0,029","-0,442","0,054","-0,077","-0,280","0,165","0,213","-0,180","-0,063","-0,104","-0,069","0,040","-0,235","0,025","0,006","-0,048","-0,507"
16,"0,189","-0,101","-0,455","0,313","-0,176","-0,557","0,191","-0,177","-0,153","0,224","0,189","-0,096","0,009","-0,003","0,078","-0,032","-0,184","-0,167","-0,215","-0,335","-1,085"
17,"0,312","-0,119","-0,513","0,200","-0,199","-0,360","0,107","-0,029","-0,358","0,045","0,018","-0,284","-0,069","0,064","-0,030","-0,011","-0,260","-0,040","-0,318","-0,277","-0,958"
18,"0,250","-0,082","-0,397","0,204","-0,068","-0,323","0,115","-0,078","-0,287","0,051","-0,157","-0,605","-0,191","-0,060","-0,087","-0,048","-0,117","-0,066","-0,173","-0,096","-0,454"
19,"0,126","-0,143","-0,187","0,325","-0,069","-0,330","0,169","-0,210","-0,332","-0,067","-0,191","-0,798","-0,136","0,112","-0,055","0,062","-0,101","0,014","-0,323","-0,119","-0,211"
20,"0,126","-0,124","-0,128","0,146","-0,235","-0,226","0,251","-0,118","-0,172","-0,309","-0,250","-0,909","-0,059","-0,071","-0,018","-0,034","0,050","-0,027","0,099","-0,136","-0,274"
21,"0,064","-0,087","-0,013","-0,040","-0,305","-0,264","0,280","-0,014","0,055","-0,194","-0,128","-0,556","-0,069","0,064","-0,030","0,041","-0,025","-0,113","0,379","-0,094","-0,067"
22,"0,004","-0,066","-0,148","0,027","-0,163","-0,171","0,197","-0,046","-0,116","-0,075","-0,040","-0,394","-0,117","-0,159","-0,030","0,165","0,042","-0,064","0,194","0,020","0,320"
23,"0,006","-0,100","-0,457","0,024","-0,114","-0,243","0,130","-0,116","-0,157","0,226","-0,196","-0,164","-0,013","0,035","-0,089","0,055","0,143","-0,074","-0,016","0,002","0,158"
24,"0,066","-0,121","-0,322","0,024","-0,055","-0,254","0,077","-0,164","-0,079","0,041","-0,084","-0,090","-0,062","0,013","0,002","-0,005","-0,059","0,050","0,209","-0,115","0,041"
25,"-0,056","-0,198","-0,362","0,024","-0,055","-0,254","0,077","-0,104","-0,090","-0,084","-0,240","0,132","-0,019","0,087","-0,121","-0,130","-0,009","0,070","0,294","-0,281","-0,167"
26,"0,003","-0,145","0,005","0,082","-0,067","-0,317","-0,051","-0,173","-0,124","-0,090","0,042","0,395","-0,002","0,016","-0,005","-0,079","-0,101","0,066","0,322","-0,198","-0,419"
27,"0,123","-0,148","0,199","0,140","0,041","-0,403","0,100","-0,100","-0,406","0,336","-0,064","0,461","-0,015","0,119","-0,069","0,033","0,009","-0,063","0,364","-0,254","-0,536"
28,"0,550","-0,014","0,224","0,136","-0,210","-0,417","0,108","-0,089","-0,347","0,098","-0,021","0,155","-0,194","0,024","-0,068","0,452","-0,200","-0,080","-0,244","-0,065","-0,525"
29,"0,187","0,011","-0,107","0,377","-0,105","-0,512","0,153","-0,052","-0,484","0,161","-0,025","0,020","-0,013","0,035","-0,089","-0,075","-0,125","-0,213","-0,303","-0,115","-0,903"
30,"0,127","-0,238","-0,284","0,505","-0,202","-0,376","0,100","-0,100","-0,406","0,470","-0,006","-0,194","-0,080","0,083","-0,114","0,026","-0,075","-0,082","-0,033","-0,100","-0,750"
31,"0,127","-0,256","-0,342","0,390","0,002","-0,285","0,123","-0,127","-0,217","0,596","0,014","-0,410","-0,009","0,068","-0,037","0,070","-0,134","-0,037","0,037","-0,075","-0,705"
32,"0,127","-0,121","-0,321","0,268","-0,117","-0,255","0,113","0,011","0,196","0,599","-0,127","-0,542","-0,006","-0,016","-0,057","-0,056","-0,084","-0,016","0,214","0,024","-0,372"
33,"0,248","-0,048","-0,088","0,220","-0,070","-0,013","0,098","0,049","0,066","0,415","-0,181","-0,516","-0,069","0,064","-0,030","-0,004","-0,176","-0,021","0,523","-0,207","-0,311"
34,"0,186","-0,087","-0,012","0,149","0,016","-0,212","0,077","-0,104","-0,090","0,411","-0,200","-0,297","-0,069","0,064","-0,030","-0,129","-0,126","0,000","0,488","0,227","0,169"
35,"0,125","-0,029","-0,031","0,037","-0,008","-0,015","0,144","-0,034","-0,049","0,288","-0,225","-0,217","0,009","-0,003","0,078","-0,085","-0,185","0,046","0,521","0,142","0,411"
36,"0,065","-0,066","-0,147","-0,027","-0,139","-0,048","0,220","-0,073","0,074","0,281","-0,103","0,134","0,116","0,108","0,000","-0,072","-0,017","0,085","0,401","0,147","0,429"
37,"0,247","-0,029","-0,030","-0,018","-0,104","0,131","0,106","0,000","0,137","0,151","-0,006","0,565","0,001","-0,068","-0,025","0,003","-0,092","-0,001","0,342","0,094","0,465"
38,"0,124","0,103","0,183","0,107","-0,034","0,173","0,099","-0,071","0,088","-0,036","0,193","0,800","0,009","-0,003","0,078","0,085","-0,083","-0,067","0,335","0,016","0,024"
39,"0,367","0,082","0,320","0,287","-0,107","0,115","0,138","-0,165","-0,087","-0,162","0,364","0,982","0,009","-0,003","0,078","-0,049","0,000","0,004","0,108","-0,109","-0,220"
40,"0,244","0,177","0,416","0,171","-0,142","0,253","0,220","-0,073","0,074","0,569","0,447","1,020","-0,123","0,009","0,009","-0,084","0,025","-0,092","-0,189","-0,207","-0,122"
41,"0,123","-0,013","0,220","0,046","-0,153","0,199","0,166","-0,061","0,140","0,396","0,048","0,540","-0,045","-0,058","0,117","0,018","-0,042","-0,032","0,198","-0,087","-0,040"
