Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,988","-0,156","-0,004","0,000","0,995","-0,095","0,026","0,000","0,994","-0,089","0,059","0,000","0,969","-0,248","-0,010","0,000","0,873","0,483","0,066","0,000","0,869","0,475","-0,139","0,000","0,972","-0,224","0,073","0,000"
1,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,089","0,061","0,000","0,968","-0,249","-0,008","0,000","0,873","0,483","0,066","0,000","0,868","0,477","-0,139","0,000","0,972","-0,224","0,073","0,000"
2,"0,988","-0,157","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,089","0,061","0,000","0,968","-0,252","-0,008","0,000","0,873","0,483","0,067","0,000","0,868","0,477","-0,139","0,000","0,972","-0,224","0,075","0,000"
3,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,089","0,061","0,000","0,968","-0,249","-0,010","0,000","0,873","0,483","0,066","0,000","0,868","0,476","-0,139","0,000","0,972","-0,223","0,075","0,000"
4,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,028","0,000","0,994","-0,089","0,061","0,000","0,968","-0,249","-0,009","0,000","0,873","0,484","0,067","0,000","0,868","0,476","-0,138","0,000","0,972","-0,223","0,077","0,000"
5,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,028","0,000","0,994","-0,089","0,060","0,000","0,969","-0,248","-0,010","0,000","0,873","0,484","0,067","0,000","0,868","0,476","-0,138","0,000","0,972","-0,223","0,077","0,000"
6,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,028","0,000","0,994","-0,089","0,060","0,000","0,969","-0,248","-0,010","0,000","0,873","0,484","0,067","0,000","0,868","0,476","-0,138","0,000","0,972","-0,224","0,077","0,000"
7,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,089","0,060","0,000","0,969","-0,248","-0,010","0,000","0,873","0,484","0,066","0,000","0,868","0,476","-0,138","0,000","0,972","-0,224","0,077","0,000"
8,"0,988","-0,156","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,090","0,060","0,000","0,969","-0,248","-0,010","0,000","0,873","0,484","0,066","0,000","0,868","0,476","-0,138","0,000","0,972","-0,224","0,077","0,000"
9,"0,988","-0,155","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,089","0,060","0,000","0,969","-0,247","-0,010","0,000","0,873","0,483","0,066","0,000","0,868","0,476","-0,139","0,000","0,972","-0,224","0,077","0,000"
10,"0,988","-0,152","-0,003","0,000","0,995","-0,100","0,028","0,000","0,994","-0,092","0,061","0,000","0,969","-0,246","-0,008","0,001","0,873","0,484","0,064","0,001","0,868","0,476","-0,141","0,001","0,972","-0,223","0,074","0,000"
11,"0,988","-0,155","-0,002","0,000","0,995","-0,097","0,027","0,000","0,994","-0,090","0,059","0,000","0,969","-0,249","-0,008","0,001","0,872","0,485","0,065","0,001","0,868","0,476","-0,139","0,000","0,972","-0,222","0,077","0,000"
12,"0,987","-0,158","-0,002","0,000","0,995","-0,094","0,026","0,000","0,994","-0,093","0,060","0,000","0,968","-0,250","-0,010","0,000","0,873","0,484","0,067","0,000","0,868","0,478","-0,138","-0,001","0,971","-0,224","0,077","0,000"
13,"0,988","-0,155","-0,003","0,000","0,995","-0,095","0,023","0,000","0,994","-0,090","0,059","0,000","0,969","-0,248","-0,011","0,000","0,872","0,485","0,064","0,001","0,868","0,476","-0,139","0,000","0,971","-0,226","0,075","0,000"
14,"0,988","-0,152","-0,003","0,000","0,995","-0,094","0,026","0,000","0,994","-0,093","0,060","0,000","0,968","-0,250","-0,009","0,000","0,873","0,484","0,067","0,000","0,868","0,478","-0,138","-0,001","0,971","-0,228","0,077","0,000"
15,"0,988","-0,151","-0,006","0,000","0,995","-0,097","0,027","0,000","0,994","-0,092","0,057","0,000","0,968","-0,249","-0,012","0,000","0,872","0,485","0,065","0,001","0,867","0,477","-0,141","0,001","0,971","-0,226","0,077","0,000"
16,"0,988","-0,153","-0,004","0,000","0,995","-0,094","0,026","0,000","0,994","-0,090","0,060","0,000","0,969","-0,246","-0,012","0,000","0,872","0,485","0,068","-0,001","0,869","0,475","-0,140","0,001","0,972","-0,223","0,077","0,000"
17,"0,989","-0,151","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,088","0,058","0,000","0,969","-0,246","-0,009","0,000","0,873","0,484","0,065","0,001","0,867","0,477","-0,140","0,000","0,972","-0,222","0,074","-0,001"
18,"0,988","-0,152","-0,006","0,000","0,995","-0,097","0,024","-0,001","0,994","-0,090","0,060","0,000","0,970","-0,244","-0,011","0,000","0,872","0,484","0,068","-0,001","0,869","0,475","-0,140","0,001","0,971","-0,225","0,075","-0,001"
19,"0,988","-0,153","-0,004","0,000","0,995","-0,097","0,027","0,000","0,994","-0,093","0,061","0,000","0,969","-0,247","-0,011","0,000","0,873","0,483","0,066","0,000","0,868","0,477","-0,140","0,000","0,971","-0,225","0,078","0,000"
