Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-13,489","-0,273","0,389","12,443","-2,388","0,260","-13,567","-1,941","0,508","-17,117","5,689","1,870","69,402","4,844","-0,040","73,336","13,384","-5,084","-12,904","3,548","0,522"
1,"-13,383","-0,262","0,372","12,515","-2,402","0,263","-13,572","-2,135","0,512","-17,043","5,584","1,842","69,287","4,858","-0,045","73,633","13,468","-5,226","-12,841","3,725","0,561"
2,"-13,257","0,189","0,380","12,515","-2,402","0,263","-13,571","-2,191","0,512","-17,049","5,148","1,728","69,238","4,893","-0,064","73,854","13,487","-5,241","-12,840","3,779","0,574"
3,"-13,183","0,280","0,391","12,161","-2,274","0,242","-13,574","-2,129","0,512","-17,191","5,034","1,671","69,244","4,857","-0,046","73,655","13,446","-5,149","-13,154","3,843","0,595"
4,"-13,186","0,486","0,396","12,167","-2,275","0,242","-13,586","-2,128","0,513","-17,182","4,836","1,619","69,197","4,863","-0,049","73,655","13,446","-5,149","-13,161","3,841","0,595"
5,"-13,177","0,309","0,395","12,094","-2,274","0,241","-13,681","-2,163","0,498","-17,239","5,033","1,670","69,042","4,936","-0,216","73,635","13,414","-5,112","-13,218","3,692","0,560"
6,"-13,177","0,323","0,392","12,100","-2,276","0,241","-13,683","-2,318","0,501","-17,232","4,994","1,660","69,010","4,940","-0,218","73,641","13,425","-5,138","-13,216","3,842","0,593"
7,"-13,179","0,281","0,391","12,073","-2,248","0,238","-13,666","-2,264","0,488","-17,246","5,007","1,659","68,988","4,807","-0,209","73,627","13,426","-5,141","-13,184","3,721","0,568"
8,"-13,248","0,280","0,392","12,073","-2,248","0,238","-13,756","-2,185","0,503","-17,316","5,005","1,663","69,003","4,776","-0,129","73,628","13,412","-5,133","-13,274","3,739","0,573"
9,"-13,247","0,159","0,393","12,040","-2,233","0,236","-13,695","-2,187","0,500","-17,337","5,136","1,695","68,942","4,753","-0,116","73,583","13,395","-5,101","-13,246","3,755","0,577"
10,"-13,637","0,325","0,459","11,703","-2,275","0,247","-13,250","-2,293","0,436","-17,761","4,881","1,570","69,461","4,727","-0,009","73,103","13,339","-5,055","-13,422","3,988","0,673"
11,"-13,148","0,345","0,439","12,037","-2,250","0,244","-13,823","-2,373","0,485","-17,186","5,049","1,639","68,945","4,787","-0,174","73,066","13,291","-4,974","-13,387","3,904","0,631"
12,"-13,329","0,650","0,535","12,239","-1,983","0,188","-13,901","-2,545","0,458","-16,812","4,556","1,349","68,621","4,936","-0,451","72,993","13,313","-5,016","-12,939","4,330","0,850"
13,"-13,235","0,149","0,388","11,996","-2,215","0,240","-13,835","-2,315","0,499","-17,227","5,016","1,622","68,986","4,750","-0,114","73,544","13,520","-5,293","-13,438","3,950","0,649"
14,"-13,810","0,236","0,448","12,279","-2,036","0,204","-13,657","-2,135","0,514","-17,233","4,936","1,575","69,555","4,802","-0,125","73,491","13,452","-5,186","-13,285","3,828","0,599"
15,"-13,195","0,211","0,407","12,156","-2,347","0,272","-14,272","-2,080","0,586","-17,079","5,312","1,780","69,008","4,785","-0,169","73,529","13,383","-5,067","-13,707","3,617","0,482"
