Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,002","0,001","1,027","-0,002","-0,008","1,010","-0,002","-0,004","1,002","0,007","-0,002","1,055","0,000","0,005","0,950","-0,001","-0,003","0,957","0,004","0,002","1,019"
1,"0,000","-0,001","1,024","0,000","-0,001","1,003","0,001","0,000","1,001","0,005","0,003","1,055","0,000","-0,003","0,950","0,000","0,001","0,958","0,001","0,002","1,020"
2,"0,005","-0,004","1,024","0,002","0,000","1,007","-0,002","0,002","1,005","-0,003","0,002","1,051","-0,001","-0,001","0,947","0,001","0,001","0,955","0,000","0,003","1,020"
3,"0,001","-0,001","1,025","0,000","-0,003","1,006","0,004","-0,002","1,004","-0,006","0,002","1,053","0,004","0,003","0,946","0,001","0,000","0,958","0,004","0,004","1,020"
4,"0,003","0,003","1,027","0,003","-0,001","1,005","0,007","-0,001","1,005","-0,009","0,006","1,051","0,002","0,001","0,945","0,003","0,000","0,960","0,008","0,002","1,023"
5,"0,003","-0,001","1,023","-0,001","-0,001","1,011","0,005","0,001","1,004","0,000","0,003","1,054","0,003","-0,002","0,945","0,002","0,001","0,962","0,004","0,006","1,022"
6,"-0,003","0,001","1,026","0,003","-0,002","1,002","0,003","0,000","1,005","-0,004","0,002","1,056","0,003","-0,002","0,944","0,000","-0,001","0,959","0,000","0,004","1,014"
7,"0,001","-0,007","1,026","0,002","-0,001","1,004","0,005","0,003","1,003","0,001","-0,003","1,056","0,002","0,001","0,940","-0,002","0,005","0,960","0,004","0,003","1,017"
8,"0,005","0,001","1,026","0,001","0,003","1,007","0,000","0,004","1,003","0,006","0,000","1,053","0,003","0,002","0,943","-0,001","-0,002","0,957","0,003","-0,003","1,019"
9,"0,003","0,000","1,024","0,001","0,000","1,007","-0,001","-0,004","1,003","0,000","0,001","1,056","0,002","0,000","0,943","-0,003","-0,007","0,953","0,000","0,005","1,017"
