Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,990","-0,139","-0,029","0,000","0,994","-0,108","0,021","0,000","0,994","-0,102","0,035","0,000","0,967","-0,254","-0,031","0,000","0,874","0,482","0,066","0,000","0,869","0,473","-0,147","0,000","0,974","-0,219","0,052","0,000"
1,"0,990","-0,140","-0,028","0,000","0,994","-0,109","0,021","0,000","0,994","-0,102","0,035","0,000","0,967","-0,254","-0,030","0,000","0,874","0,481","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
2,"0,990","-0,141","-0,028","0,000","0,994","-0,109","0,021","0,000","0,994","-0,102","0,035","0,000","0,967","-0,254","-0,026","0,000","0,874","0,481","0,067","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
3,"0,990","-0,140","-0,029","0,000","0,994","-0,106","0,020","0,000","0,994","-0,102","0,035","0,000","0,967","-0,253","-0,026","0,000","0,874","0,481","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
4,"0,990","-0,140","-0,029","0,000","0,994","-0,106","0,020","0,000","0,994","-0,102","0,035","0,000","0,967","-0,253","-0,025","0,000","0,874","0,481","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
5,"0,990","-0,140","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,252","-0,026","0,000","0,875","0,480","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,052","0,000"
6,"0,990","-0,140","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,252","-0,026","0,000","0,875","0,480","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
7,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,033","0,000","0,967","-0,252","-0,026","0,000","0,875","0,480","0,065","0,000","0,868","0,474","-0,147","0,000","0,974","-0,218","0,052","0,000"
8,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,253","-0,026","0,000","0,875","0,481","0,065","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,053","0,000"
9,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,253","-0,028","0,000","0,875","0,480","0,065","0,000","0,868","0,474","-0,147","0,000","0,974","-0,218","0,053","0,000"
10,"0,990","-0,137","-0,028","0,000","0,995","-0,102","0,020","0,000","0,994","-0,103","0,035","0,000","0,967","-0,254","-0,025","0,001","0,874","0,482","0,065","0,000","0,869","0,473","-0,145","-0,001","0,975","-0,217","0,055","0,001"
11,"0,990","-0,139","-0,030","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,034","0,000","0,968","-0,251","-0,027","0,000","0,875","0,480","0,065","0,000","0,870","0,471","-0,146","0,000","0,974","-0,220","0,054","0,000"
12,"0,990","-0,136","-0,030","0,000","0,994","-0,107","0,017","0,000","0,995","-0,098","0,034","0,000","0,968","-0,250","-0,024","0,001","0,875","0,480","0,068","-0,002","0,869","0,473","-0,147","0,000","0,974","-0,217","0,056","0,001"
13,"0,990","-0,138","-0,028","0,000","0,994","-0,104","0,019","0,000","0,994","-0,101","0,034","0,000","0,968","-0,251","-0,027","0,000","0,875","0,480","0,065","0,000","0,868","0,474","-0,147","0,000","0,974","-0,220","0,054","0,000"
14,"0,990","-0,136","-0,030","0,000","0,994","-0,107","0,018","0,000","0,994","-0,103","0,033","0,000","0,967","-0,254","-0,027","0,000","0,874","0,482","0,064","0,000","0,867","0,476","-0,148","0,000","0,974","-0,221","0,051","0,000"
15,"0,990","-0,138","-0,031","0,000","0,994","-0,106","0,021","0,000","0,994","-0,101","0,034","0,000","0,967","-0,251","-0,028","0,000","0,875","0,481","0,066","0,000","0,868","0,474","-0,148","0,000","0,973","-0,223","0,052","0,000"
16,"0,990","-0,141","-0,029","0,000","0,994","-0,109","0,020","0,000","0,994","-0,103","0,032","0,000","0,967","-0,251","-0,031","-0,001","0,875","0,479","0,064","0,000","0,867","0,476","-0,146","-0,001","0,974","-0,221","0,052","0,000"
17,"0,990","-0,138","-0,030","0,000","0,994","-0,106","0,020","0,000","0,995","-0,100","0,031","0,000","0,967","-0,253","-0,029","0,000","0,874","0,481","0,065","0,000","0,868","0,474","-0,148","0,000","0,975","-0,218","0,051","0,000"
18,"0,990","-0,139","-0,033","0,000","0,994","-0,104","0,017","0,000","0,995","-0,097","0,032","0,000","0,968","-0,250","-0,029","0,000","0,875","0,479","0,065","-0,001","0,869","0,473","-0,147","0,000","0,974","-0,221","0,052","0,000"
19,"0,990","-0,139","-0,030","0,000","0,994","-0,106","0,019","0,000","0,994","-0,100","0,034","0,000","0,967","-0,252","-0,027","0,000","0,874","0,481","0,067","-0,001","0,868","0,474","-0,148","0,001","0,974","-0,219","0,050","-0,001"
20,"0,990","-0,136","-0,030","0,000","0,994","-0,103","0,019","0,000","0,994","-0,102","0,035","0,000","0,967","-0,252","-0,030","-0,001","0,874","0,482","0,065","0,000","0,869","0,472","-0,147","0,000","0,975","-0,217","0,052","0,000"
21,"0,990","-0,139","-0,029","0,000","0,994","-0,106","0,019","0,000","0,994","-0,102","0,032","0,000","0,968","-0,250","-0,031","-0,001","0,874","0,481","0,068","-0,002","0,868","0,474","-0,148","0,000","0,975","-0,214","0,053","0,000"
22,"0,989","-0,142","-0,030","0,000","0,994","-0,103","0,020","0,000","0,994","-0,102","0,035","0,000","0,967","-0,252","-0,031","-0,001","0,874","0,481","0,065","0,000","0,868","0,473","-0,149","0,002","0,975","-0,217","0,052","0,000"
23,"0,990","-0,139","-0,028","0,000","0,994","-0,106","0,018","0,000","0,994","-0,102","0,032","0,000","0,967","-0,254","-0,028","0,000","0,873","0,482","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,220","0,053","0,000"
24,"0,990","-0,140","-0,031","0,000","0,994","-0,103","0,020","0,000","0,995","-0,099","0,030","0,000","0,966","-0,255","-0,026","0,000","0,875","0,480","0,066","-0,001","0,867","0,476","-0,147","0,000","0,974","-0,221","0,056","0,000"
25,"0,990","-0,139","-0,028","0,000","0,994","-0,106","0,019","0,000","0,995","-0,099","0,033","0,000","0,967","-0,253","-0,026","0,000","0,874","0,482","0,064","0,000","0,868","0,474","-0,147","0,000","0,974","-0,221","0,053","0,000"
26,"0,989","-0,142","-0,030","0,000","0,994","-0,106","0,016","-0,001","0,994","-0,102","0,033","0,000","0,967","-0,255","-0,024","0,001","0,875","0,480","0,065","0,000","0,869","0,473","-0,145","-0,001","0,975","-0,218","0,052","0,000"
27,"0,990","-0,139","-0,030","0,000","0,994","-0,105","0,019","0,000","0,994","-0,099","0,034","0,000","0,967","-0,253","-0,025","0,001","0,874","0,481","0,067","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
28,"0,990","-0,138","-0,032","0,000","0,994","-0,108","0,020","0,000","0,994","-0,102","0,033","0,000","0,967","-0,254","-0,027","0,000","0,873","0,483","0,066","-0,001","0,869","0,472","-0,148","0,001","0,974","-0,222","0,055","0,000"
29,"0,990","-0,140","-0,030","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,036","0,000","0,967","-0,255","-0,030","-0,001","0,874","0,481","0,066","0,000","0,868","0,474","-0,147","0,000","0,974","-0,219","0,055","0,000"
30,"0,990","-0,139","-0,030","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,036","0,000","0,967","-0,254","-0,030","-0,001","0,874","0,481","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,055","0,000"
31,"0,990","-0,139","-0,030","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,036","0,000","0,967","-0,254","-0,030","0,000","0,874","0,481","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,055","0,000"
32,"0,990","-0,139","-0,030","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,035","0,000","0,967","-0,254","-0,030","0,000","0,874","0,481","0,066","-0,001","0,869","0,473","-0,147","0,000","0,974","-0,219","0,055","0,000"
33,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,035","0,000","0,967","-0,254","-0,029","0,000","0,874","0,481","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
34,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,019","0,000","0,994","-0,101","0,035","0,000","0,967","-0,254","-0,029","0,000","0,874","0,481","0,066","-0,001","0,869","0,473","-0,147","0,000","0,974","-0,219","0,054","0,000"
35,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,101","0,035","0,000","0,967","-0,253","-0,029","0,000","0,874","0,481","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,055","0,000"
36,"0,990","-0,139","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,100","0,034","0,000","0,967","-0,253","-0,029","0,000","0,875","0,480","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
37,"0,990","-0,140","-0,029","0,000","0,994","-0,105","0,020","0,000","0,994","-0,100","0,034","0,000","0,967","-0,253","-0,028","0,000","0,875","0,480","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
38,"0,990","-0,139","-0,029","0,000","0,994","-0,104","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,254","-0,028","0,000","0,875","0,480","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,219","0,054","0,000"
39,"0,990","-0,139","-0,029","0,000","0,994","-0,104","0,020","0,000","0,994","-0,101","0,034","0,000","0,967","-0,253","-0,028","0,000","0,875","0,480","0,066","-0,001","0,868","0,474","-0,147","0,000","0,974","-0,220","0,054","0,000"
