Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,006","0,001","1,023","0,001","-0,008","0,999","0,001","0,007","0,997","0,012","-0,007","1,048","0,002","0,001","0,948","0,001","-0,002","0,955","-0,008","0,007","1,017"
1,"0,005","0,000","1,026","-0,002","-0,006","1,002","0,003","0,008","0,998","0,004","-0,001","1,046","0,001","0,005","0,945","0,000","-0,005","0,958","0,001","0,007","1,018"
2,"0,006","-0,008","1,026","0,000","0,000","0,998","0,001","-0,001","1,002","0,000","0,001","1,041","-0,001","0,000","0,947","0,001","-0,005","0,956","0,005","-0,005","1,018"
3,"0,000","0,003","1,022","0,000","-0,004","1,003","-0,001","-0,002","1,002","0,008","0,000","1,042","-0,004","0,003","0,944","0,000","-0,001","0,956","0,003","0,000","1,015"
4,"0,001","-0,006","1,026","0,000","-0,006","1,003","-0,002","-0,002","1,006","0,002","-0,001","1,045","0,003","-0,002","0,937","0,002","-0,001","0,959","0,006","0,000","1,018"
5,"0,001","-0,008","1,027","-0,003","0,000","1,007","0,003","-0,001","0,999","-0,005","-0,005","1,043","0,000","-0,003","0,940","-0,003","0,001","0,956","0,002","-0,006","1,018"
6,"-0,003","-0,005","1,022","0,000","-0,001","1,005","0,001","-0,005","1,002","-0,004","0,001","1,041","0,003","0,004","0,940","-0,002","-0,005","0,956","0,001","-0,010","1,017"
7,"0,000","-0,009","1,027","-0,003","0,001","1,005","0,001","-0,004","1,001","0,003","-0,012","1,048","0,001","0,001","0,947","0,003","-0,006","0,955","0,000","-0,003","1,016"
8,"0,005","-0,007","1,025","-0,002","0,001","1,003","0,002","-0,003","1,002","0,005","0,000","1,043","-0,002","0,003","0,945","-0,002","-0,006","0,954","0,005","-0,006","1,013"
9,"0,003","-0,006","1,026","-0,002","-0,006","1,005","0,003","-0,004","0,998","0,005","-0,005","1,046","-0,002","-0,002","0,941","0,000","0,000","0,959","0,002","0,003","1,020"
10,"0,000","-0,007","1,026","-0,001","-0,002","1,005","0,002","-0,002","1,004","0,006","-0,006","1,047","-0,002","0,006","0,943","0,000","-0,003","0,957","-0,002","-0,007","1,016"
11,"-0,001","-0,006","1,025","0,001","-0,002","1,003","0,000","-0,005","1,005","-0,001","-0,004","1,048","0,003","0,000","0,941","-0,001","-0,009","0,954","-0,002","-0,010","1,015"
12,"0,001","-0,004","1,030","0,001","-0,004","1,005","0,003","-0,002","1,007","0,000","-0,001","1,042","-0,002","0,004","0,947","-0,002","0,005","0,961","-0,003","-0,003","1,013"
13,"0,000","-0,001","1,023","-0,001","-0,003","1,003","-0,001","-0,001","1,000","0,000","-0,009","1,044","0,000","-0,001","0,941","-0,005","-0,008","0,961","-0,009","-0,007","1,020"
14,"0,002","-0,001","1,024","0,002","-0,004","1,002","0,002","-0,003","1,000","-0,006","0,001","1,041","0,000","-0,003","0,940","-0,008","0,000","0,960","0,001","0,005","1,013"
15,"-0,002","-0,003","1,023","-0,003","-0,010","1,000","0,000","-0,006","1,002","0,000","-0,002","1,046","0,006","-0,003","0,943","0,001","0,000","0,958","0,008","-0,008","1,019"
16,"0,000","0,012","1,019","-0,002","-0,010","0,997","0,010","0,002","1,000","0,004","-0,002","1,051","0,000","-0,003","0,939","-0,006","-0,002","0,957","0,004","-0,011","1,016"
17,"0,007","0,000","1,025","-0,001","-0,004","1,003","0,001","0,005","1,001","0,000","-0,003","1,049","0,001","-0,001","0,939","-0,001","-0,001","0,963","0,008","-0,005","1,014"
18,"0,003","-0,003","1,020","0,005","-0,010","1,004","0,002","0,005","1,001","0,002","0,002","1,040","0,000","-0,003","0,943","0,001","-0,007","0,957","0,002","-0,002","1,023"
19,"-0,003","0,001","1,024","-0,003","-0,010","0,999","-0,002","0,003","1,003","0,006","-0,006","1,052","-0,001","0,002","0,939","0,001","0,002","0,956","0,002","-0,005","1,024"
20,"0,002","0,000","1,024","-0,001","-0,009","0,999","-0,005","0,002","0,997","0,005","-0,001","1,046","0,002","0,001","0,947","-0,005","-0,005","0,957","0,001","0,002","1,015"
21,"0,001","-0,005","1,029","-0,001","-0,003","0,998","-0,002","-0,004","1,002","0,004","-0,005","1,049","-0,001","0,000","0,943","-0,001","-0,005","0,958","-0,005","-0,002","1,015"
22,"0,000","-0,007","1,029","-0,004","-0,008","1,000","-0,002","0,004","1,003","0,002","-0,008","1,050","0,000","0,005","0,947","-0,002","0,000","0,961","-0,003","-0,007","1,015"
23,"0,000","-0,006","1,024","-0,004","-0,004","1,004","-0,001","-0,001","1,003","-0,003","-0,003","1,048","-0,002","-0,002","0,943","-0,001","-0,002","0,962","-0,004","-0,002","1,016"
24,"0,000","-0,002","1,027","-0,002","-0,006","1,004","-0,001","0,002","1,000","0,002","-0,002","1,048","0,003","0,001","0,946","-0,004","0,000","0,957","0,004","-0,008","1,016"
25,"-0,004","-0,001","1,023","-0,002","-0,002","1,003","0,000","-0,004","1,005","-0,001","-0,008","1,048","0,002","-0,001","0,939","-0,006","-0,002","0,955","0,007","-0,008","1,020"
26,"0,003","-0,007","1,022","-0,002","0,001","1,006","0,006","-0,001","1,004","0,000","-0,007","1,047","0,001","-0,001","0,941","-0,003","0,001","0,960","0,004","-0,005","1,016"
27,"0,000","0,005","1,023","0,001","0,000","1,002","0,006","-0,008","1,002","-0,005","-0,003","1,046","0,008","0,003","0,942","-0,006","-0,002","0,960","0,011","-0,007","1,019"
28,"0,004","0,004","1,020","0,002","-0,002","1,001","-0,002","-0,001","1,000","-0,005","-0,004","1,044","0,003","0,001","0,944","-0,001","-0,005","0,959","-0,007","-0,006","1,019"
29,"0,004","0,004","1,021","0,003","0,000","0,998","0,000","0,002","0,999","0,004","0,003","1,043","0,000","0,001","0,936","-0,002","-0,001","0,954","0,001","-0,004","1,018"
