Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-10,478","-0,292","0,157","9,233","-2,941","0,238","-12,588","-2,298","0,611","-15,590","4,825","1,470","66,294","4,325","0,709","71,326","15,487","-7,264","-12,417","4,260","0,490"
1,"-10,599","-0,512","0,130","9,235","-2,942","0,238","-12,626","-2,394","0,618","-16,008","4,811","1,497","66,305","4,320","0,720","71,718","15,597","-7,484","-12,454","4,368","0,511"
2,"-10,599","-0,567","0,123","9,235","-2,942","0,238","-12,866","-2,385","0,633","-16,008","4,811","1,497","66,305","4,320","0,720","71,732","15,621","-7,536","-12,695","4,360","0,513"
3,"-10,227","-0,565","0,116","9,071","-2,873","0,228","-12,997","-2,301","0,642","-15,790","4,752","1,452","66,219","4,238","0,749","71,688","15,614","-7,527","-12,744","4,335","0,510"
4,"-10,258","-0,389","0,109","9,071","-2,873","0,228","-12,970","-2,315","0,640","-15,813","4,418","1,380","66,145","4,256","0,740","71,735","15,447","-7,550","-12,785","4,348","0,513"
5,"-10,280","-0,391","0,109","9,055","-2,873","0,228","-12,770","-2,296","0,626","-15,806","4,416","1,378","66,244","4,044","0,857","71,686","15,687","-7,686","-12,601","4,329","0,507"
6,"-10,373","-0,321","0,113","9,057","-2,887","0,229","-12,805","-2,322","0,629","-15,923","4,360","1,375","66,193","4,251","0,743","71,713","15,686","-7,685","-12,634","4,340","0,508"
7,"-10,381","-0,390","0,110","9,055","-2,873","0,228","-12,814","-2,353","0,626","-15,920","4,412","1,385","66,217","4,072","0,804","71,674","15,682","-7,679","-12,588","4,330","0,507"
8,"-10,367","-0,389","0,110","9,055","-2,873","0,228","-12,772","-2,353","0,622","-15,920","4,412","1,385","66,296","4,078","0,803","71,700","15,684","-7,681","-12,601","4,329","0,507"
9,"-10,219","-0,606","0,103","8,939","-2,871","0,224","-12,824","-2,352","0,626","-15,881","4,666","1,433","66,215","4,073","0,803","71,725","15,661","-7,647","-12,712","4,330","0,504"
10,"-10,223","-0,577","0,107","8,710","-2,617","0,185","-13,434","-2,383","0,700","-15,801","4,534","1,370","66,180","4,128","0,708","71,531","15,745","-7,787","-13,248","4,471","0,530"
11,"-10,826","-0,373","0,174","8,895","-2,900","0,229","-13,265","-2,106","0,721","-15,894","4,637","1,427","66,259","4,139","0,705","71,006","15,566","-7,522","-13,225","3,939","0,313"
12,"-10,765","-0,289","0,188","8,595","-3,070","0,255","-12,620","-2,242","0,617","-16,443","4,592","1,447","66,408","4,285","0,500","71,591","15,726","-7,762","-13,215","3,890","0,297"
13,"-10,512","-0,673","0,076","8,930","-3,072","0,256","-12,684","-2,490","0,579","-16,188","4,899","1,585","66,300","4,218","0,597","72,155","15,692","-7,685","-12,612","4,057","0,401"
14,"-10,609","-0,430","0,134","8,876","-2,736","0,204","-12,726","-2,319","0,605","-15,985","4,389","1,345","66,441","3,967","1,021","71,547","15,629","-7,610","-12,996","4,393","0,520"
15,"-10,476","-0,308","0,161","9,205","-2,809","0,215","-12,907","-2,021","0,668","-15,797","4,180","1,237","66,153","4,126","0,733","71,857","15,910","-8,057","-12,503","4,041","0,409"
16,"-10,609","0,326","0,329","8,864","-2,800","0,214","-13,524","-1,912","0,752","-16,276","3,882","1,121","65,707","4,163","0,607","71,729","15,547","-7,465","-13,159","4,110","0,406"
