Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,245","-0,420","-0,382","0,448","0,132","0,189","0,286","-0,110","-0,027","-0,171","-0,126","0,146","-0,050","-0,377","0,294","-0,152","-0,082","-0,041","-0,152","-0,327","0,472"
1,"0,306","-0,228","-0,367","0,515","0,210","0,298","-0,084","-0,062","0,678","0,144","-0,061","-0,141","-0,004","-0,388","0,152","-0,247","-0,294","0,166","0,723","-0,385","0,112"
2,"0,058","-0,182","-0,196","0,207","0,143","0,262","0,068","-0,060","0,293","0,275","-0,243","-0,389","0,043","-0,281","0,081","-0,213","-0,077","0,170","0,179","-0,189","0,636"
3,"-0,007","-0,152","-0,080","0,140","0,125","0,145","-0,139","-0,286","0,037","0,467","-0,234","-0,655","-0,037","-0,131","-0,009","-0,037","0,018","0,061","0,280","-0,010","0,419"
4,"-0,309","-0,300","-0,176","0,140","0,125","0,145","-0,276","-0,132","-0,162","0,466","-0,153","-0,625","0,066","-0,054","-0,139","-0,074","-0,322","0,217","0,257","-0,078","0,250"
5,"-0,366","-0,211","-0,326","0,021","0,075","0,220","-0,322","-0,103","0,023","0,141","-0,091","-0,061","-0,032","0,367","-0,255","-0,066","-0,238","0,235","0,023","-0,230","-0,120"
6,"-0,183","-0,212","-0,321","-0,168","0,178","0,091","-0,484","-0,063","0,279","0,538","0,101","0,806","0,106","0,304","-0,153","-0,048","-0,307","0,136","0,004","0,077","0,157"
7,"-0,123","-0,079","-0,290","0,256","0,105","0,018","-0,266","0,061","0,674","-0,390","0,085","1,183","-0,017","0,180","-0,210","-0,080","-0,165","0,106","-0,297","-0,153","-0,240"
8,"-0,248","-0,107","-0,160","0,316","0,045","0,024","-0,276","-0,018","0,564","-0,436","0,209","0,721","-0,013","0,213","-0,159","-0,012","-0,327","0,006","-0,161","-0,111","-0,143"
9,"-0,070","0,130","0,036","0,310","-0,094","-0,077","-0,307","-0,075","0,203","-0,306","0,107","0,504","0,045","0,301","-0,146","-0,013","-0,209","0,073","0,286","-0,112","-0,004"
