Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-14,750","0,752","0,072","17,041","-3,441","0,516","-17,415","-0,829","0,702","-16,767","2,748","1,364","70,948","3,986","0,760","75,628","13,592","-7,111","-13,879","1,843","0,073"
1,"-14,585","0,753","0,074","17,253","-3,437","0,522","-17,196","-0,683","0,732","-16,577","2,748","1,358","71,140","3,861","1,040","75,893","13,608","-7,131","-13,665","1,992","0,122"
2,"-14,626","0,739","0,072","17,253","-3,437","0,522","-17,196","-0,683","0,732","-16,757","2,744","1,368","71,128","4,023","0,951","76,036","13,614","-7,144","-13,665","1,992","0,122"
3,"-14,781","0,752","0,073","17,042","-3,177","0,476","-17,096","-0,755","0,693","-16,930","2,504","1,258","71,160","4,052","0,771","75,832","13,602","-7,126","-13,752","2,072","0,171"
4,"-15,112","0,750","0,071","17,042","-3,302","0,495","-17,184","-0,869","0,701","-17,265","2,611","1,329","71,160","4,052","0,771","75,832","13,516","-7,079","-13,840","2,066","0,153"
5,"-15,078","0,736","0,070","17,026","-3,174","0,475","-17,062","-0,855","0,695","-17,128","2,511","1,270","71,136","4,007","0,795","75,717","13,531","-7,088","-13,708","2,172","0,199"
6,"-15,196","0,736","0,070","17,026","-3,174","0,475","-17,183","-0,925","0,702","-17,246","2,508","1,276","71,160","4,052","0,771","75,742","13,534","-7,094","-13,856","2,240","0,217"
7,"-15,186","0,790","0,079","16,887","-3,162","0,470","-17,126","-0,911","0,699","-17,362","2,496","1,273","71,127","4,052","0,768","75,716","13,557","-7,066","-13,903","2,238","0,215"
8,"-15,196","0,804","0,079","16,940","-3,258","0,485","-17,189","-0,946","0,709","-17,334","2,570","1,311","71,124","4,033","0,806","75,754","13,504","-7,041","-13,914","2,222","0,199"
9,"-15,208","0,804","0,079","16,887","-3,259","0,484","-17,200","-0,920","0,702","-17,387","2,570","1,313","71,122","4,000","0,794","75,765","13,552","-7,071","-13,967","2,154","0,179"
10,"-15,144","1,419","0,304","16,569","-3,349","0,509","-17,286","-0,263","0,874","-17,776","2,362","1,192","71,278","3,769","1,167","76,104","13,419","-6,867","-14,297","1,784","-0,056"
11,"-14,835","1,168","0,235","16,602","-3,023","0,410","-16,903","-0,763","0,724","-17,442","2,027","0,932","71,647","4,057","0,739","76,099","13,419","-6,879","-14,166","2,349","0,299"
12,"-14,943","1,191","0,252","16,873","-3,215","0,467","-17,500","-0,971","0,738","-17,298","2,464","1,209","71,102","4,069","0,618","75,817","13,325","-6,738","-14,198","2,222","0,223"
13,"-15,091","0,659","0,072","17,163","-3,053","0,418","-17,927","-0,699","0,854","-17,236","2,518","1,234","71,005","3,997","0,702","76,128","13,384","-6,820","-14,009","2,082","0,149"
14,"-15,529","0,819","0,132","16,875","-2,895","0,371","-17,341","-0,784","0,791","-17,800","2,481","1,240","71,052","4,024","0,652","76,002","13,393","-6,830","-14,004","2,154","0,187"
15,"-14,972","1,114","0,243","17,000","-3,199","0,465","-17,381","-0,780","0,805","-17,421","2,618","1,308","70,765","3,871","0,839","75,980","13,288","-6,660","-13,914","2,171","0,199"
16,"-15,071","0,758","0,120","16,772","-3,439","0,538","-17,516","-1,430","0,673","-17,948","2,892","1,537","70,966","4,064","0,545","76,464","13,507","-6,991","-14,199","2,250","0,226"
17,"-15,102","0,764","0,122","17,101","-3,412","0,531","-17,417","-1,249","0,717","-17,345","2,771","1,415","70,761","3,709","1,064","75,962","13,438","-6,889","-13,585","2,340","0,319"
18,"-15,340","1,002","0,206","17,096","-3,084","0,432","-17,396","-1,018","0,791","-17,632","2,552","1,291","71,164","3,825","0,907","75,665","13,246","-6,592","-13,888","2,539","0,415"
19,"-15,403","1,070","0,230","17,381","-3,251","0,486","-17,376","-0,923","0,837","-17,117","2,527","1,245","71,250","3,855","0,826","75,639","13,381","-6,798","-13,910","2,366","0,307"
20,"-15,285","0,930","0,187","17,058","-3,308","0,506","-17,985","-1,081","0,879","-17,172","2,445","1,195","70,777","3,729","0,908","75,280","13,440","-6,886","-14,535","2,352","0,258"
21,"-15,450","1,181","0,274","17,315","-3,100","0,444","-17,452","-1,316","0,785","-17,207","2,305","1,101","71,259","3,814","0,803","75,248","13,443","-6,879","-13,978","2,514","0,400"
22,"-15,049","1,175","0,280","16,999","-3,191","0,475","-17,490","-1,269","0,805","-17,343","2,600","1,307","70,966","3,968","0,489","75,335","13,116","-6,354","-13,995","2,370","0,321"
23,"-14,829","1,014","0,228","17,154","-2,900","0,388","-17,601","-0,703","0,958","-16,917","2,218","1,017","70,912","3,610","1,024","75,593","13,377","-6,737","-14,052","2,412","0,348"
24,"-15,240","0,524","0,055","17,379","-3,145","0,468","-17,027","-0,657","0,927","-16,917","2,634","1,295","71,261","3,499","1,225","75,299","13,358","-6,696","-13,562","2,034","0,153"
25,"-15,307","0,886","0,176","17,091","-2,986","0,422","-16,781","-0,787","0,884","-17,477","2,384","1,158","71,148","3,816","0,680","75,439","13,411","-6,751","-13,609","1,996","0,128"
26,"-14,941","0,364","-0,009","17,024","-3,306","0,524","-17,150","-1,269","0,803","-17,403","2,903","1,508","71,304","3,930","0,505","75,876","13,453","-6,789","-13,933","1,865","0,026"
27,"-14,702","0,905","0,177","17,330","-3,435","0,569","-17,242","-1,021","0,875","-16,875","2,839","1,431","71,241","3,835","0,648","75,551","13,199","-6,387","-13,933","1,757","-0,047"
28,"-14,761","0,427","0,000","17,056","-3,617","0,630","-17,752","-0,967","0,932","-16,980","3,218","1,702","71,233","3,675","0,904","75,541","13,482","-6,806","-14,469","1,762","-0,087"
29,"-15,279","0,743","0,101","17,173","-3,309","0,541","-18,167","-1,199","0,913","-17,139","2,874","1,487","71,027","3,775","0,715","75,515","13,409","-6,672","-14,449","2,313","0,252"
30,"-15,272","0,740","0,091","17,147","-3,306","0,545","-18,159","-1,213","0,908","-17,145","2,843","1,472","70,974","3,783","0,691","75,479","13,446","-6,710","-14,441","2,307","0,246"
31,"-15,285","0,758","0,090","17,122","-3,296","0,546","-18,111","-1,219","0,898","-17,148","2,808","1,450","71,011","3,813","0,646","75,422","13,475","-6,735","-14,438","2,299","0,242"
32,"-15,242","0,799","0,101","17,099","-3,278","0,545","-18,063","-1,227","0,880","-17,141","2,783","1,429","71,008","3,822","0,641","75,421","13,486","-6,734","-14,435","2,296","0,245"
33,"-15,244","0,806","0,104","17,081","-3,251","0,540","-18,000","-1,238","0,862","-17,125","2,757","1,406","71,018","3,825","0,652","75,374","13,507","-6,756","-14,419","2,318","0,257"
34,"-15,197","0,824","0,116","17,055","-3,234","0,537","-17,962","-1,187","0,864","-17,117","2,753","1,395","71,049","3,812","0,692","75,356","13,484","-6,715","-14,418","2,316","0,254"
35,"-15,185","0,790","0,110","17,057","-3,202","0,530","-17,957","-1,148","0,869","-17,082","2,735","1,372","71,001","3,801","0,711","75,321","13,489","-6,722","-14,388","2,333","0,264"
36,"-15,183","0,783","0,111","17,038","-3,177","0,525","-17,916","-1,175","0,853","-17,128","2,707","1,349","70,993","3,814","0,696","75,335","13,492","-6,720","-14,377","2,352","0,276"
37,"-15,211","0,791","0,114","17,041","-3,144","0,519","-17,854","-1,167","0,837","-17,143","2,700","1,340","71,024","3,841","0,667","75,302","13,474","-6,684","-14,344","2,370","0,292"
38,"-15,206","0,793","0,117","17,005","-3,143","0,519","-17,795","-1,179","0,814","-17,199","2,678","1,323","71,034","3,870","0,638","75,314","13,486","-6,701","-14,346","2,365","0,294"
39,"-15,250","0,773","0,109","16,971","-3,139","0,519","-17,760","-1,126","0,815","-17,260","2,666","1,322","71,022","3,847","0,682","75,340","13,503","-6,732","-14,352","2,351","0,289"
40,"-15,214","0,811","0,116","16,946","-3,162","0,526","-17,758","-1,087","0,820","-17,283","2,656","1,327","70,988","3,820","0,725","75,369","13,478","-6,699","-14,348","2,315","0,266"
41,"0,675","0,150","0,002","-0,074","0,027","-0,549","0,692","0,203","0,001","-0,011","-0,160","0,000","-0,143","0,238","0,000","0,401","-0,125","0,000","0,537","-0,152","0,001"
42,"0,562","0,353","0,004","-0,075","-0,092","-0,549","0,638","0,038","0,000","-0,124","-0,373","0,000","-0,143","0,238","0,000","0,402","0,005","0,000","0,484","-0,106","0,001"
43,"0,466","0,150","0,003","0,136","-0,094","-0,549","0,540","-0,033","0,000","-0,014","-0,374","0,000","-0,143","0,238","0,000","0,407","0,208","-0,001","0,597","-0,035","0,001"
44,"0,251","0,285","0,002","-0,074","-0,062","-0,549","0,507","0,037","0,000","-0,123","-0,403","0,000","0,012","0,095","0,000","0,135","0,079","0,000","0,383","-0,076","0,001"
45,"0,251","0,285","0,002","0,069","-0,063","-0,549","0,400","0,037","0,000","0,019","-0,404","0,000","0,002","0,096","0,000","0,135","0,073","0,000","0,419","-0,075","0,000"
46,"0,206","0,247","0,001","0,069","-0,063","-0,549","0,450","0,201","0,001","0,062","-0,298","0,000","-0,006","0,091","0,000","0,048","0,013","0,000","0,486","-0,240","0,001"
47,"0,207","0,247","0,001","0,069","-0,063","-0,549","0,450","0,201","0,001","0,062","-0,298","0,000","-0,006","0,097","0,000","0,048","0,013","0,000","0,486","-0,240","0,001"
48,"0,165","0,232","0,001","0,071","-0,022","-0,549","0,456","0,231","0,001","0,064","-0,298","0,000","0,029","0,086","0,000","0,006","0,048","0,000","0,530","-0,224","0,001"
49,"0,165","0,232","0,001","0,071","-0,021","-0,549","0,455","0,234","0,001","0,064","-0,298","0,000","-0,001","0,088","0,000","0,006","0,048","0,000","0,489","-0,224","0,001"
50,"0,164","0,076","0,000","0,070","0,025","-0,549","0,455","0,234","0,001","0,062","-0,161","0,000","-0,001","0,083","0,000","0,013","0,073","0,000","0,487","-0,178","0,001"
51,"-0,431","0,351","-0,001","0,373","0,184","-0,549","0,447","0,250","0,001","0,109","-0,551","0,000","-0,023","-0,308","0,003","-0,278","0,367","-0,002","0,514","0,186","-0,006"
52,"-0,064","-0,191","0,005","0,034","0,122","-0,549","-0,017","-0,190","0,000","-0,133","-0,158","-0,001","0,170","-0,105","0,008","-0,135","0,265","-0,007","-0,149","0,247","-0,009"
53,"0,231","-0,238","0,013","0,223","-0,164","-0,549","-0,005","-0,261","-0,002","0,259","-0,158","-0,005","-0,461","0,144","0,013","0,256","0,785","-0,015","0,387","-0,058","-0,011"
54,"0,151","0,349","0,017","-0,111","-0,077","-0,550","0,231","0,298","-0,008","-0,292","-0,511","-0,006","0,150","-0,020","0,016","0,287","0,142","-0,018","0,022","-0,317","-0,009"
55,"-0,177","0,000","0,014","0,225","-0,009","-0,550","0,238","0,290","-0,015","0,058","-0,239","-0,004","-0,341","0,401","0,021","0,250","0,315","-0,022","0,688","-0,360","-0,008"
56,"-0,230","0,253","0,013","-0,115","0,046","-0,550","0,436","0,394","-0,019","-0,620","-0,351","-0,004","-0,045","0,293","0,023","0,344","-0,158","-0,023","0,293","-0,646","-0,004"
57,"-0,328","0,001","0,011","-0,323","0,321","-0,549","0,779","0,989","-0,014","-0,587","-0,378","-0,001","0,480","-0,022","0,021","-0,133","0,164","-0,023","0,247","-0,674","-0,002"
58,"0,328","0,077","0,017","-0,264","-0,017","-0,551","0,386","0,657","-0,020","-0,183","0,024","-0,001","-0,202","-0,053","0,024","-0,080","-0,195","-0,029","0,260","-0,671","-0,003"
59,"0,384","0,112","0,020","0,005","0,189","-0,551","0,497","0,580","-0,012","-0,074","-0,488","-0,002","-0,062","0,034","0,021","0,462","0,193","-0,033","0,388","-0,148","-0,013"
60,"0,071","-0,163","0,018","0,251","-0,047","-0,551","0,294","-0,063","-0,005","0,198","0,089","0,001","0,197","0,212","0,019","-0,057","0,415","-0,034","0,479","-0,079","-0,019"
61,"0,089","-0,134","0,017","-0,073","-0,175","-0,552","0,829","-0,206","-0,004","-0,418","0,043","0,002","0,194","-0,014","0,019","0,399","0,251","-0,035","0,370","0,057","-0,022"
62,"0,155","-0,083","0,018","-0,325","0,063","-0,553","0,291","-0,042","-0,004","-0,422","0,046","0,001","0,165","-0,085","0,020","0,128","0,295","-0,036","-0,095","0,022","-0,021"
63,"0,027","0,482","0,019","-0,068","-0,162","-0,554","0,970","0,046","-0,005","-0,046","-0,056","0,000","0,228","0,106","0,023","0,098","-0,216","-0,039","0,500","-0,287","-0,017"
64,"0,395","0,024","0,022","-0,067","0,181","-0,554","0,441","0,177","-0,014","0,279","-0,284","0,001","0,214","0,073","0,026","-0,059","-0,147","-0,043","0,287","-0,211","-0,014"
65,"0,434","0,029","0,021","0,256","0,075","-0,555","1,039","0,398","-0,014","0,575","-0,524","0,004","0,712","0,393","0,023","-0,003","0,538","-0,045","0,867","-0,545","-0,007"
66,"0,151","0,147","0,016","-0,066","-0,052","-0,557","0,568","0,201","-0,024","-0,008","-0,170","0,006","0,379","-0,063","0,029","0,266","0,003","-0,049","0,402","-0,365","-0,003"
