Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,024","0,122","0,420","0,134","0,189","-0,110","0,147","-0,342","-0,566","0,294","0,043","0,150","0,281","-0,256","-0,068","-0,219","0,130","-0,008","0,086","-0,158","-0,204"
1,"0,086","0,199","0,456","0,203","0,338","-0,028","0,215","-0,195","-0,482","-0,083","-0,083","-0,347","0,400","-0,166","-0,063","-0,022","-0,122","-0,174","0,325","-0,249","-0,241"
2,"0,024","0,064","0,441","0,207","0,236","0,063","0,162","-0,104","-0,376","0,036","-0,155","-0,449","0,646","-0,121","-0,037","-0,001","-0,192","-0,043","0,135","-0,411","-0,267"
3,"0,024","-0,020","0,212","0,142","0,280","-0,008","0,037","-0,176","-0,413","-0,142","0,002","-0,331","0,703","-0,152","-0,093","0,064","-0,236","-0,077","0,175","-0,334","-0,607"
4,"0,086","0,073","0,113","0,085","0,297","0,054","0,044","-0,205","-0,280","-0,135","0,178","-0,082","0,879","-0,093","-0,145","0,166","-0,301","-0,014","0,465","-0,439","-0,783"
5,"0,146","0,063","0,441","0,211","0,134","0,153","0,097","-0,177","-0,416","-0,008","0,317","0,115","1,171","0,023","-0,242","0,255","-0,212","-0,066","0,282","-0,381","-0,802"
6,"0,086","0,178","0,399","0,032","0,153","0,223","0,040","-0,161","-0,354","0,420","0,197","0,262","1,177","-0,028","-0,209","0,505","-0,197","-0,040","0,210","-0,026","-0,225"
7,"0,024","-0,068","-0,095","-0,208","0,055","0,328","0,131","-0,039","0,114","0,049","-0,088","0,175","1,358","0,183","-0,142","0,618","0,145","-0,046","0,078","0,280","0,388"
8,"0,145","-0,147","-0,131","-0,082","0,069","0,380","0,074","-0,141","0,207","0,174","-0,169","0,378","1,233","0,144","-0,180","0,553","0,190","-0,013","-0,143","0,156","0,772"
9,"0,206","-0,106","-0,016","-0,196","0,102","0,504","-0,003","-0,014","0,936","0,423","0,018","0,538","0,945","0,383","0,121","0,604","0,217","0,051","-0,410","-0,236","0,607"
10,"0,268","0,099","0,363","-0,371","0,196","0,617","0,091","0,182","1,447","0,241","-0,044","0,661","0,586","0,197","0,123","0,324","0,104","0,092","-0,344","-0,258","0,687"
11,"0,269","0,246","0,764","-0,196","-0,133","0,568","0,008","0,150","1,082","-0,063","-0,040","0,667","0,331","0,169","0,013","0,280","0,161","0,044","0,034","-0,172","0,816"
12,"0,207","0,205","0,649","0,108","-0,256","0,581","-0,044","-0,006","0,242","-0,306","0,048","0,686","0,052","0,070","0,244","0,135","0,283","-0,067","0,348","-0,169","0,931"
13,"0,208","0,072","0,113","0,405","-0,234","0,429","-0,055","-0,052","0,066","-0,245","0,197","0,580","-0,078","-0,121","0,087","-0,102","0,114","0,022","0,476","0,099","0,897"
14,"0,207","-0,055","-0,230","0,465","-0,117","0,394","-0,105","-0,005","0,246","-0,009","0,082","0,206","-0,265","-0,079","0,072","-0,233","0,202","0,090","0,512","0,041","0,570"
15,"0,146","-0,069","-0,095","0,462","-0,015","0,304","-0,094","0,041","0,423","0,344","-0,239","-0,250","-0,320","-0,132","0,112","-0,277","0,139","-0,023","0,544","-0,049","0,192"
16,"0,024","-0,026","0,019","0,583","0,042","0,280","-0,090","0,116","0,466","0,164","-0,266","-0,076","-0,210","-0,025","0,033","-0,367","-0,071","-0,035","0,451","-0,220","-0,198"
17,"-0,098","0,017","0,133","0,519","0,204","0,178","0,024","0,024","0,356","0,467","-0,205","-0,202","-0,146","0,011","0,077","-0,344","0,062","-0,053","0,067","-0,234","-0,443"
18,"-0,098","-0,046","-0,038","0,382","0,083","-0,034","-0,040","0,069","0,286","0,531","-0,036","-0,174","-0,087","-0,104","0,003","-0,263","0,067","-0,120","-0,238","-0,174","-0,454"
19,"0,024","-0,068","-0,095","0,443","0,141","-0,054","-0,002","-0,142","-0,040","0,237","0,199","0,266","-0,020","-0,152","0,031","-0,344","0,062","-0,053","-0,232","0,098","-0,479"
20,"0,023","-0,183","-0,053","0,317","0,186","-0,121","-0,146","-0,114","-0,417","-0,133","0,248","0,018","0,025","-0,082","-0,093","-0,181","0,192","-0,123","-0,038","0,001","-0,292"
