Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"-9,381","-2,257","-0,144","14,490","-3,216","0,409","-11,621","-5,144","0,378","-11,534","5,244","1,544","71,356","0,799","1,889","76,039","10,205","-5,863","-8,232","5,321","0,833"
1,"-9,318","-2,257","-0,146","14,559","-3,231","0,413","-11,740","-5,567","0,389","-11,465","5,259","1,547","71,319","1,330","1,579","76,072","10,214","-5,864","-8,287","5,720","0,917"
2,"-9,330","-2,448","-0,174","14,559","-3,231","0,413","-11,857","-5,623","0,402","-11,477","5,259","1,548","71,260","1,310","1,628","76,104","10,287","-6,047","-8,457","5,832","0,944"
3,"-9,330","-2,418","-0,169","14,454","-3,109","0,394","-11,787","-5,586","0,393","-11,531","5,140","1,507","71,264","0,947","1,802","76,082","10,267","-6,018","-8,453","5,862","0,954"
4,"-9,315","-2,174","-0,157","14,485","-3,227","0,410","-11,779","-5,584","0,392","-11,546","4,987","1,487","71,250","0,946","1,804","76,215","10,269","-6,048","-8,420","5,747","0,922"
5,"-9,313","-2,173","-0,157","14,440","-3,137","0,398","-11,651","-5,154","0,380","-11,570","4,900","1,457","71,207","0,951","1,790","76,287","10,242","-6,042","-8,288","5,400","0,854"
6,"-9,337","-1,748","-0,131","14,440","-3,137","0,398","-11,648","-5,139","0,381","-11,687","4,483","1,369","71,210","0,945","1,804","76,391","10,228","-6,034","-8,288","5,400","0,854"
7,"-9,432","-2,007","-0,144","14,356","-3,134","0,395","-11,572","-4,813","0,374","-11,770","4,733","1,429","71,229","0,945","1,804","76,289","10,237","-6,039","-8,289","5,082","0,786"
8,"-9,499","-2,019","-0,147","14,356","-3,218","0,405","-11,570","-4,812","0,374","-11,943","4,807","1,468","71,283","0,949","1,804","76,408","10,228","-6,046","-8,288","5,001","0,763"
9,"-9,499","-2,019","-0,147","14,263","-3,136","0,392","-11,567","-4,811","0,374","-12,034","4,727","1,443","71,244","0,944","1,804","76,408","10,228","-6,046","-8,377","5,080","0,783"
10,"-9,224","-2,570","-0,323","13,996","-3,345","0,444","-11,463","-4,970","0,332","-12,288","5,222","1,704","71,677","1,091","1,601","76,701","10,514","-6,554","-8,869","5,101","0,757"
11,"-9,800","-2,275","-0,218","14,233","-3,120","0,387","-11,953","-4,702","0,468","-12,345","4,921","1,561","71,438","0,766","2,143","76,252","10,264","-6,109","-8,959","5,341","0,842"
12,"-9,329","-2,240","-0,229","13,901","-3,210","0,410","-11,384","-4,510","0,440","-12,458","4,778","1,499","71,564","0,896","1,939","76,634","10,219","-6,028","-9,045","5,055","0,692"
13,"-9,151","-1,646","-0,054","13,988","-2,890","0,334","-12,040","-4,495","0,546","-12,166","4,236","1,218","71,459","0,801","2,091","76,840","10,055","-5,743","-9,284","5,371","0,802"
14,"-9,019","-2,112","-0,195","14,305","-2,982","0,359","-11,896","-4,965","0,433","-11,582","4,488","1,307","71,562","0,886","1,948","76,488","10,237","-6,060","-8,689","5,426","0,862"
15,"-9,018","-2,440","-0,295","14,427","-3,290","0,441","-11,845","-5,100","0,391","-11,754","4,918","1,529","71,103","1,075","1,557","76,528","10,296","-6,162","-8,252","5,039","0,730"
16,"-9,083","-2,607","-0,345","14,094","-3,232","0,427","-11,746","-4,742","0,434","-11,820","5,032","1,588","71,247","0,899","1,878","76,410","10,402","-6,338","-8,795","4,864","0,636"
17,"-9,343","-2,055","-0,168","14,329","-2,998","0,369","-11,759","-4,600","0,449","-11,794","4,604","1,376","71,174","0,846","1,963","76,372","10,404","-6,336","-8,251","5,020","0,746"
18,"-8,756","-2,039","-0,180","14,462","-3,303","0,449","-11,354","-4,667","0,364","-11,383","4,765","1,428","71,592","0,878","1,965","76,592","10,305","-6,167","-7,961","5,000","0,769"
19,"-9,171","-2,544","-0,312","14,179","-3,122","0,404","-11,477","-4,336","0,439","-11,879","4,815","1,477","71,117","0,948","1,771","76,418","10,272","-6,112","-8,034","4,936","0,747"
20,"-9,200","-2,684","-0,351","14,419","-3,351","0,464","-11,561","-4,896","0,343","-11,350","5,114","1,589","71,134","0,951","1,761","76,183","10,474","-6,453","-8,006","4,948","0,758"
21,"-8,672","-2,367","-0,280","14,191","-3,103","0,403","-11,583","-4,913","0,344","-11,260","4,808","1,442","71,098","1,015","1,637","76,153","10,438","-6,384","-8,446","4,948","0,732"
22,"-8,823","-2,522","-0,328","13,913","-2,909","0,357","-11,812","-4,280","0,496","-11,385","4,897","1,499","71,237","0,831","1,976","76,079","10,347","-6,220","-8,835","4,842","0,665"
23,"-8,800","-2,415","-0,304","14,172","-3,109","0,411","-11,879","-4,207","0,510","-11,433","4,994","1,555","71,107","1,017","1,640","76,241","10,196","-5,956","-8,323","4,448","0,529"
24,"-8,760","-2,344","-0,291","14,286","-3,419","0,491","-11,757","-4,301","0,475","-11,607","5,143","1,645","71,132","0,992","1,693","76,642","10,405","-6,317","-8,357","4,428","0,515"
25,"-9,232","-1,943","-0,157","14,020","-3,219","0,442","-11,322","-4,743","0,328","-12,014","4,682","1,451","71,693","1,047","1,671","76,117","10,216","-5,982","-8,509","4,917","0,707"
26,"-9,247","-1,990","-0,177","13,692","-3,255","0,452","-11,605","-4,764","0,370","-12,025","4,765","1,492","71,259","0,919","1,841","76,003","10,328","-6,159","-8,946","5,183","0,783"
27,"-9,144","-2,642","-0,364","13,801","-3,570","0,529","-11,269","-4,813","0,319","-11,884","5,368","1,759","71,205","0,817","2,009","76,074","10,331","-6,157","-8,710","5,175","0,787"
28,"-9,408","-2,034","-0,171","13,689","-3,255","0,452","-11,493","-4,803","0,359","-12,096","4,785","1,481","71,152","0,806","2,021","76,142","10,148","-5,830","-8,914","5,176","0,770"
29,"-9,849","-2,454","-0,276","14,019","-3,275","0,456","-11,592","-4,797","0,378","-11,904","5,090","1,609","71,264","1,093","1,537","75,642","10,314","-6,100","-8,588","4,839","0,644"
30,"-9,807","-2,438","-0,276","14,030","-3,248","0,449","-11,594","-4,798","0,380","-11,865","5,079","1,597","71,297","1,084","1,563","75,627","10,311","-6,081","-8,609","4,863","0,647"
31,"-9,760","-2,441","-0,277","14,052","-3,264","0,451","-11,595","-4,786","0,382","-11,818","5,119","1,608","71,256","1,061","1,608","75,665","10,312","-6,079","-8,552","4,851","0,643"
32,"-9,751","-2,454","-0,278","14,083","-3,264","0,449","-11,572","-4,809","0,373","-11,809","5,126","1,607","71,256","1,049","1,636","75,688","10,328","-6,111","-8,521","4,883","0,658"
33,"-9,732","-2,420","-0,273","14,101","-3,291","0,453","-11,570","-4,804","0,365","-11,800","5,125","1,604","71,232","1,024","1,693","75,689","10,327","-6,098","-8,484","4,880","0,665"
34,"-9,722","-2,400","-0,270","14,068","-3,282","0,447","-11,568","-4,804","0,358","-11,851","5,100","1,588","71,212","1,026","1,701","75,742","10,341","-6,114","-8,515","4,920","0,683"
35,"-9,700","-2,371","-0,262","14,072","-3,248","0,434","-11,565","-4,794","0,357","-11,852","5,041","1,549","71,206","1,011","1,733","75,778","10,331","-6,084","-8,481","4,963","0,708"
36,"-9,650","-2,363","-0,260","14,068","-3,218","0,421","-11,603","-4,741","0,368","-11,831","5,000","1,515","71,149","1,010","1,738","75,809","10,324","-6,061","-8,491","4,962","0,712"
37,"-9,646","-2,356","-0,256","14,097","-3,202","0,412","-11,598","-4,738","0,368","-11,779","5,008","1,506","71,141","0,995","1,766","75,790","10,329","-6,065","-8,425","4,986","0,730"
38,"-9,616","-2,336","-0,250","14,125","-3,203","0,408","-11,595","-4,740","0,371","-11,721","5,022","1,504","71,136","0,994","1,765","75,811","10,312","-6,032","-8,363","4,971","0,729"
39,"-9,573","-2,279","-0,237","14,089","-3,192","0,402","-11,542","-4,774","0,361","-11,736","4,982","1,486","71,131","1,015","1,726","75,858","10,301","-6,015","-8,363","4,984","0,734"
40,"-9,519","-2,279","-0,236","14,118","-3,203","0,402","-11,477","-4,792","0,347","-11,675","4,970","1,471","71,186","1,016","1,739","75,879","10,328","-6,066","-8,301","4,985","0,739"
41,"0,772","0,693","0,009","-0,049","-0,315","-0,414","-0,028","-0,132","0,000","-0,036","-0,328","0,000","-0,072","-0,194","0,000","0,583","0,079","0,000","-0,143","-0,022","0,000"
42,"0,608","0,695","0,008","-0,049","-0,315","-0,414","-0,158","-0,425","0,001","-0,201","-0,330","0,000","-0,072","-0,194","0,000","0,578","-0,024","0,000","-0,273","0,271","0,000"
43,"0,609","0,453","0,006","-0,049","-0,315","-0,414","-0,158","0,061","0,001","-0,201","-0,330","0,000","-0,072","-0,527","-0,001","0,563","0,212","-0,001","-0,273","0,271","0,000"
44,"0,261","0,182","0,001","-0,082","-0,180","-0,414","-0,089","-0,142","0,000","-0,183","-0,166","0,000","-0,094","-0,194","0,000","0,181","0,184","0,000","-0,196","0,122","0,000"
45,"0,429","0,167","0,002","-0,082","-0,180","-0,414","-0,089","-0,055","0,000","-0,235","-0,166","0,000","-0,095","-0,129","0,000","0,399","0,199","0,000","-0,196","0,122","0,000"
46,"0,323","-0,160","-0,001","-0,142","-0,069","-0,414","-0,076","-0,133","0,000","-0,245","0,065","0,000","-0,088","-0,106","0,000","0,248","0,184","0,000","-0,244","0,224","0,000"
47,"0,481","0,167","0,002","-0,142","-0,069","-0,414","-0,034","-0,134","0,000","-0,244","-0,276","0,000","-0,046","-0,106","0,000","0,400","0,099","0,000","-0,244","0,225","0,000"
48,"0,325","0,167","0,002","-0,151","-0,069","-0,414","-0,076","-0,107","0,000","-0,251","-0,276","0,000","-0,088","-0,170","0,000","0,248","0,099","0,000","-0,252","0,174","0,000"
49,"0,325","0,333","0,003","-0,142","-0,069","-0,414","-0,058","-0,083","0,000","-0,243","-0,443","0,000","-0,063","-0,181","0,000","0,249","0,097","0,000","-0,256","0,173","0,000"
50,"0,322","0,170","0,002","-0,142","-0,069","-0,414","-0,076","-0,083","0,000","-0,183","-0,277","0,000","-0,088","-0,194","0,000","0,246","0,095","0,000","-0,244","0,174","0,000"
