Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,000","0,003","1,031","0,001","0,001","1,002","0,005","-0,002","1,006","0,002","-0,009","1,058","0,001","0,001","0,946","-0,002","0,001","0,957","-0,001","0,001","1,021"
1,"0,002","-0,004","1,034","0,004","0,000","1,006","0,002","-0,005","1,005","0,001","-0,007","1,063","0,002","0,001","0,940","0,000","0,002","0,960","-0,010","0,000","1,023"
2,"0,008","0,003","1,030","0,004","0,003","1,006","-0,002","0,005","1,004","0,008","-0,002","1,056","0,000","0,004","0,946","-0,004","-0,003","0,956","-0,006","0,008","1,020"
3,"0,003","0,002","1,033","0,001","-0,004","0,999","-0,001","0,001","1,001","0,009","-0,008","1,053","0,002","0,003","0,946","-0,001","-0,002","0,959","-0,004","-0,001","1,027"
4,"-0,005","-0,001","1,026","0,002","0,001","1,009","0,002","0,004","1,003","0,008","-0,010","1,057","-0,002","0,002","0,942","0,000","-0,001","0,950","0,002","0,010","1,019"
5,"0,000","0,002","1,024","0,004","-0,008","1,006","0,004","0,002","1,001","0,001","-0,004","1,056","0,004","0,001","0,941","0,001","0,008","0,960","0,001","0,003","1,020"
6,"0,006","0,001","1,031","0,002","-0,001","1,004","0,004","-0,005","1,002","-0,004","0,001","1,062","0,001","0,002","0,945","0,000","-0,002","0,959","-0,002","0,003","1,025"
7,"0,000","-0,001","1,028","0,002","0,001","1,003","0,007","-0,002","1,005","0,000","0,000","1,056","0,006","0,003","0,947","-0,001","0,004","0,954","0,004","0,001","1,016"
8,"-0,003","0,003","1,024","-0,001","-0,004","1,006","0,001","-0,005","1,004","-0,001","-0,004","1,053","0,000","0,001","0,944","0,000","-0,002","0,956","0,010","0,006","1,016"
9,"-0,003","0,001","1,024","0,009","-0,003","1,006","-0,002","0,001","1,001","-0,003","-0,010","1,052","0,001","0,002","0,943","-0,001","-0,002","0,959","0,005","-0,003","1,023"
10,"-0,003","0,000","1,025","0,007","-0,004","1,007","0,004","0,000","1,001","-0,004","-0,004","1,055","-0,003","-0,001","0,939","-0,002","0,002","0,962","-0,003","-0,004","1,020"
11,"-0,002","-0,010","1,033","0,005","-0,003","1,004","0,002","-0,003","1,009","-0,008","-0,014","1,056","0,003","0,003","0,942","-0,006","0,003","0,955","-0,007","0,001","1,018"
12,"0,008","-0,003","1,031","0,007","0,001","1,003","0,001","-0,001","1,004","-0,007","-0,008","1,060","0,003","-0,003","0,941","0,002","-0,001","0,961","-0,016","-0,008","1,024"
13,"0,006","0,001","1,030","0,001","-0,004","1,007","0,001","0,000","1,001","0,008","0,000","1,047","0,002","0,003","0,938","-0,002","0,002","0,959","-0,010","-0,002","1,021"
14,"0,002","0,003","1,029","0,002","-0,001","1,003","0,000","-0,001","1,003","0,007","-0,007","1,055","0,001","0,005","0,950","-0,005","-0,002","0,951","-0,006","0,003","1,023"
15,"-0,003","-0,002","1,025","0,004","-0,004","1,008","0,002","0,000","1,006","0,005","-0,004","1,053","0,000","0,004","0,943","-0,004","0,000","0,957","-0,007","0,001","1,018"
16,"0,001","0,003","1,031","0,001","-0,005","1,008","0,004","0,005","1,001","0,008","-0,005","1,060","0,005","0,001","0,942","-0,001","0,001","0,961","0,002","0,001","1,016"
17,"0,005","0,000","1,029","0,006","0,001","1,007","0,001","0,002","1,004","0,003","0,002","1,054","0,000","0,006","0,950","-0,001","0,003","0,962","-0,001","0,000","1,020"
