Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"82,904","4,756","-0,985","9,500","-4,639","0,386","63,364","13,980","-2,326","74,026","23,049","-8,309","71,502","11,408","-9,991","75,343","0,580","3,015","85,970","-2,847","-8,370"
1,"83,207","5,438","-0,874","9,502","-4,640","0,386","64,529","13,979","-1,977","74,697","22,384","-7,963","71,470","10,955","-9,715","75,345","0,580","3,016","86,761","-2,451","-7,998"
2,"83,482","5,909","-0,793","10,131","-4,631","0,411","64,711","13,730","-1,566","76,325","23,527","-8,656","72,036","10,130","-9,232","75,972","0,606","3,018","87,639","-1,826","-7,281"
3,"83,391","5,630","-0,641","9,856","-4,328","0,373","64,705","13,949","-1,935","75,465","23,912","-8,844","71,740","9,929","-8,892","75,586","0,450","2,880","86,852","-1,857","-7,142"
4,"83,341","5,905","-0,600","10,129","-4,380","0,388","64,509","14,313","-1,917","77,112","24,431","-9,397","71,732","9,747","-8,783","75,804","0,442","2,931","86,891","-1,699","-6,933"
5,"83,358","6,273","-0,150","10,102","-4,313","0,381","64,715","14,266","-1,911","77,094","24,366","-9,305","71,774","9,677","-8,707","75,772","-0,025","3,181","86,657","-1,521","-6,842"
6,"83,384","6,273","-0,149","10,333","-4,310","0,390","65,074","14,397","-1,993","77,295","24,092","-9,321","71,891","9,464","-8,568","76,003","-0,016","3,182","86,691","-1,565","-6,681"
7,"83,155","6,321","0,019","10,333","-4,310","0,390","65,161","14,069","-1,910","76,947","23,636","-9,045","71,805","9,433","-8,536","75,763","-0,228","3,305","86,524","-1,566","-6,636"
8,"83,243","6,318","0,024","10,401","-4,322","0,394","65,313","14,090","-1,917","77,111","23,422","-8,950","71,857","9,186","-8,399","75,800","-0,231","3,317","86,682","-1,403","-6,407"
9,"82,904","6,333","0,245","10,323","-4,305","0,389","65,456","14,168","-2,076","76,975","23,373","-8,904","71,841","9,141","-8,367","75,382","-0,520","3,467","86,727","-1,383","-6,376"
10,"83,004","6,384","0,293","10,246","-4,634","0,440","66,004","14,441","-2,343","77,098","23,346","-8,995","71,555","9,294","-8,543","75,142","-0,780","4,015","86,694","-1,563","-6,434"
11,"83,060","6,401","0,312","10,236","-4,297","0,370","65,935","14,545","-2,494","77,693","23,533","-9,331","71,246","9,133","-8,153","75,058","-0,770","4,010","86,626","-1,791","-6,519"
12,"83,423","6,822","0,454","10,563","-4,351","0,369","65,706","14,298","-2,242","77,878","23,739","-9,666","71,329","9,122","-8,098","75,639","-0,790","4,186","86,194","-1,976","-6,550"
13,"83,501","6,899","0,478","10,238","-4,471","0,383","65,758","14,256","-2,173","77,726","23,813","-9,789","70,791","9,264","-8,221","75,463","-0,735","4,062","85,646","-1,984","-6,492"
14,"83,641","7,374","0,643","10,415","-4,188","0,323","65,734","13,850","-1,707","77,187","23,825","-9,829","70,842","8,944","-7,630","75,874","-0,650","3,965","85,259","-1,551","-6,260"
15,"83,102","7,136","0,584","10,723","-4,096","0,300","65,181","13,714","-1,680","77,071","23,587","-9,483","71,227","8,705","-7,233","75,974","-0,519","3,692","85,587","-1,008","-6,067"
16,"82,630","7,040","0,570","10,440","-4,309","0,334","64,904","13,793","-1,837","76,811","23,284","-9,056","70,929","8,988","-7,661","75,517","-0,537","3,633","85,629","-0,987","-6,079"
17,"82,315","6,979","0,564","10,130","-4,127","0,298","64,598","13,800","-1,903","76,735","23,020","-8,671","70,638","9,080","-7,764","75,109","-0,359","3,146","85,869","-1,064","-6,163"
18,"82,566","6,835","0,526","10,446","-4,084","0,289","65,035","13,851","-1,866","76,193","22,712","-8,282","71,080","9,186","-8,006","75,419","-0,185","2,783","85,700","-1,165","-6,196"
19,"83,015","6,460","0,406","10,091","-4,122","0,294","65,223","13,822","-1,790","76,589","22,566","-8,020","70,753","9,389","-8,314","75,297","-0,159","2,666","85,890","-1,215","-6,243"
