Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"-1,303","1,925","13,232","-1,485","-0,390","-0,627","-0,813","1,921","3,245","-2,205","-6,564","4,960","-0,080","5,698","-4,107","0,013","-4,733","3,812","-6,269","-0,994","-11,079"
1,"-1,989","1,528","11,130","-1,327","-0,320","-0,960","-0,003","2,236","3,471","-0,161","-8,566","5,592","1,348","5,731","-4,126","-1,166","-1,034","3,469","-7,146","0,031","-8,726"
2,"-2,314","0,418","8,952","-1,458","-0,399","-1,061","-0,093","2,493","3,320","2,514","-7,747","7,378","1,196","6,276","-4,460","-2,263","0,158","3,635","-6,526","0,797","-5,359"
3,"-2,544","-0,556","6,584","-1,589","-0,296","-1,191","0,186","3,374","3,000","5,080","-7,181","7,288","0,348","7,215","-5,304","-2,282","-3,639","4,851","-5,914","1,835","-2,541"
4,"-2,372","-0,396","5,272","-1,589","-0,176","-1,211","1,487","2,040","3,554","5,149","-4,896","6,104","0,094","7,937","-6,105","-1,514","-7,420","5,775","-5,103","1,472","-2,083"
5,"-2,183","-0,257","4,483","-1,280","-0,110","-1,184","0,791","0,435","3,285","4,380","-1,220","4,098","0,905","7,801","-6,228","-1,087","-7,611","5,782","-3,825","0,937","-2,731"
6,"-1,733","-0,064","4,611","-0,831","-0,127","-0,907","0,655","-0,273","3,147","3,453","2,523","2,592","1,437","6,907","-6,150","-0,515","-4,420","4,687","-3,044","0,327","-3,314"
7,"-1,039","0,531","5,543","-0,335","0,007","-0,844","0,688","-0,961","2,176","2,516","4,000","2,443","1,570","5,574","-5,713","-0,570","-1,198","2,927","-2,610","-0,228","-4,779"
8,"-0,538","1,032","6,015","0,207","-0,009","-0,947","0,735","-0,276","1,661","0,986","3,277","2,459","1,285","4,297","-4,926","-1,399","0,169","1,674","-2,637","-0,421","-5,848"
9,"-0,121","0,882","5,094","0,628","0,036","-1,049","0,891","-0,180","1,016","-0,650","0,606","2,879","0,989","3,257","-4,349","-1,844","0,199","1,004","-3,470","-0,658","-6,142"
10,"0,172","0,464","3,761","0,455","-0,183","-0,876","0,620","-0,290","0,744","1,659","-1,050","2,109","1,193","3,276","-3,631","-1,056","-0,386","0,710","-2,082","-0,482","-5,907"
11,"0,305","0,145","1,770","0,577","-0,185","-0,886","-0,094","-0,393","0,896","3,677","-1,699","2,361","1,453","3,868","-3,384","0,279","-1,106","0,396","-1,063","-0,273","-4,966"
12,"0,130","0,015","0,607","0,689","-0,085","-1,034","0,277","0,094","0,862","2,437","-0,643","0,096","1,657","4,238","-3,296","0,886","-1,996","0,175","0,246","0,153","-3,150"
13,"0,055","0,171","0,111","0,820","-0,308","-0,885","-0,017","0,590","0,600","0,672","2,272","-1,444","2,067","4,574","-2,955","0,828","-2,516","0,207","1,154","0,365","-1,672"
14,"0,382","0,555","0,649","1,194","-0,474","-0,764","0,120","1,018","0,236","-0,087","4,049","-1,838","2,420","4,802","-2,699","0,447","-1,514","-0,228","2,251","0,466","-0,258"
15,"0,557","0,671","0,584","1,816","-0,513","-0,621","0,699","1,004","-0,554","-1,306","4,704","-1,607","2,669","4,173","-2,236","-0,059","-0,177","-0,808","2,185","0,057","-0,262"
16,"0,663","0,502","-0,349","2,312","-0,439","-0,548","0,922","1,303","-0,720","-0,850","4,400","-1,964","2,798","3,181","-1,574","-0,137","0,993","-1,325","2,897","-0,578","-0,085"
17,"0,685","0,929","-1,014","2,266","-0,409","-0,364","0,395","0,866","-0,360","-0,615","2,376","-1,300","2,830","2,470","-0,943","0,034","1,421","-1,719","2,122","-0,076","0,417"
18,"0,550","1,159","-0,681","1,981","-0,366","-0,100","0,581","-0,046","-0,791","-0,378","0,117","-1,452","2,706","1,849","-0,452","0,274","1,348","-1,892","1,345","-0,068","0,209"
