Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"86,581","6,143","-3,597","-21,749","-2,672","-0,513","65,016","15,123","-0,381","76,751","24,804","-7,751","46,289","10,988","-8,690","45,938","4,017","-1,416","95,661","-0,369","-8,842"
1,"86,616","6,157","-3,595","-21,654","-2,754","-0,527","64,808","15,172","-0,380","76,667","24,916","-7,785","46,769","10,865","-8,714","46,028","3,973","-1,345","96,045","-0,263","-8,722"
2,"86,686","6,084","-3,736","-21,588","-2,914","-0,556","65,137","15,257","-0,394","76,834","24,788","-7,737","46,711","11,018","-8,874","46,030","4,042","-1,312","95,990","-0,293","-8,777"
3,"86,458","6,172","-3,565","-21,441","-2,738","-0,518","65,160","15,205","-0,396","76,834","24,887","-7,777","46,807","11,002","-8,774","45,984","3,966","-1,340","95,950","-0,330","-8,859"
4,"86,455","6,199","-3,561","-21,467","-2,741","-0,520","65,148","15,216","-0,384","76,957","24,918","-7,811","46,741","11,023","-8,782","45,958","3,964","-1,337","95,978","-0,346","-8,879"
5,"86,466","6,306","-3,409","-21,441","-2,738","-0,518","65,179","15,184","-0,380","76,822","24,917","-7,824","46,749","11,032","-8,784","45,992","3,806","-1,232","95,823","-0,386","-8,884"
6,"86,461","6,360","-3,400","-21,441","-2,738","-0,518","65,165","15,153","-0,333","76,928","24,995","-7,985","46,708","11,050","-8,789","45,992","3,806","-1,232","95,843","-0,550","-8,941"
7,"86,346","6,306","-3,403","-21,441","-2,738","-0,518","65,080","15,166","-0,375","76,887","24,946","-7,875","46,585","11,028","-8,753","45,949","3,800","-1,228","95,657","-0,419","-8,862"
8,"86,335","6,316","-3,463","-21,441","-2,738","-0,518","65,099","15,168","-0,336","76,917","24,907","-7,899","46,584","10,997","-8,732","45,935","3,874","-1,277","95,670","-0,453","-8,844"
9,"86,338","6,328","-3,400","-21,441","-2,738","-0,518","65,075","15,180","-0,366","76,925","24,884","-7,890","46,510","10,995","-8,717","45,938","3,802","-1,229","95,598","-0,455","-8,831"
10,"86,396","6,491","-3,349","-21,749","-2,641","-0,481","65,561","15,056","-0,084","77,080","25,033","-8,062","45,984","10,878","-8,356","45,388","3,791","-1,277","95,721","-0,163","-8,703"
11,"86,255","6,336","-3,390","-21,472","-2,805","-0,548","64,975","14,956","-0,135","76,982","24,931","-7,946","46,206","10,809","-8,209","45,847","3,831","-1,322","95,388","-0,019","-8,569"
12,"85,816","6,708","-3,219","-21,176","-2,668","-0,497","64,855","14,958","-0,168","76,946","25,084","-8,156","46,243","10,678","-7,889","45,935","3,820","-1,290","95,342","-0,136","-8,624"
13,"86,258","6,458","-3,353","-21,387","-2,907","-0,594","64,897","14,952","-0,142","76,856","24,929","-7,976","46,034","10,916","-8,423","45,849","3,832","-1,334","94,967","-0,410","-8,705"
14,"86,322","5,905","-3,554","-21,364","-2,587","-0,474","64,920","15,000","-0,187","76,746","24,985","-8,068","46,247","10,767","-8,085","45,782","4,080","-1,939","95,250","-0,644","-8,882"
15,"86,299","6,182","-3,456","-21,046","-2,657","-0,505","64,876","14,938","-0,130","77,209","25,017","-8,055","46,358","10,711","-7,959","46,340","4,045","-1,788","95,286","-0,302","-8,706"
16,"86,159","6,117","-3,457","-21,264","-2,422","-0,418","64,671","14,944","-0,197","77,168","24,999","-8,043","45,875","10,544","-7,506","46,236","4,260","-2,328","95,266","0,103","-8,485"
17,"86,474","6,085","-3,496","-20,948","-2,346","-0,391","64,662","14,991","-0,257","77,507","25,047","-8,066","46,359","10,411","-7,239","46,723","4,209","-2,163","95,618","0,073","-8,562"
