Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,006","-0,002","1,008","-0,001","0,004","0,982","0,004","0,004","0,956","0,001","-0,004","0,967","0,006","0,001","0,890","0,006","0,003","0,950","0,004","-0,001","1,043"
1,"0,009","-0,003","1,006","-0,003","0,003","0,973","0,005","-0,002","0,954","0,002","-0,006","0,959","0,004","0,007","0,887","0,010","0,003","0,962","0,006","0,005","1,044"
2,"0,012","-0,006","1,003","-0,005","-0,001","0,979","0,004","0,005","0,951","0,000","-0,003","0,959","0,007","0,001","0,882","0,004","-0,004","0,950","0,005","-0,002","1,047"
3,"0,004","-0,006","1,007","-0,002","-0,004","0,977","0,004","0,005","0,952","0,005","-0,004","0,964","0,006","0,004","0,890","0,009","-0,003","0,955","0,004","-0,004","1,045"
4,"0,005","0,000","1,007","-0,002","0,002","0,978","0,000","0,006","0,956","0,005","0,000","0,962","0,012","-0,007","0,892","0,010","-0,002","0,954","-0,001","-0,001","1,053"
5,"0,005","-0,007","1,014","-0,001","-0,001","0,980","0,006","0,008","0,950","0,005","-0,002","0,954","0,011","-0,001","0,897","0,017","0,000","0,955","-0,001","0,006","1,046"
6,"0,002","0,001","1,011","-0,001","-0,006","0,980","0,007","0,010","0,957","0,004","0,002","0,969","0,010","-0,006","0,888","0,014","-0,001","0,960","0,000","0,001","1,053"
7,"0,006","-0,003","1,003","-0,003","-0,003","0,979","0,002","0,003","0,955","0,001","-0,005","0,965","0,003","-0,005","0,892","0,008","-0,002","0,958","0,003","0,000","1,050"
8,"0,001","-0,001","1,006","-0,002","0,000","0,980","-0,001","0,007","0,948","-0,002","-0,001","0,964","0,002","-0,003","0,891","0,005","-0,006","0,950","0,002","0,006","1,044"
9,"0,004","0,001","1,005","-0,008","0,000","0,978","-0,001","0,002","0,956","-0,006","0,002","0,968","0,001","0,000","0,889","0,009","-0,003","0,952","-0,007","-0,003","1,044"
10,"0,003","-0,010","1,007","-0,001","0,002","0,976","0,006","0,008","0,953","0,006","-0,007","0,959","-0,005","-0,006","0,884","0,010","-0,005","0,951","0,003","-0,008","1,044"
11,"0,002","-0,005","1,006","-0,003","0,000","0,979","0,005","0,004","0,954","0,000","-0,002","0,967","-0,005","-0,004","0,888","0,006","-0,003","0,951","-0,002","0,005","1,042"
12,"0,000","-0,002","1,006","0,000","-0,007","0,974","0,002","0,005","0,953","0,001","-0,005","0,959","-0,005","-0,004","0,883","0,007","-0,005","0,951","-0,007","-0,005","1,051"
13,"-0,003","-0,008","1,007","-0,007","-0,001","0,974","0,001","-0,001","0,951","-0,005","0,003","0,957","-0,006","-0,007","0,885","0,002","-0,004","0,956","-0,005","-0,004","1,050"
14,"-0,002","-0,005","1,007","-0,003","-0,002","0,980","0,005","-0,002","0,948","-0,005","-0,003","0,961","-0,003","0,000","0,892","-0,001","-0,007","0,957","-0,008","0,001","1,044"
15,"-0,001","-0,004","1,004","0,000","-0,004","0,976","0,000","0,005","0,955","0,001","0,004","0,968","-0,006","-0,007","0,890","0,000","-0,002","0,950","-0,005","-0,006","1,049"
16,"-0,004","-0,002","1,007","0,003","-0,004","0,979","-0,002","0,002","0,953","0,000","-0,005","0,959","-0,009","-0,009","0,888","-0,001","-0,003","0,951","-0,003","-0,007","1,052"
17,"-0,003","-0,001","1,006","0,004","-0,007","0,975","0,001","-0,001","0,951","-0,004","-0,002","0,960","-0,013","-0,006","0,892","0,000","0,002","0,962","-0,007","-0,010","1,049"
