Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"92,774","4,107","-7,906","16,507","-2,433","0,353","61,718","9,001","2,651","67,644","24,568","-5,614","85,214","12,606","-10,616","86,481","9,144","-4,363","98,048","-1,844","-11,873"
1,"93,383","4,174","-7,967","16,520","-2,585","0,375","62,166","9,028","2,686","67,947","24,383","-5,561","85,353","12,458","-10,663","86,628","9,155","-4,254","98,327","-1,690","-11,701"
2,"93,285","4,177","-8,037","16,669","-2,584","0,379","62,295","9,001","2,739","67,938","24,429","-5,630","85,499","12,409","-10,631","86,559","9,249","-4,299","98,387","-1,759","-11,684"
3,"93,080","4,411","-7,512","16,665","-2,583","0,378","62,197","8,886","2,735","67,881","24,407","-5,617","85,488","12,395","-10,619","86,372","8,744","-3,929","98,362","-1,760","-11,667"
4,"93,176","4,487","-7,502","16,665","-2,583","0,378","62,208","8,997","2,740","67,886","24,541","-5,754","85,491","12,316","-10,566","86,367","8,746","-3,930","98,445","-1,867","-11,631"
5,"92,581","4,528","-7,321","16,520","-2,585","0,375","62,047","8,964","2,743","67,859","24,434","-5,629","85,347","12,320","-10,567","85,715","8,600","-3,790","98,357","-1,725","-11,583"
6,"92,678","4,632","-7,303","16,520","-2,613","0,379","62,143","8,913","2,820","67,834","24,440","-5,626","85,359","12,157","-10,481","85,711","8,594","-3,763","98,390","-1,634","-11,403"
7,"92,282","4,628","-7,229","16,488","-2,608","0,378","62,138","8,905","2,819","67,790","24,418","-5,553","85,320","12,326","-10,590","85,280","8,546","-3,703","98,310","-1,628","-11,551"
8,"92,275","4,668","-7,220","16,488","-2,608","0,378","62,108","8,879","2,850","67,776","24,425","-5,550","85,316","12,305","-10,575","85,280","8,546","-3,703","98,320","-1,615","-11,529"
9,"92,202","4,704","-7,142","16,481","-2,607","0,378","62,003","8,868","2,843","67,743","24,500","-5,564","85,325","12,295","-10,571","85,318","8,467","-3,654","98,324","-1,598","-11,517"
10,"92,189","4,835","-7,055","16,397","-2,924","0,477","61,466","8,564","2,948","67,777","24,346","-5,422","85,555","12,458","-11,016","85,445","8,354","-3,411","98,342","-1,456","-11,444"
11,"92,446","4,426","-7,248","16,534","-3,225","0,570","61,454","9,089","2,529","67,593","24,645","-5,696","85,963","12,638","-11,540","85,789","8,290","-3,254","98,608","-1,893","-11,761"
12,"92,470","4,403","-7,239","16,882","-3,230","0,574","61,643","9,035","2,620","67,493","24,608","-5,673","86,454","12,522","-11,303","86,175","8,413","-3,588","98,833","-1,335","-11,504"
13,"92,578","4,216","-7,313","16,701","-2,966","0,494","61,714","8,966","2,691","67,680","24,268","-5,360","86,032","12,515","-11,206","85,827","8,523","-4,000","98,596","-1,241","-11,402"
14,"92,118","4,446","-7,103","16,422","-2,811","0,446","61,749","8,770","2,852","67,516","24,386","-5,479","85,662","12,590","-11,339","85,347","8,506","-4,065","98,583","-1,806","-11,733"
15,"92,103","3,933","-7,302","16,300","-3,110","0,530","61,992","8,806","2,882","67,626","24,248","-5,351","85,356","12,743","-11,672","85,024","8,451","-3,994","98,221","-1,627","-11,553"
16,"92,380","3,967","-7,331","16,614","-2,960","0,481","61,855","9,148","2,578","68,124","24,393","-5,420","85,829","12,597","-11,334","85,476","8,415","-3,843","98,631","-1,600","-11,655"
17,"92,484","4,246","-7,229","16,945","-2,857","0,443","61,950","8,910","2,792","67,817","23,982","-5,110","86,004","12,653","-11,466","85,619","8,388","-3,752","98,199","-1,762","-11,660"
18,"92,412","4,403","-7,155","16,730","-2,621","0,363","61,919","8,900","2,803","67,881","24,274","-5,359","85,537","12,501","-10,973","85,674","8,424","-3,835","98,297","-1,682","-11,660"
19,"92,607","4,665","-7,084","16,414","-2,689","0,377","62,178","9,245","2,600","67,382","24,324","-5,463","85,448","12,488","-10,879","85,212","8,274","-3,490","98,288","-1,686","-11,684"
20,"92,538","4,864","-6,993","16,724","-2,838","0,413","61,764","8,881","2,796","67,614","24,179","-5,307","85,646","12,437","-10,721","85,736","8,201","-3,207","98,158","-1,133","-11,370"
21,"92,662","5,494","-6,750","17,077","-2,797","0,390","61,842","8,373","3,219","68,023","24,200","-5,275","86,071","12,536","-10,986","86,177","8,133","-2,931","98,462","-1,564","-11,724"
22,"92,924","5,112","-6,963","16,791","-2,680","0,344","62,286","8,312","3,371","67,617","24,039","-5,186","85,506","12,537","-10,854","85,887","8,289","-3,355","98,084","-1,350","-11,543"
23,"92,691","4,721","-7,089","17,121","-2,797","0,367","61,932","8,563","3,077","68,086","24,038","-5,130","85,747","12,690","-11,221","86,278","8,391","-3,539","98,232","-1,721","-11,824"
24,"92,733","4,243","-7,296","17,115","-2,468","0,254","61,689","8,992","2,667","68,272","24,384","-5,407","85,797","12,691","-11,181","86,509","8,619","-4,092","98,634","-2,019","-12,124"
25,"92,426","4,113","-7,286","16,807","-2,446","0,238","61,446","9,423","2,256","68,231","23,984","-5,079","85,297","12,617","-10,883","85,995","8,542","-3,920","98,250","-1,612","-11,810"
26,"92,764","4,105","-7,339","16,885","-2,119","0,131","61,930","9,231","2,510","68,259","24,215","-5,282","85,091","12,426","-10,328","86,270","8,777","-4,514","98,335","-1,554","-11,814"
27,"92,881","4,138","-7,335","16,891","-2,444","0,221","61,742","9,414","2,312","67,847","24,394","-5,493","85,177","12,692","-10,958","86,221","8,541","-3,862","98,028","-1,897","-11,952"
28,"92,774","4,493","-7,160","17,119","-2,169","0,128","61,710","9,179","2,489","68,002","24,490","-5,567","85,376","12,463","-10,360","86,666","8,579","-3,898","97,967","-1,866","-11,936"
29,"92,859","4,522","-7,166","17,449","-2,330","0,172","62,196","9,481","2,367","67,411","24,253","-5,438","85,877","12,423","-10,262","86,731","8,498","-3,662","97,807","-1,570","-11,747"
30,"92,919","4,558","-7,176","17,448","-2,326","0,170","62,177","9,502","2,363","67,413","24,309","-5,484","85,900","12,447","-10,259","86,758","8,487","-3,634","97,826","-1,599","-11,798"
31,"92,905","4,629","-7,173","17,458","-2,317","0,166","62,102","9,476","2,392","67,455","24,352","-5,517","85,913","12,449","-10,207","86,779","8,475","-3,600","97,859","-1,573","-11,814"
32,"92,885","4,669","-7,182","17,472","-2,307","0,165","62,020","9,490","2,387","67,504","24,346","-5,509","85,908","12,454","-10,154","86,801","8,462","-3,568","97,872","-1,533","-11,820"
33,"92,899","4,742","-7,180","17,488","-2,284","0,163","62,008","9,454","2,431","67,521","24,402","-5,547","85,913","12,454","-10,086","86,849","8,456","-3,561","97,884","-1,517","-11,842"
