Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-17,009","12,607","-0,101","12,286","-4,197","0,452","61,367","10,678","-2,434","75,175","19,903","-9,454","-18,819","9,709","3,412","-14,582","-11,490","-3,290","-10,695","-4,592","-0,235"
1,"-16,492","12,795","0,025","12,313","-4,196","0,453","62,055","10,619","-2,216","75,132","19,987","-9,489","-18,790","9,657","3,396","-14,551","-11,368","-3,259","-10,692","-4,537","-0,231"
2,"-16,473","12,917","0,039","12,316","-4,197","0,453","62,018","10,562","-2,114","75,480","19,996","-9,494","-18,787","9,658","3,396","-14,548","-11,369","-3,259","-10,368","-4,533","-0,260"
3,"-16,602","12,806","0,005","12,316","-4,197","0,453","61,840","10,583","-2,189","75,307","19,962","-9,491","-18,681","9,648","3,380","-14,523","-11,364","-3,254","-10,546","-4,505","-0,236"
4,"-16,722","12,814","-0,001","12,316","-4,197","0,453","61,852","10,597","-2,190","75,303","19,972","-9,505","-18,716","9,653","3,386","-14,659","-11,359","-3,273","-10,580","-4,525","-0,237"
5,"-16,725","12,814","-0,008","12,313","-4,182","0,451","61,839","10,462","-2,138","75,283","20,027","-9,535","-18,718","9,666","3,387","-14,636","-11,367","-3,269","-10,598","-4,554","-0,238"
6,"-16,877","12,817","-0,017","12,313","-4,182","0,451","61,845","10,460","-2,134","75,297","20,044","-9,575","-18,718","9,666","3,387","-14,796","-11,360","-3,290","-10,597","-4,594","-0,245"
7,"-16,917","12,762","-0,041","12,313","-4,113","0,444","61,849","10,487","-2,232","75,181","20,022","-9,537","-18,695","9,602","3,355","-14,793","-11,376","-3,285","-10,691","-4,555","-0,228"
8,"-16,917","12,767","-0,036","12,313","-4,127","0,445","61,876","10,520","-2,243","75,307","20,033","-9,550","-18,706","9,588","3,354","-14,843","-11,388","-3,297","-10,615","-4,527","-0,234"
9,"-16,923","12,638","-0,050","12,261","-4,100","0,441","61,777","10,540","-2,330","75,259","20,045","-9,538","-18,718","9,586","3,346","-14,894","-11,376","-3,292","-10,581","-4,536","-0,235"
10,"-16,835","13,305","0,084","12,318","-3,772","0,377","61,998","10,331","-2,042","75,466","19,983","-9,428","-18,505","9,564","3,322","-14,746","-11,374","-3,280","-10,159","-5,004","-0,452"
11,"-16,690","12,655","-0,005","12,068","-4,001","0,434","62,270","10,345","-2,046","75,538","19,974","-9,403","-19,015","9,566","3,373","-14,962","-11,273","-3,244","-10,374","-4,493","-0,244"
12,"-17,091","12,460","-0,088","11,741","-4,097","0,462","61,707","10,288","-2,074","75,038","20,115","-9,636","-19,170","9,869","3,576","-15,356","-11,047","-3,158","-10,479","-4,838","-0,366"
13,"-17,028","12,540","-0,065","12,072","-4,133","0,478","62,210","10,535","-2,341","75,019","20,125","-9,643","-19,142","9,844","3,564","-15,308","-11,231","-3,251","-11,074","-4,931","-0,332"
14,"-17,002","12,848","-0,009","12,137","-3,808","0,416","61,721","10,215","-2,000","75,313","20,189","-9,721","-18,746","9,478","3,314","-14,915","-11,039","-3,123","-10,540","-4,619","-0,278"
15,"-17,043","12,540","-0,067","11,943","-4,086","0,482","61,748","10,339","-2,175","74,948","20,379","-10,029","-19,269","9,645","3,456","-15,440","-11,186","-3,238","-11,033","-4,825","-0,294"
16,"-16,639","12,764","0,030","12,152","-4,348","0,543","62,271","10,290","-2,051","75,293","20,134","-9,634","-18,780","9,827","3,525","-15,211","-11,725","-3,497","-10,492","-4,545","-0,246"
17,"-16,713","12,959","0,057","12,029","-4,037","0,481","61,996","10,459","-2,328","75,207","20,103","-9,589","-18,842","9,837","3,540","-15,051","-11,615","-3,426","-10,651","-5,105","-0,433"
18,"-17,081","13,148","0,042","11,894","-3,731","0,420","62,099","10,138","-1,893","75,486","20,141","-9,630","-18,661","9,442","3,296","-15,442","-11,196","-3,239","-10,163","-4,721","-0,353"
19,"-16,484","13,013","0,100","12,057","-4,028","0,487","62,239","10,422","-2,263","75,503","20,019","-9,432","-18,753","9,506","3,344","-14,999","-11,527","-3,375","-10,095","-4,423","-0,252"
20,"-16,962","12,525","-0,050","12,381","-4,134","0,515","61,802","10,611","-2,585","75,312","19,920","-9,281","-18,131","9,656","3,380","-14,902","-11,406","-3,307","-10,090","-4,586","-0,311"
21,"-17,067","13,163","0,047","12,225","-4,430","0,586","61,865","10,370","-2,258","75,575","20,190","-9,683","-18,613","9,808","3,514","-15,074","-11,967","-3,616","-10,099","-4,639","-0,328"
22,"-17,358","12,696","-0,072","12,142","-4,108","0,522","61,309","10,370","-2,350","75,441","20,004","-9,393","-18,975","9,516","3,375","-15,064","-11,367","-3,308","-10,702","-4,514","-0,219"
23,"-17,312","12,599","-0,081","12,480","-4,103","0,526","61,852","10,256","-2,125","74,989","20,175","-9,675","-18,337","9,589","3,375","-14,992","-11,204","-3,220","-10,673","-4,759","-0,319"
