Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,102","0,575","0,544","0,579","0,428","0,291","-0,094","-0,197","0,081","-0,281","0,239","0,057","0,314","0,246","-0,125","-0,077","0,523","0,239","-0,230","0,458","0,070"
1,"0,129","0,511","0,180","0,518","0,489","0,283","-0,049","-0,144","0,031","-0,102","0,167","0,075","-0,104","0,331","0,348","-0,205","0,357","0,305","-0,298","0,640","0,392"
2,"0,030","0,495","0,441","0,588","0,454","0,410","0,016","-0,346","-0,053","-0,092","0,130","0,028","0,251","0,452","0,458","-0,274","0,574","0,323","-0,238","0,661","0,451"
3,"-0,009","0,537","0,686","0,466","0,396","0,432","0,140","-0,418","-0,092","0,009","0,145","0,118","0,137","0,471","0,362","-0,294","0,710","0,457","-0,237","0,583","0,414"
4,"0,119","0,546","0,734","0,340","0,386","0,381","0,082","-0,302","-0,020","-0,070","0,177","-0,004","0,305","0,225","-0,042","-0,301","0,547","0,539","-0,360","0,797","0,464"
5,"0,096","0,624","0,474","0,345","0,279","0,466","0,135","-0,210","-0,022","0,031","0,191","0,086","0,401","0,039","-0,349","-0,281","0,601","0,377","-0,179","0,838","0,583"
6,"0,018","0,594","0,300","0,293","0,246","0,602","0,128","-0,248","-0,069","-0,181","0,011","0,024","0,526","-0,042","-0,358","-0,289","0,629","0,430","-0,178","0,895","0,562"
7,"-0,037","0,665","0,355","0,302","0,272","0,721","0,127","-0,371","-0,128","-0,327","0,092","-0,073","0,534","0,239","0,118","-0,168","0,631","0,446","-0,243","0,879","0,696"
8,"0,030","0,555","0,430","0,311","0,238","0,853","0,239","-0,273","-0,144","0,586","-0,409","0,054","0,428","0,350","0,538","0,077","0,501","0,479","-0,424","0,646","0,582"
9,"0,052","0,597","0,670","0,194","0,312","0,909","0,370","-0,308","-0,136","-0,439","0,304","-0,188","0,474","0,686","0,629","0,022","0,417","0,444","-0,410","0,553","-0,033"
10,"0,048","0,762","1,263","0,372","0,356","0,823","0,436","-0,387","-0,161","-0,226","0,296","-0,054","0,388","0,497","0,304","-0,085","0,581","0,760","-0,110","0,557","0,167"
11,"-0,002","0,724","1,398","0,241","0,451","0,687","0,285","-0,219","-0,194","0,019","-0,014","0,009","0,310","0,330","-0,104","-0,153","0,607","0,806","-0,236","0,776","0,409"
