Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,996","-0,083","0,043","0,000","0,994","-0,107","0,037","0,000","0,892","0,434","0,129","0,000","0,874","0,442","-0,201","0,000","0,963","-0,265","-0,053","0,000","0,971","-0,229","-0,068","0,000","0,985","-0,174","-0,013","0,000"
1,"0,995","-0,087","0,045","0,000","0,994","-0,107","0,037","0,000","0,891","0,436","0,130","0,000","0,874","0,442","-0,201","0,000","0,963","-0,265","-0,053","0,000","0,971","-0,229","-0,066","0,000","0,985","-0,174","-0,013","0,000"
2,"0,995","-0,088","0,046","0,000","0,994","-0,107","0,037","0,000","0,891","0,436","0,130","0,000","0,874","0,442","-0,201","0,000","0,963","-0,265","-0,053","0,000","0,971","-0,229","-0,066","0,000","0,984","-0,177","-0,013","0,000"
3,"0,995","-0,086","0,046","0,000","0,994","-0,107","0,037","0,000","0,891","0,435","0,130","0,000","0,874","0,443","-0,201","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,228","-0,066","0,000","0,985","-0,174","-0,013","0,000"
4,"0,995","-0,086","0,046","0,000","0,994","-0,107","0,037","0,000","0,891","0,435","0,130","0,000","0,874","0,443","-0,201","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,230","-0,066","0,000","0,985","-0,174","-0,013","0,000"
5,"0,995","-0,086","0,045","0,000","0,994","-0,107","0,037","0,000","0,891","0,435","0,129","0,000","0,874","0,442","-0,202","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,229","-0,067","0,000","0,985","-0,174","-0,013","0,000"
6,"0,995","-0,086","0,045","0,000","0,994","-0,107","0,037","0,000","0,891","0,435","0,129","0,000","0,874","0,442","-0,202","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,231","-0,067","0,000","0,985","-0,174","-0,013","0,000"
7,"0,995","-0,086","0,044","0,000","0,994","-0,107","0,036","0,000","0,891","0,436","0,128","0,000","0,874","0,442","-0,202","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,231","-0,067","0,000","0,985","-0,173","-0,013","0,000"
8,"0,995","-0,086","0,044","0,000","0,994","-0,107","0,036","0,000","0,891","0,435","0,129","0,000","0,874","0,443","-0,202","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,231","-0,067","0,000","0,985","-0,174","-0,013","0,000"
9,"0,995","-0,086","0,043","0,000","0,994","-0,107","0,036","0,000","0,891","0,435","0,128","0,000","0,874","0,442","-0,202","0,000","0,963","-0,264","-0,053","0,000","0,971","-0,231","-0,067","0,000","0,985","-0,174","-0,013","0,000"
