Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"-0,003","0,006","1,006","0,004","0,007","1,003","-0,003","0,000","0,950","0,002","0,001","0,960","0,003","0,003","1,054","-0,005","0,013","1,027","-0,007","0,001","1,030"
1,"0,004","0,003","1,002","-0,004","0,010","1,000","-0,001","0,001","0,954","0,004","-0,003","0,958","0,003","-0,001","1,057","-0,002","0,011","1,022","-0,004","0,001","1,028"
2,"0,004","0,000","1,005","0,002","0,008","1,003","0,000","-0,004","0,948","-0,001","-0,003","0,954","0,008","0,000","1,055","0,005","0,001","1,024","0,002","0,003","1,028"
3,"-0,001","0,005","1,003","-0,001","0,008","1,004","0,005","0,000","0,947","0,002","0,003","0,954","0,003","0,001","1,055","0,004","0,008","1,026","0,005","0,006","1,028"
4,"-0,001","0,002","1,004","0,001","0,004","1,003","0,000","0,000","0,948","-0,002","0,005","0,964","0,003","0,002","1,059","0,002","-0,001","1,026","-0,001","0,004","1,028"
5,"-0,005","0,001","1,002","0,000","0,003","1,005","-0,002","0,002","0,950","0,002","-0,003","0,955","0,000","0,009","1,052","-0,005","0,008","1,022","0,001","0,007","1,025"
6,"-0,001","0,005","1,004","-0,001","0,000","1,010","0,002","0,001","0,952","0,006","-0,002","0,963","0,003","0,010","1,054","-0,003","0,005","1,028","0,000","0,002","1,026"
7,"0,000","-0,001","1,000","0,000","0,006","1,003","0,000","0,003","0,952","0,000","-0,006","0,958","0,004","0,005","1,056","-0,004","0,003","1,023","0,002","0,003","1,026"
8,"-0,002","-0,001","0,999","0,003","0,000","1,000","-0,002","-0,001","0,948","0,002","-0,002","0,960","0,007","0,000","1,057","-0,003","0,004","1,023","0,004","0,003","1,031"
9,"0,002","0,006","1,003","-0,003","0,009","1,002","0,000","-0,001","0,943","0,001","0,002","0,960","0,004","0,000","1,056","0,005","0,010","1,022","0,000","0,003","1,028"
10,"-0,004","0,007","1,001","0,006","0,006","1,003","0,001","-0,002","0,947","0,000","0,003","0,960","0,004","-0,002","1,056","-0,002","0,011","1,023","-0,002","-0,005","1,033"
11,"0,003","0,012","0,998","0,006","0,004","0,999","-0,001","-0,001","0,950","-0,001","-0,008","0,957","0,002","-0,003","1,055","0,003","0,012","1,027","-0,002","-0,002","1,031"
12,"-0,001","0,007","1,004","-0,001","0,005","1,004","-0,002","-0,005","0,948","0,000","-0,001","0,960","0,000","-0,002","1,052","0,007","0,008","1,026","-0,003","-0,003","1,026"
13,"-0,002","0,005","1,010","-0,002","0,013","1,000","0,001","-0,001","0,953","0,001","0,000","0,962","0,003","-0,005","1,056","0,000","0,012","1,027","-0,001","0,000","1,030"
14,"-0,001","-0,004","1,005","-0,004","0,006","1,007","0,006","0,001","0,949","-0,001","0,001","0,965","0,002","-0,001","1,057","-0,006","-0,001","1,027","0,002","0,004","1,030"
15,"-0,005","-0,005","1,005","-0,006","0,008","1,005","-0,004","-0,005","0,953","0,004","0,000","0,964","0,002","0,003","1,056","-0,005","-0,004","1,024","-0,002","0,003","1,027"
16,"-0,002","-0,002","0,998","-0,004","0,003","1,002","0,001","-0,004","0,944","0,001","-0,003","0,957","0,000","0,000","1,054","-0,002","-0,008","1,024","0,000","0,004","1,031"
17,"-0,002","-0,003","1,008","-0,004","0,004","1,004","0,002","0,001","0,949","0,004","0,001","0,957","0,000","0,003","1,055","-0,002","-0,008","1,023","-0,004","0,003","1,031"
18,"-0,002","-0,006","1,007","0,004","0,004","1,006","0,003","0,001","0,949","0,000","-0,002","0,955","0,001","-0,003","1,058","0,002","0,005","1,017","-0,001","0,001","1,028"
19,"-0,001","0,003","1,003","0,003","0,010","1,003","0,001","0,000","0,950","0,002","0,002","0,961","0,004","-0,004","1,056","0,002","-0,001","1,026","-0,003","0,003","1,032"
20,"-0,004","0,004","1,004","0,002","0,009","1,005","0,002","-0,005","0,943","0,000","-0,001","0,958","0,004","-0,007","1,056","0,005","0,007","1,025","0,001","-0,002","1,028"
21,"-0,001","0,007","1,004","0,003","-0,004","1,007","0,000","0,000","0,952","0,000","0,002","0,960","0,004","-0,008","1,055","0,002","0,014","1,022","-0,002","-0,005","1,027"
22,"0,001","0,003","1,001","0,004","0,007","1,005","0,002","0,000","0,947","0,001","0,003","0,958","0,001","-0,005","1,056","-0,001","0,006","1,023","-0,003","0,004","1,028"
23,"0,001","0,006","1,000","0,000","0,009","1,003","0,001","0,002","0,953","0,001","0,002","0,959","0,004","-0,009","1,061","0,002","0,002","1,025","0,003","-0,004","1,028"
24,"0,002","0,005","1,003","-0,006","0,003","0,999","0,001","-0,002","0,946","0,000","0,000","0,960","0,008","-0,003","1,054","0,005","-0,003","1,025","-0,002","-0,003","1,028"
25,"0,000","0,000","1,004","-0,005","0,002","1,000","0,008","0,003","0,949","-0,004","0,005","0,962","0,007","-0,001","1,057","0,003","-0,006","1,025","-0,002","0,002","1,027"
26,"-0,002","-0,005","0,999","-0,004","0,000","1,001","0,000","-0,005","0,946","0,001","0,000","0,958","-0,001","0,003","1,056","-0,005","0,001","1,022","-0,001","-0,001","1,026"
27,"0,000","-0,008","1,007","0,002","0,005","1,002","0,000","-0,003","0,951","0,000","0,000","0,955","0,001","0,001","1,051","0,000","0,002","1,022","-0,001","-0,007","1,030"
28,"-0,003","-0,004","1,001","0,004","0,005","1,006","0,003","0,000","0,950","0,000","0,001","0,959","0,001","0,001","1,055","-0,004","-0,003","1,025","-0,003","0,000","1,025"
29,"0,002","-0,001","1,002","0,004","-0,001","1,003","-0,001","0,001","0,946","0,002","0,001","0,962","-0,002","0,004","1,059","-0,003","0,002","1,025","0,000","-0,002","1,030"
30,"-0,002","-0,001","1,006","0,004","0,009","1,003","-0,004","0,000","0,947","-0,004","0,004","0,963","-0,001","-0,004","1,058","0,003","0,003","1,025","0,001","0,003","1,032"
31,"0,003","0,001","1,001","0,004","0,006","1,006","0,002","0,001","0,952","0,001","-0,004","0,958","0,002","-0,004","1,058","0,003","0,008","1,021","-0,005","-0,005","1,032"
32,"0,003","0,001","1,001","0,002","0,002","1,008","0,001","-0,003","0,947","0,001","0,004","0,959","0,003","-0,007","1,060","0,001","0,005","1,022","0,000","0,001","1,028"
33,"-0,002","0,000","0,995","0,001","0,002","1,003","0,001","0,002","0,949","0,000","0,002","0,963","0,004","-0,003","1,053","-0,001","0,006","1,025","-0,005","0,004","1,025"
34,"-0,004","-0,001","1,004","-0,001","-0,004","1,003","-0,003","0,006","0,948","0,001","0,001","0,956","0,004","-0,009","1,058","-0,001","0,000","1,028","0,002","-0,005","1,031"
35,"0,001","0,005","0,999","-0,002","0,007","1,003","-0,005","-0,001","0,948","-0,003","0,000","0,964","0,005","-0,008","1,057","-0,002","0,002","1,018","-0,003","-0,002","1,027"
36,"0,001","0,000","1,001","-0,004","0,000","1,005","0,001","-0,001","0,951","-0,001","0,009","0,964","0,004","-0,004","1,056","0,005","0,000","1,020","0,000","0,001","1,029"
37,"0,003","0,006","1,005","-0,002","0,007","1,006","0,003","0,000","0,947","-0,001","0,005","0,956","0,003","0,001","1,053","0,002","0,003","1,024","-0,001","0,000","1,026"
38,"-0,001","-0,002","1,001","-0,005","0,003","1,000","0,004","-0,002","0,946","0,002","-0,001","0,957","0,004","0,000","1,060","-0,001","-0,004","1,027","0,000","0,002","1,026"
