Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"-0,161","-0,066","-1,351","-0,627","-0,134","-1,544","0,131","-0,144","0,285","0,244","0,220","-0,375","-0,141","-0,103","-0,389","-0,146","0,001","-0,435","2,363","1,904","4,400"
1,"-0,196","-0,223","-0,769","-0,783","-0,199","-2,017","0,010","-0,175","-0,225","0,823","0,033","-0,247","0,340","0,101","-0,342","0,771","-0,202","-0,819","1,802","2,026","4,584"
2,"0,058","-0,079","-0,619","-0,879","-0,325","-2,486","-0,020","-0,153","-0,080","0,200","0,316","-0,384","0,115","-0,136","-0,877","-0,018","-0,015","-0,006","2,313","1,794","4,238"
3,"0,204","-0,133","-1,359","-0,831","-0,411","-2,663","-0,016","-0,064","0,242","0,289","-0,193","-0,022","0,801","-0,677","-1,266","0,187","0,163","-0,190","2,059","1,609","3,385"
4,"0,190","-0,351","-1,572","-0,649","-0,292","-2,693","-0,213","-0,323","0,085","0,077","-0,187","-0,157","0,264","-0,526","-1,420","-0,053","0,152","-0,691","1,847","1,278","2,897"
5,"0,295","-0,228","-1,967","-0,401","-0,226","-2,658","-0,184","-0,294","0,215","0,199","-0,248","-0,159","-0,247","0,281","-0,584","-0,392","-0,177","-0,862","1,699","0,929","2,353"
6,"0,092","-0,521","-2,282","-0,140","-0,316","-2,418","-0,010","-0,345","0,389","0,255","-0,259","-0,136","-0,253","0,420","0,301","-0,348","-0,374","-0,701","1,540","1,059","1,924"
7,"0,138","-0,509","-2,595","-0,353","-0,074","-2,004","-0,268","-0,436","0,579","0,077","0,001","-0,232","-0,736","0,406","0,232","-0,479","-0,160","-0,680","1,314","0,854","1,651"
8,"0,125","-0,606","-2,827","-0,422","-0,094","-1,255","-0,180","-0,647","0,578","0,222","-0,079","-0,132","-0,546","0,081","-0,606","-0,256","-0,471","-0,914","1,002","0,827","1,767"
9,"0,238","-0,576","-3,023","-0,609","-0,044","-0,446","-0,063","-0,509","0,608","0,423","0,019","-0,086","-0,169","-0,320","-1,447","-0,132","-0,171","-1,433","0,845","0,764","1,331"
10,"0,213","-0,650","-3,504","-0,717","0,043","-0,265","-0,071","-0,620","0,777","0,155","0,036","-0,243","0,417","-0,253","-1,252","-0,295","-0,168","-1,592","0,573","0,607","0,787"
11,"0,221","-0,511","-3,402","-0,652","0,111","-0,218","-0,019","-0,774","0,657","0,057","0,200","-0,080","0,600","0,054","-1,299","-0,456","0,206","-0,907","0,471","0,327","0,481"
12,"0,278","-0,581","-3,456","-0,717","0,043","-0,265","0,032","-0,682","0,654","0,057","0,200","-0,080","-0,234","0,119","-0,643","-1,117","0,055","-1,002","0,415","0,485","0,367"
13,"0,294","-0,414","-3,174","-0,783","0,035","-0,321","0,085","-0,394","0,493","0,180","0,262","-0,023","-0,942","0,478","0,371","-0,346","0,115","-1,254","0,411","0,385","0,460"
14,"0,268","-0,251","-2,518","-0,752","-0,024","-0,747","-0,074","-0,194","0,198","0,190","0,224","-0,069","-1,075","0,570","0,851","-0,203","-0,265","-1,805","0,279","0,494","0,611"
15,"0,279","-0,334","-2,259","-0,761","-0,161","-0,851","-0,010","0,097","0,347","0,255","-0,071","-0,212","-1,018","0,336","0,493","-0,335","-0,361","-2,185","0,310","0,573","1,099"
16,"0,185","-0,249","-1,711","-0,774","-0,247","-1,024","-0,147","-0,154","0,176","0,100","-0,018","-0,130","-0,743","0,060","-0,083","-0,334","-0,299","-1,742","0,281","0,360","0,587"
17,"0,188","-0,300","-1,642","-0,787","-0,271","-1,204","-0,028","-0,068","-0,069","0,034","0,154","-0,047","-0,456","-0,130","-0,765","-0,263","-0,205","-1,369","0,082","0,269","-0,163"
18,"0,113","-0,456","-1,861","-0,826","-0,229","-0,899","0,139","0,090","0,174","-0,021","0,353","-0,144","0,164","-0,411","-0,741","-0,290","0,005","-1,197","-0,079","0,165","-0,524"
