Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,044","-0,636","-1,031","0,689","-0,093","-0,203","-0,065","-0,216","0,055","-0,314","0,042","0,068","-0,031","-0,351","-0,217","0,658","-0,197","-0,208","0,552","-0,395","-0,264"
1,"-0,138","-0,573","-1,030","0,833","-0,118","0,097","0,053","-0,202","0,026","0,062","-0,181","0,021","0,137","-0,427","-0,083","0,370","-0,256","-0,355","1,268","-0,336","-0,034"
2,"-0,267","-0,531","-1,153","0,842","-0,285","0,240","0,089","-0,382","0,085","0,198","-0,094","-0,102","1,290","-0,477","0,050","0,044","-0,587","-0,648","0,735","-0,225","0,529"
3,"-0,188","-0,764","-1,800","0,365","-0,267","0,396","0,016","-0,219","0,123","0,196","0,689","-0,032","1,612","-0,556","-0,483","-0,113","-0,615","-0,860","0,872","0,009","1,108"
4,"-0,142","-0,865","-2,034","0,117","-0,514","0,383","-0,015","-0,517","0,365","0,260","1,239","-0,237","0,439","-0,278","0,371","-0,614","-0,470","-0,315","1,065","0,261","1,751"
5,"-0,069","-0,715","-1,878","-0,126","-0,451","0,393","-0,065","-0,732","0,309","0,260","1,181","-0,430","0,061","-0,233","0,428","0,143","-0,662","-0,939","1,095","0,442","2,146"
6,"-0,130","-0,774","-1,864","-0,196","-0,526","0,284","0,021","-0,893","0,582","0,608","1,384","-0,357","-0,313","-0,410","0,047","-0,211","-0,730","-0,544","1,135","0,763","2,372"
7,"-0,126","-0,704","-1,814","-0,135","-0,345","0,258","0,139","-0,879","0,553","0,718","1,361","-0,311","-1,054","-0,375","0,055","-0,324","-0,199","0,275","1,074","0,704","2,385"
8,"-0,244","-0,471","-0,793","-0,052","-0,188","0,541","-0,183","-0,747","0,338","-0,161","1,494","-0,065","-0,696","-0,474","0,160","-0,232","-0,091","0,508","0,747","0,310","1,902"
9,"-0,274","-0,270","-0,329","0,022","-0,167","0,717","0,103","-0,503","0,336","0,173","0,584","-0,192","0,066","-0,088","1,254","-0,081","-0,542","-0,140","0,151","-0,091","0,954"
