Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-16,767","14,031","0,753","10,962","-4,978","0,478","69,248","10,813","-2,321","80,022","19,336","-7,427","-24,352","9,786","4,210","-23,840","-13,340","-5,249","-8,937","-2,182","-0,046"
1,"-16,707","14,281","0,803","10,962","-5,075","0,487","69,343","10,710","-2,110","80,641","19,007","-7,220","-25,168","9,856","4,370","-23,852","-13,426","-5,298","-9,092","-2,200","-0,052"
2,"-16,719","14,030","0,801","10,962","-5,311","0,510","69,390","10,722","-2,119","80,546","19,054","-7,228","-26,000","10,013","4,597","-23,871","-13,392","-5,341","-9,890","-2,209","-0,013"
3,"-16,610","13,989","0,795","10,793","-5,242","0,496","69,358","10,614","-2,084","80,314","19,247","-7,359","-26,203","10,772","4,847","-23,819","-13,316","-5,271","-10,172","-3,078","-0,116"
4,"-16,557","13,865","0,808","10,956","-5,239","0,503","69,387","10,712","-2,118","80,528","19,051","-7,225","-26,299","10,695","4,853","-23,648","-13,185","-5,221","-10,125","-3,006","-0,116"
5,"-16,363","13,895","0,808","10,843","-5,059","0,480","69,209","10,694","-2,109","80,424","18,940","-6,953","-26,256","10,549","4,743","-23,411","-13,071","-5,092","-9,994","-2,739","-0,061"
6,"-16,354","13,897","0,810","10,956","-5,072","0,487","69,199","10,697","-2,108","80,510","18,996","-7,193","-26,264","10,539","4,756","-23,299","-13,085","-5,095","-10,110","-2,990","-0,115"
7,"-16,080","13,918","0,832","10,956","-5,059","0,485","69,199","10,697","-2,108","80,155","18,929","-7,133","-26,246","10,525","4,746","-23,024","-13,111","-5,052","-10,249","-2,996","-0,104"
8,"-16,310","13,782","0,837","10,962","-5,061","0,486","69,308","10,714","-2,070","80,320","18,799","-7,067","-26,229","10,280","4,662","-23,362","-12,901","-5,047","-10,105","-2,743","-0,080"
9,"-16,345","13,773","0,829","10,962","-4,978","0,478","69,280","10,674","-2,058","80,400","18,757","-7,068","-26,137","10,219","4,609","-23,352","-12,828","-5,006","-10,052","-2,751","-0,084"
10,"-16,503","13,887","0,911","10,927","-4,653","0,391","69,102","10,331","-1,655","80,503","18,675","-7,041","-25,933","9,766","4,255","-23,588","-12,364","-4,751","-9,830","-2,832","-0,117"
11,"-16,559","13,829","0,947","10,908","-4,326","0,303","68,666","10,463","-1,912","80,491","18,627","-7,043","-25,837","9,233","3,865","-23,276","-12,031","-4,533","-9,766","-2,844","-0,121"
12,"-16,506","13,901","1,047","11,134","-4,074","0,229","68,822","10,344","-1,736","80,256","18,689","-7,197","-25,400","8,833","3,540","-23,312","-11,932","-4,520","-9,668","-2,915","-0,173"
13,"-16,571","13,768","1,073","11,372","-3,831","0,158","69,281","10,399","-1,744","80,220","18,470","-6,906","-24,952","8,441","3,218","-23,347","-11,802","-4,496","-9,721","-2,457","0,051"
14,"-17,161","13,552","0,993","11,686","-3,987","0,171","69,261","10,397","-1,749","79,848","18,312","-6,736","-24,389","8,665","3,339","-23,373","-11,902","-4,637","-9,753","-2,656","-0,045"
15,"-16,559","13,401","1,112","11,402","-3,831","0,127","69,316","10,481","-1,856","79,688","18,337","-6,834","-24,436","8,678","3,354","-23,364","-11,699","-4,564","-9,789","-2,659","-0,029"
16,"-16,588","13,555","1,217","11,084","-3,893","0,129","68,971","10,603","-2,056","80,137","18,449","-7,002","-24,628","8,957","3,567","-23,418","-11,781","-4,692","-9,327","-2,849","-0,149"
17,"-16,535","14,049","1,439","11,016","-4,215","0,185","68,692","10,206","-1,561","80,029","18,607","-7,267","-25,036","9,241","3,815","-23,333","-12,227","-5,062","-9,540","-3,186","-0,292"
18,"-16,961","13,762","1,346","11,315","-4,042","0,141","68,611","10,242","-1,613","80,139","18,544","-7,177","-24,954","9,288","3,855","-23,055","-11,799","-4,812","-9,468","-3,533","-0,487"
