Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
0,"0,011","-0,002","1,009","-0,016","0,004","1,003","-0,008","0,001","0,951","0,028","0,007","0,960","0,000","0,030","1,064","0,010","0,011","1,033","0,017","0,010","1,044"
1,"0,007","-0,002","1,006","-0,018","0,009","1,002","-0,005","0,003","0,950","0,022","0,008","0,957","0,016","0,015","1,062","0,011","0,015","1,036","0,026","-0,002","1,041"
2,"0,007","0,003","1,011","-0,022","0,008","1,006","-0,004","0,005","0,950","0,027","0,006","0,956","0,023","0,001","1,064","0,005","0,025","1,037","0,030","0,004","1,043"
3,"0,015","0,008","1,011","-0,020","0,010","1,007","-0,007","0,008","0,949","0,034","-0,001","0,975","0,019","-0,004","1,066","0,004","0,029","1,028","0,004","0,020","1,041"
4,"0,005","0,011","0,997","-0,017","0,005","1,008","-0,007","-0,003","0,955","0,012","0,004","0,953","0,015","-0,007","1,063","0,003","0,030","1,030","0,022","-0,015","1,047"
5,"-0,008","0,000","1,006","-0,010","0,006","1,005","-0,010","0,000","0,947","0,019","-0,001","0,959","0,014","0,000","1,068","0,001","0,029","1,020","0,025","-0,014","1,042"
6,"0,012","0,006","0,998","-0,012","-0,004","1,001","-0,001","0,001","0,950","0,010","-0,004","0,960","0,009","-0,009","1,069","0,000","0,026","1,027","0,010","0,003","1,041"
7,"0,005","-0,002","1,004","-0,009","0,002","1,001","-0,013","0,000","0,946","0,017","0,006","0,959","0,009","-0,012","1,074","-0,005","0,023","1,024","0,012","0,005","1,050"
8,"-0,009","-0,005","1,006","-0,003","0,004","0,998","-0,011","-0,004","0,959","-0,005","0,004","0,960","0,004","-0,002","1,064","-0,005","0,015","1,023","0,017","-0,005","1,039"
9,"-0,007","-0,011","1,015","0,001","0,004","1,000","-0,004","-0,008","0,944","0,013","-0,001","0,964","-0,006","0,001","1,066","-0,004","0,001","1,031","-0,003","-0,007","1,044"
10,"-0,008","-0,006","1,009","0,007","0,007","1,005","-0,007","0,001","0,947","-0,005","0,010","0,953","-0,013","0,017","1,059","-0,007","0,010","1,032","-0,017","-0,007","1,044"
11,"0,000","-0,002","1,006","0,014","0,007","1,005","-0,008","-0,003","0,949","-0,008","0,005","0,952","-0,016","0,006","1,061","-0,005","0,023","1,027","-0,019","-0,004","1,041"
12,"0,003","-0,009","1,010","0,007","-0,004","1,005","-0,004","-0,006","0,947","0,001","0,000","0,957","-0,019","0,016","1,062","-0,001","0,014","1,028","-0,009","0,000","1,039"
13,"0,002","-0,004","1,001","0,004","-0,003","1,003","-0,002","-0,002","0,944","0,001","0,008","0,960","-0,017","0,014","1,070","0,002","0,006","1,034","0,008","0,006","1,042"
14,"0,014","0,004","1,004","0,002","-0,009","0,999","0,005","0,006","0,953","-0,002","0,006","0,960","-0,006","0,018","1,066","0,001","0,004","1,036","0,001","0,009","1,048"
15,"0,011","-0,007","1,010","0,005","-0,003","1,005","0,002","0,001","0,948","0,007","0,010","0,957","-0,003","0,019","1,069","-0,001","0,013","1,038","0,006","0,014","1,042"
16,"0,008","0,002","1,004","0,003","0,006","0,996","-0,005","-0,003","0,947","0,007","0,010","0,962","-0,002","0,019","1,066","0,002","0,016","1,024","0,006","0,011","1,045"
17,"0,001","0,003","1,005","-0,001","0,003","0,998","0,004","-0,003","0,944","0,003","-0,003","0,955","0,002","0,014","1,066","0,007","0,019","1,028","-0,002","0,005","1,043"
18,"0,003","0,008","0,999","0,001","-0,003","1,000","-0,001","0,002","0,954","0,001","0,003","0,956","0,007","0,010","1,069","-0,001","0,016","1,025","0,000","0,004","1,043"
19,"0,011","0,008","0,996","0,000","0,002","0,992","-0,003","-0,005","0,947","0,000","0,005","0,956","0,007","0,000","1,067","-0,005","0,021","1,030","-0,004","-0,004","1,045"
