Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
0,"-18,216","13,019","0,656","11,024","-2,806","0,271","68,648","10,632","-2,250","80,176","17,518","-5,592","-27,722","9,558","4,074","-25,261","-10,529","-4,097","-11,535","-3,090","0,052"
1,"-18,042","13,015","0,688","11,024","-3,099","0,299","68,986","11,200","-2,533","79,964","17,675","-5,643","-27,941","9,518","4,160","-25,291","-10,782","-4,250","-11,745","-2,801","0,104"
2,"-18,025","13,231","0,728","11,323","-3,096","0,307","68,984","11,091","-2,337","80,553","17,769","-5,715","-27,640","9,494","4,143","-25,013","-10,781","-4,244","-11,437","-2,762","0,083"
3,"-18,110","13,197","0,696","11,234","-3,049","0,300","68,767","10,740","-2,179","80,261","17,515","-5,402","-27,405","9,470","4,085","-24,968","-10,718","-4,197","-11,260","-2,539","0,128"
4,"-18,136","13,291","0,721","11,234","-3,049","0,300","68,691","10,665","-2,032","80,408","17,561","-5,446","-27,405","9,470","4,085","-24,988","-10,648","-4,177","-11,260","-2,539","0,128"
5,"-18,153","13,109","0,686","11,193","-3,050","0,299","68,668","10,737","-2,181","80,204","17,570","-5,406","-27,194","9,480","4,059","-24,988","-10,641","-4,170","-11,078","-2,496","0,128"
6,"-18,154","13,081","0,686","11,193","-3,091","0,303","68,690","10,757","-2,192","80,271","17,506","-5,404","-27,281","9,525","4,096","-24,992","-10,651","-4,183","-11,110","-2,553","0,117"
7,"-18,370","12,905","0,610","11,098","-3,092","0,300","68,468","10,835","-2,369","80,286","17,458","-5,388","-27,376","9,537","4,103","-25,050","-10,677","-4,190","-11,157","-2,565","0,119"
8,"-18,319","12,980","0,635","11,098","-3,106","0,302","68,524","10,823","-2,312","80,328","17,469","-5,398","-27,498","9,536","4,121","-25,089","-10,689","-4,202","-11,270","-2,558","0,127"
9,"-18,316","13,050","0,635","11,071","-3,107","0,301","68,553","10,803","-2,304","80,278","17,455","-5,354","-27,526","9,549","4,126","-25,118","-10,756","-4,225","-11,270","-2,532","0,135"
10,"-18,524","12,970","0,616","11,246","-3,393","0,357","68,230","10,410","-1,859","80,400","17,639","-5,625","-27,330","10,049","4,506","-24,904","-10,729","-4,216","-10,898","-2,933","-0,105"
11,"-18,679","12,764","0,562","10,936","-3,256","0,329","68,390","10,810","-2,368","79,851","17,527","-5,560","-27,434","9,714","4,253","-25,508","-10,667","-4,240","-11,042","-2,731","0,024"
12,"-18,668","13,254","0,738","10,599","-3,221","0,323","68,408","10,456","-1,919","80,284","17,742","-5,825","-27,492","9,555","4,151","-26,073","-10,816","-4,406","-10,700","-2,882","-0,107"
13,"-18,298","13,043","0,734","10,593","-2,887","0,262","68,768","10,796","-2,316","80,590","17,464","-5,385","-27,579","9,535","4,157","-25,769","-10,636","-4,257","-10,568","-2,956","-0,169"
14,"-17,932","13,297","0,873","10,911","-2,765","0,239","68,613","10,724","-2,249","80,207","17,477","-5,478","-27,511","9,324","3,994","-25,151","-10,497","-4,118","-11,091","-2,655","0,064"
15,"-18,358","13,559","0,903","10,601","-2,889","0,262","68,644","10,376","-1,804","80,300","17,500","-5,513","-27,945","9,664","4,296","-25,781","-10,539","-4,193","-11,304","-3,224","-0,190"
16,"-18,542","12,963","0,693","10,944","-2,884","0,257","68,456","10,645","-2,180","80,574","17,519","-5,513","-27,787","9,462","4,128","-25,588","-10,309","-4,011","-11,329","-2,751","0,053"
17,"-18,582","12,945","0,695","11,225","-3,076","0,289","68,398","10,619","-2,156","79,984","17,377","-5,401","-27,638","9,375","4,053","-25,040","-10,498","-4,123","-11,756","-2,367","0,300"
18,"-18,482","13,347","0,844","10,993","-2,833","0,234","68,754","10,738","-2,254","80,005","17,330","-5,347","-27,651","8,968","3,734","-25,467","-10,488","-4,147","-11,277","-2,079","0,379"
19,"-18,520","13,308","0,834","11,043","-3,169","0,294","68,281","10,548","-2,068","80,403","17,496","-5,538","-27,456","9,449","4,113","-25,161","-10,760","-4,339","-11,012","-2,612","0,064"
