Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
0,"0,991","-0,129","0,039","0,000","0,995","-0,090","0,035","0,000","0,887","0,446","0,117","0,000","0,876","0,436","-0,204","0,000","0,961","-0,269","-0,062","0,000","0,965","-0,242","-0,101","0,000","0,977","-0,210","-0,034","0,000"
1,"0,991","-0,131","0,041","0,000","0,995","-0,090","0,036","0,000","0,887","0,446","0,118","0,000","0,877","0,436","-0,203","0,000","0,961","-0,269","-0,061","0,000","0,965","-0,243","-0,102","0,000","0,977","-0,210","-0,033","0,000"
2,"0,990","-0,132","0,041","0,000","0,995","-0,092","0,036","0,000","0,887","0,446","0,119","0,000","0,876","0,437","-0,204","0,000","0,961","-0,270","-0,059","0,000","0,965","-0,243","-0,102","0,000","0,977","-0,211","-0,033","0,000"
3,"0,991","-0,131","0,040","0,000","0,995","-0,090","0,035","0,000","0,888","0,445","0,118","0,000","0,877","0,435","-0,203","0,000","0,962","-0,268","-0,059","0,000","0,965","-0,243","-0,102","0,000","0,977","-0,210","-0,033","0,000"
4,"0,990","-0,132","0,041","0,000","0,995","-0,090","0,035","0,000","0,888","0,444","0,118","0,000","0,877","0,434","-0,204","0,000","0,962","-0,268","-0,059","0,000","0,965","-0,243","-0,100","0,000","0,977","-0,210","-0,033","0,000"
5,"0,990","-0,132","0,041","0,000","0,995","-0,090","0,034","0,000","0,888","0,445","0,118","0,000","0,877","0,435","-0,203","0,000","0,962","-0,268","-0,061","0,000","0,965","-0,242","-0,100","0,000","0,977","-0,210","-0,033","0,000"
6,"0,990","-0,134","0,041","0,000","0,995","-0,090","0,034","0,000","0,888","0,444","0,118","0,000","0,877","0,436","-0,203","0,000","0,961","-0,269","-0,060","0,000","0,965","-0,243","-0,100","0,000","0,977","-0,210","-0,033","0,000"
7,"0,990","-0,134","0,041","0,000","0,995","-0,090","0,033","0,000","0,888","0,445","0,118","0,000","0,877","0,435","-0,203","0,000","0,962","-0,267","-0,060","0,000","0,965","-0,243","-0,100","0,000","0,977","-0,209","-0,033","0,000"
8,"0,990","-0,134","0,041","0,000","0,995","-0,090","0,034","0,000","0,888","0,445","0,118","0,000","0,877","0,435","-0,203","0,000","0,962","-0,268","-0,059","0,000","0,965","-0,244","-0,100","0,000","0,977","-0,209","-0,033","0,000"
9,"0,990","-0,134","0,041","0,000","0,995","-0,090","0,033","0,000","0,888","0,445","0,118","0,000","0,877","0,435","-0,204","0,000","0,962","-0,267","-0,060","0,000","0,965","-0,244","-0,100","0,000","0,977","-0,209","-0,033","0,000"
10,"0,990","-0,132","0,042","0,000","0,995","-0,092","0,035","0,000","0,889","0,443","0,119","-0,001","0,878","0,433","-0,205","0,001","0,961","-0,270","-0,059","0,000","0,964","-0,246","-0,100","0,000","0,977","-0,211","-0,032","0,000"
11,"0,990","-0,134","0,043","0,000","0,995","-0,089","0,033","0,000","0,889","0,443","0,116","0,001","0,878","0,434","-0,202","-0,001","0,961","-0,271","-0,061","0,000","0,963","-0,248","-0,101","0,000","0,976","-0,213","-0,033","0,000"
12,"0,990","-0,136","0,041","0,000","0,996","-0,087","0,032","0,000","0,888","0,445","0,118","0,000","0,878","0,433","-0,204","0,001","0,960","-0,274","-0,061","0,000","0,964","-0,245","-0,101","0,000","0,977","-0,211","-0,033","0,000"
13,"0,990","-0,139","0,040","0,000","0,995","-0,089","0,033","0,000","0,887","0,447","0,116","0,001","0,878","0,434","-0,202","0,000","0,960","-0,272","-0,059","0,001","0,965","-0,243","-0,101","0,000","0,977","-0,212","-0,035","0,000"
14,"0,990","-0,136","0,040","0,000","0,996","-0,087","0,034","0,001","0,888","0,445","0,117","0,000","0,877","0,434","-0,205","0,001","0,961","-0,271","-0,057","0,002","0,964","-0,244","-0,104","-0,001","0,977","-0,210","-0,034","0,000"
15,"0,990","-0,133","0,040","0,000","0,995","-0,089","0,035","0,001","0,887","0,447","0,116","0,001","0,878","0,434","-0,202","0,000","0,961","-0,270","-0,060","0,001","0,964","-0,246","-0,102","0,000","0,978","-0,207","-0,033","0,000"
16,"0,990","-0,135","0,043","0,000","0,995","-0,092","0,034","0,001","0,887","0,446","0,119","0,000","0,877","0,436","-0,203","0,000","0,962","-0,268","-0,059","0,001","0,963","-0,248","-0,102","0,000","0,977","-0,209","-0,032","0,001"
