Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
0,"0,350","-0,307","-0,264","0,084","0,085","-0,211","0,050","-0,038","-0,001","-0,226","-0,123","0,014","1,425","-0,640","-0,699","0,435","-0,370","-0,442","0,425","-0,147","0,250"
1,"0,313","-0,160","0,080","0,028","0,096","-0,147","0,246","-0,154","-0,017","0,190","-0,271","0,061","1,847","-0,448","-0,241","1,199","-0,457","-0,508","0,082","-0,074","-0,073"
2,"0,196","-0,143","0,147","0,102","0,068","0,039","0,030","-0,150","-0,145","-0,225","-0,001","0,075","0,532","-0,066","0,249","0,835","-0,427","-0,248","0,363","-0,011","0,254"
3,"0,123","-0,186","-0,026","0,223","0,127","0,019","0,063","-0,086","0,034","0,016","0,071","-0,011","0,504","0,168","0,388","0,191","0,196","0,038","0,338","-0,006","0,582"
4,"0,244","-0,247","-0,020","0,232","-0,032","0,172","0,075","-0,134","0,070","0,391","-0,171","0,102","0,606","0,040","0,997","0,587","0,365","-0,115","0,283","0,219","0,483"
5,"0,164","-0,260","-0,326","0,354","-0,033","0,163","0,109","-0,155","-0,075","0,211","-0,102","0,089","-0,131","0,132","0,963","0,774","0,290","-0,102","0,213","0,073","0,605"
6,"0,103","-0,259","-0,322","0,289","-0,043","0,108","0,207","-0,048","0,140","0,432","0,045","0,097","-0,573","-0,079","-0,216","-0,204","0,118","-0,148","0,135","0,166","0,825"
7,"0,111","-0,289","-0,189","0,237","-0,021","0,232","0,162","-0,064","-0,075","0,345","-0,076","0,096","-0,101","-0,667","-1,224","0,368","0,052","-0,198","-0,079","-0,056","0,437"
8,"0,074","-0,201","0,169","0,306","0,060","0,336","0,231","-0,266","0,150","0,078","-0,006","0,143","0,314","-0,798","-1,510","0,594","-0,149","-0,032","0,088","-0,233","-0,138"
9,"0,078","-0,305","0,258","0,415","0,086","0,137","0,122","-0,080","0,021","0,067","-0,091","0,129","1,026","-0,793","-1,323","0,634","0,218","0,626","0,110","-0,351","-0,419"
10,"0,037","-0,112","0,528","0,349","0,016","0,092","0,134","-0,128","0,057","-0,102","-0,059","0,068","1,382","-0,707","-0,810","0,676","0,306","1,660","0,010","-0,140","0,082"
11,"-0,073","-0,126","0,727","0,293","-0,092","0,178","-0,056","-0,098","0,060","-0,272","-0,028","0,008","0,750","-0,283","0,496","0,497","-0,143","1,090","-0,021","0,024","0,474"
12,"-0,153","-0,139","0,421","0,345","0,065","0,022","-0,069","-0,172","-0,036","-0,179","0,026","0,142","0,148","0,291","1,126","0,162","-0,480","-0,295","0,014","-0,163","0,026"
13,"-0,295","-0,091","0,104","0,462","0,053","-0,047","-0,194","-0,099","0,002","-0,298","-0,008","-0,093","0,104","0,004","0,207","-0,307","-0,494","-0,750","0,054","-0,375","-0,479"
14,"-0,193","-0,166","-0,199","0,388","0,021","-0,222","0,037","-0,112","-0,097","-0,288","0,076","-0,079","0,087","-0,328","-0,898","0,053","-0,488","-1,319","-0,054","-0,446","-0,657"
15,"-0,307","-0,135","-0,073","0,393","-0,028","-0,151","-0,062","-0,013","0,072","-0,184","0,093","0,009","-0,067","-0,390","-0,665","0,243","-0,410","-1,035","-0,265","-0,170","-0,325"
16,"-0,291","-0,077","0,163","0,588","0,062","0,004","0,009","-0,177","0,034","0,025","0,034","-0,058","0,082","-0,211","-0,024","0,965","-0,173","-0,652","0,121","-0,341","-0,554"
17,"-0,105","-0,006","0,196","0,653","0,192","0,038","-0,135","-0,215","-0,071","-0,082","-0,012","0,035","0,331","-0,058","0,357","1,354","0,051","0,165","-0,066","-0,127","-0,526"
18,"-0,165","-0,183","0,244","0,536","0,144","0,117","0,063","-0,086","0,034","0,155","0,030","0,130","0,302","0,166","0,940","0,724","0,177","0,813","0,044","0,194","0,409"
19,"0,005","-0,170","0,040","0,662","0,034","0,191","0,091","-0,021","-0,098","0,108","0,003","0,062","0,363","-0,010","0,551","0,139","0,021","0,342","-0,095","0,094","0,638"
