Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,002","0,005","0,945","-0,002","-0,004","1,005","-0,002","0,002","1,016","0,000","-0,003","1,019","-0,001","-0,002","0,956","0,006","0,003","1,055","0,010","-0,002","1,026"
1,"0,000","0,000","0,945","0,000","0,001","1,003","-0,002","0,000","1,016","-0,003","-0,002","1,016","-0,002","-0,003","0,958","0,008","0,007","1,055","0,009","-0,003","1,028"
2,"-0,004","0,001","0,943","0,001","0,006","1,002","0,003","0,004","1,017","-0,003","-0,001","1,014","0,000","0,006","0,963","0,007","0,002","1,058","0,009","-0,002","1,023"
3,"0,001","0,002","0,947","0,003","0,001","1,002","0,002","0,004","1,015","-0,004","-0,005","1,015","0,001","-0,004","0,959","0,009","0,004","1,057","0,011","0,000","1,019"
4,"0,001","0,001","0,945","0,002","-0,003","1,005","0,002","0,005","1,018","-0,001","-0,001","1,013","-0,005","0,001","0,963","0,002","0,006","1,061","0,011","-0,004","1,026"
5,"0,001","-0,003","0,937","-0,002","0,001","1,004","-0,006","0,006","1,012","-0,002","-0,005","1,019","0,002","-0,001","0,961","0,006","0,010","1,053","0,011","0,000","1,026"
6,"-0,003","-0,002","0,946","-0,002","0,001","1,008","0,000","0,003","1,012","-0,002","-0,007","1,020","0,001","0,002","0,961","0,005","0,011","1,058","0,006","0,001","1,026"
7,"0,000","-0,001","0,940","-0,001","0,003","1,002","-0,003","0,003","1,014","0,003","-0,001","1,017","-0,003","0,002","0,960","0,004","0,006","1,049","0,009","0,001","1,025"
8,"-0,001","0,005","0,944","0,002","-0,003","1,005","0,000","0,001","1,018","0,004","-0,002","1,019","-0,005","0,000","0,961","0,000","0,013","1,052","0,008","-0,002","1,028"
9,"-0,004","0,003","0,949","0,001","0,002","1,004","-0,002","0,004","1,012","0,003","-0,001","1,017","0,001","0,004","0,962","-0,003","0,013","1,053","0,007","-0,001","1,027"
10,"0,000","0,001","0,947","-0,004","0,003","1,001","-0,001","0,002","1,018","-0,001","-0,005","1,015","0,001","0,000","0,961","-0,003","0,008","1,053","0,007","0,004","1,024"
11,"-0,003","0,000","0,946","0,002","0,004","1,003","-0,001","0,000","1,014","0,005","0,002","1,015","0,002","-0,001","0,956","0,003","0,010","1,057","0,005","-0,006","1,024"
12,"-0,001","0,002","0,940","-0,001","0,003","0,997","0,001","0,005","1,013","0,000","-0,003","1,016","0,000","0,001","0,961","0,004","0,009","1,057","0,008","-0,001","1,025"
13,"-0,001","-0,004","0,941","0,001","0,004","1,002","-0,001","0,003","1,010","-0,001","0,000","1,018","0,002","-0,001","0,958","0,004","0,001","1,061","0,005","-0,004","1,028"
14,"-0,001","-0,001","0,947","-0,004","0,004","1,001","-0,005","0,008","1,013","-0,001","-0,005","1,019","-0,002","0,004","0,959","0,003","0,003","1,057","0,004","0,001","1,023"
15,"-0,003","0,004","0,946","-0,004","0,005","1,002","-0,006","0,001","1,015","0,002","0,004","1,014","-0,002","0,008","0,962","0,002","0,006","1,054","0,007","-0,003","1,029"
16,"0,000","0,000","0,947","0,000","0,002","1,009","-0,006","0,000","1,018","0,000","0,002","1,017","0,002","-0,002","0,961","0,004","0,007","1,056","0,009","-0,003","1,023"
17,"-0,003","-0,004","0,944","0,000","0,007","1,005","0,002","-0,007","1,015","-0,003","0,000","1,016","0,001","-0,002","0,960","0,008","0,004","1,057","0,006","-0,001","1,021"
