Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,869","0,482","0,116","0,000","0,996","-0,080","0,029","0,000","0,995","-0,099","0,032","0,000","0,978","-0,206","0,007","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,971","-0,240","-0,004","0,000"
1,"0,869","0,481","0,118","0,000","0,996","-0,080","0,029","0,000","0,994","-0,100","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,970","-0,242","-0,003","0,000"
2,"0,869","0,480","0,120","0,000","0,996","-0,080","0,029","0,000","0,994","-0,100","0,032","0,000","0,978","-0,207","0,008","0,000","0,865","0,456","-0,209","0,000","0,966","-0,260","-0,003","0,000","0,970","-0,242","-0,003","0,000"
3,"0,869","0,480","0,118","0,000","0,997","-0,078","0,029","0,000","0,995","-0,099","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,004","0,000","0,971","-0,241","-0,003","0,000"
4,"0,869","0,480","0,118","0,000","0,996","-0,080","0,029","0,000","0,995","-0,099","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,970","-0,242","-0,003","0,000"
5,"0,870","0,480","0,117","0,000","0,997","-0,078","0,029","0,000","0,995","-0,098","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,971","-0,241","-0,004","0,000"
6,"0,870","0,479","0,118","0,000","0,997","-0,078","0,029","0,000","0,995","-0,098","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,455","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,971","-0,241","-0,003","0,000"
7,"0,870","0,480","0,117","0,000","0,997","-0,078","0,029","0,000","0,995","-0,098","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,456","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,971","-0,240","-0,004","0,000"
8,"0,870","0,480","0,118","0,000","0,997","-0,078","0,029","0,000","0,995","-0,099","0,032","0,000","0,978","-0,207","0,008","0,000","0,866","0,456","-0,208","0,000","0,966","-0,259","-0,003","0,000","0,971","-0,240","-0,003","0,000"
9,"0,870","0,480","0,118","0,000","0,997","-0,078","0,029","0,000","0,995","-0,098","0,032","0,000","0,978","-0,206","0,008","0,000","0,865","0,456","-0,207","0,000","0,966","-0,257","-0,003","0,000","0,971","-0,240","-0,003","0,000"
