Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,005","0,003","0,946","0,000","0,001","1,002","0,001","0,000","1,049","-0,002","-0,003","1,024","-0,001","0,001","0,965","-0,001","-0,005","0,884","0,002","-0,001","0,951"
1,"0,007","-0,004","0,943","-0,004","-0,009","1,010","0,004","-0,006","1,048","0,000","0,000","1,018","-0,001","0,003","0,957","-0,002","-0,002","0,887","0,001","0,007","0,945"
2,"-0,001","-0,005","0,948","-0,002","0,003","1,003","0,002","0,002","1,046","-0,003","0,000","1,021","0,000","-0,002","0,962","-0,003","0,003","0,885","0,003","0,001","0,947"
3,"0,001","0,001","0,949","-0,003","0,002","1,012","0,006","0,005","1,045","0,001","0,000","1,014","-0,001","-0,003","0,958","-0,001","-0,001","0,885","0,001","0,002","0,952"
4,"-0,001","0,003","0,954","0,004","0,004","1,011","0,001","-0,001","1,044","-0,002","0,002","1,016","0,000","0,001","0,964","-0,001","0,003","0,889","0,003","0,003","0,946"
5,"0,000","0,001","0,948","0,004","0,005","1,013","-0,002","-0,001","1,044","-0,005","-0,001","1,016","-0,003","0,004","0,964","0,001","-0,001","0,881","-0,002","-0,004","0,951"
6,"0,000","-0,002","0,948","0,003","0,002","1,013","-0,004","0,002","1,042","-0,002","-0,001","1,016","0,000","-0,001","0,960","-0,003","0,000","0,884","-0,001","-0,001","0,954"
7,"0,000","0,003","0,956","0,004","0,004","1,013","0,000","0,000","1,042","-0,001","0,004","1,018","0,000","0,003","0,964","0,000","0,003","0,884","-0,004","-0,001","0,952"
8,"0,007","-0,003","0,944","0,001","0,005","1,006","0,001","0,004","1,048","-0,003","-0,004","1,018","-0,003","0,000","0,959","0,002","0,000","0,882","-0,001","-0,001","0,955"
9,"0,002","-0,001","0,947","0,005","0,005","1,008","0,000","0,002","1,047","0,000","0,006","1,015","-0,001","-0,004","0,957","-0,003","0,005","0,887","-0,003","0,000","0,943"
10,"0,000","-0,001","0,945","0,006","0,001","1,002","-0,003","0,000","1,042","-0,002","0,003","1,021","-0,001","-0,002","0,960","-0,005","0,002","0,886","-0,002","-0,001","0,947"
11,"-0,003","-0,003","0,950","0,001","-0,002","1,006","0,003","-0,003","1,047","-0,001","0,001","1,021","-0,003","-0,005","0,960","-0,003","-0,001","0,884","-0,002","0,005","0,942"
12,"-0,002","-0,005","0,945","0,002","0,004","1,006","0,001","0,002","1,042","-0,002","0,006","1,020","0,002","-0,006","0,961","-0,002","0,000","0,882","-0,001","0,001","0,944"
13,"-0,001","-0,003","0,943","0,005","0,004","1,008","0,007","0,004","1,040","-0,001","0,007","1,022","-0,001","-0,003","0,960","-0,002","0,002","0,886","-0,002","0,001","0,941"
14,"-0,001","-0,001","0,947","0,001","0,004","1,011","-0,002","0,000","1,043","-0,002","-0,002","1,020","0,000","0,003","0,964","-0,002","0,004","0,881","-0,001","0,003","0,949"
15,"-0,003","-0,004","0,949","-0,003","0,009","1,005","0,002","0,003","1,045","-0,006","0,002","1,018","-0,001","0,003","0,962","0,001","0,004","0,887","-0,001","0,006","0,948"
16,"-0,001","-0,002","0,947","-0,002","0,011","1,010","-0,001","0,005","1,049","-0,002","-0,005","1,020","-0,003","0,003","0,957","-0,001","0,005","0,890","0,001","0,005","0,947"
17,"-0,001","0,004","0,950","0,001","0,005","1,012","-0,003","-0,004","1,047","-0,001","-0,003","1,016","0,000","-0,001","0,961","0,000","0,002","0,884","0,000","0,007","0,951"
18,"0,003","0,004","0,953","-0,002","0,005","1,012","-0,003","0,007","1,045","-0,003","0,005","1,014","0,000","-0,005","0,957","-0,001","-0,001","0,883","0,002","0,005","0,944"
19,"0,001","-0,002","0,948","-0,001","0,008","1,009","0,003","0,003","1,046","-0,002","0,000","1,020","0,002","-0,001","0,957","0,000","0,001","0,887","-0,003","0,005","0,950"
20,"0,001","-0,001","0,944","0,001","0,002","1,011","0,002","0,005","1,042","0,000","-0,001","1,018","-0,003","-0,001","0,959","-0,003","0,004","0,897","0,001","0,003","0,951"
21,"0,000","-0,002","0,951","-0,001","0,005","1,006","0,001","0,004","1,051","0,001","-0,003","1,020","-0,001","-0,002","0,962","0,000","0,000","0,890","0,000","0,002","0,950"
22,"0,000","-0,005","0,948","0,004","0,007","1,002","0,002","-0,001","1,047","0,002","-0,002","1,021","-0,004","0,000","0,963","0,001","0,000","0,886","0,000","-0,001","0,945"
23,"-0,001","-0,005","0,940","0,003","-0,006","1,004","0,002","0,000","1,045","0,001","0,002","1,014","-0,002","0,003","0,964","0,000","0,004","0,884","-0,004","-0,003","0,941"
24,"-0,001","-0,005","0,942","0,001","0,000","1,010","0,005","0,005","1,043","0,001","0,002","1,021","-0,001","-0,002","0,957","0,001","0,003","0,886","0,002","0,004","0,947"
