Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"78,828","10,322","-3,028","99,671","-3,257","-11,333","106,035","-14,880","-22,088","25,000","0,612","-0,136","83,333","22,083","-16,360","102,362","17,398","-13,359","100,998","10,761","-9,024"
1,"79,098","10,397","-2,995","99,709","-3,167","-11,388","106,254","-14,858","-22,151","25,123","0,611","-0,136","83,318","21,851","-16,227","102,696","17,414","-13,423","101,177","10,828","-9,085"
2,"79,184","10,870","-3,224","99,754","-3,291","-11,682","106,433","-14,886","-22,180","25,357","0,610","-0,137","83,286","21,942","-16,308","103,028","17,392","-13,429","101,371","11,091","-9,285"
3,"79,061","10,635","-3,195","99,577","-3,431","-11,667","106,292","-14,925","-22,163","25,123","0,721","-0,161","83,270","22,098","-16,403","102,671","17,401","-13,296","101,074","11,078","-9,373"
4,"79,140","10,815","-3,263","99,850","-3,381","-11,711","106,393","-14,900","-22,157","25,191","0,611","-0,137","83,268","22,030","-16,366","102,872","17,378","-13,419","101,179","11,091","-9,281"
5,"79,073","10,684","-3,208","99,758","-3,402","-11,685","106,322","-14,837","-22,127","25,129","0,680","-0,152","83,141","21,962","-16,235","102,756","17,382","-13,341","101,072","11,077","-9,330"
6,"79,106","10,763","-3,252","99,804","-3,405","-11,704","106,389","-14,830","-22,146","25,129","0,612","-0,136","83,115","21,959","-16,224","102,827","17,385","-13,429","101,106","11,086","-9,274"
7,"79,064","10,670","-3,219","99,629","-3,435","-11,675","106,359","-14,755","-22,119","25,062","0,653","-0,145","83,073","21,929","-16,136","102,746","17,385","-13,385","100,999","11,077","-9,301"
8,"79,136","10,681","-3,214","99,727","-3,415","-11,700","106,419","-14,747","-22,135","25,123","0,653","-0,145","83,118","21,810","-16,082","102,824","17,386","-13,390","101,090","11,092","-9,318"
9,"79,065","10,689","-3,237","99,653","-3,443","-11,679","106,428","-14,776","-22,200","25,123","0,666","-0,149","83,107","21,931","-16,147","102,836","17,439","-13,422","101,085","11,075","-9,318"
