Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,120","-0,576","0,147","0,020","-0,422","-0,405","0,054","-0,676","-0,540","-0,208","-0,004","0,250","0,136","0,205","-0,058","0,030","0,037","0,178","0,305","-0,218","0,224"
1,"0,035","-0,172","-0,095","-0,348","-0,500","-0,414","0,260","-0,516","-0,370","-0,147","-0,169","0,329","-0,126","0,301","-0,195","0,152","-0,082","0,113","0,267","-0,269","0,309"
2,"0,206","0,174","0,009","-0,269","-0,237","-0,136","0,540","-0,356","-0,071","-0,086","-0,198","0,411","-0,090","0,122","-0,200","0,282","0,185","0,326","0,182","-0,087","0,334"
3,"-0,031","0,027","-0,004","-0,252","-0,111","0,140","0,297","-0,350","-0,046","-0,086","-0,198","0,411","-0,013","-0,179","-0,016","0,296","0,222","0,515","-0,028","-0,015","0,282"
4,"0,304","-0,086","0,036","-0,185","-0,005","0,222","0,143","-0,345","0,244","-0,269","-0,280","0,380","-0,285","0,079","-0,048","0,212","0,270","0,611","-0,094","-0,115","0,194"
5,"0,469","0,103","0,027","-0,246","-0,004","0,226","-0,173","-0,252","0,716","-0,389","-0,167","0,190","-0,578","0,167","-0,105","0,137","0,227","0,605","-0,331","0,147","0,155"
6,"0,647","0,123","-0,011","-0,244","0,132","0,230","-0,223","0,104","0,746","-0,389","-0,112","0,164","-0,249","-0,192","0,263","0,330","0,077","0,501","-0,147","0,266","0,220"
7,"0,575","0,165","-0,033","-0,181","0,212","0,257","-0,183","0,074","0,550","0,282","-0,079","0,090","-0,095","-0,365","0,118","0,104","0,133","0,429","-0,121","0,374","0,121"
8,"0,575","0,045","-0,096","-0,161","0,364","0,589","-0,320","0,131","0,400","0,711","-0,100","-0,097","-0,182","-0,149","-0,078","0,086","0,023","0,196","0,108","0,335","0,288"
9,"0,232","0,197","0,141","-0,163","0,283","0,559","-0,084","0,097","0,321","0,468","-0,182","-0,128","-0,085","-0,066","-0,125","0,078","-0,125","0,107","0,075","0,434","0,200"
10,"-0,058","-0,041","0,126","-0,186","0,051","0,197","-0,169","-0,011","0,111","-0,570","-0,055","0,000","0,054","-0,104","0,017","-0,015","-0,224","0,114","-0,056","0,233","0,023"
11,"-0,143","-0,071","0,007","-0,260","0,141","-0,042","-0,134","-0,123","-0,112","-0,878","0,298","0,032","0,218","0,054","0,004","0,057","-0,494","-0,115","-0,043","0,159","-0,279"
