Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
0,"80,024","10,428","-5,014","97,830","-5,182","-10,435","105,143","-17,442","-22,077","-2,577","1,380","0,031","85,757","21,187","-18,677","71,596","16,444","-11,486","71,030","10,104","-8,555"
1,"80,282","10,575","-5,091","97,968","-5,249","-10,642","105,055","-17,448","-22,118","-2,582","1,383","0,031","85,850","21,178","-18,674","71,404","16,489","-11,480","70,916","10,287","-8,677"
2,"80,502","10,571","-5,052","98,206","-5,214","-10,759","105,144","-17,410","-22,136","-2,304","1,383","0,028","85,842","21,215","-18,661","71,682","16,492","-11,478","71,383","10,376","-8,777"
3,"80,359","10,468","-5,043","98,011","-5,233","-10,621","105,013","-17,429","-22,239","-2,304","1,383","0,028","85,775","21,133","-18,555","71,678","16,627","-11,581","71,236","10,259","-8,666"
4,"80,470","10,531","-5,037","97,989","-5,168","-10,608","105,040","-17,428","-22,247","-2,278","1,384","0,028","85,705","21,193","-18,563","71,703","16,627","-11,580","71,253","10,264","-8,670"
5,"80,369","10,533","-5,081","97,980","-5,224","-10,591","104,902","-17,414","-22,215","-2,279","1,427","0,028","85,660","21,121","-18,489","71,691","16,630","-11,549","71,260","10,248","-8,689"
6,"80,352","10,541","-5,081","97,997","-5,237","-10,624","105,069","-17,407","-22,266","-2,266","1,428","0,028","85,674","21,165","-18,519","71,766","16,636","-11,566","71,273","10,277","-8,712"
7,"80,374","10,543","-5,107","97,965","-5,266","-10,620","104,994","-17,420","-22,261","-2,280","1,428","0,028","85,608","21,162","-18,495","71,689","16,645","-11,560","71,239","10,271","-8,704"
8,"80,386","10,532","-5,080","98,005","-5,234","-10,620","105,007","-17,419","-22,266","-2,266","1,428","0,028","85,622","21,162","-18,500","71,703","16,645","-11,560","71,282","10,272","-8,710"
9,"80,325","10,471","-5,056","97,903","-5,248","-10,595","104,927","-17,450","-22,248","-2,279","1,427","0,028","85,628","21,115","-18,499","71,690","16,645","-11,561","71,294","10,257","-8,701"
