Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
0,"0,004","0,000","0,941","0,001","-0,002","1,008","-0,003","-0,002","1,044","-0,002","0,002","0,998","0,003","-0,001","0,959","-0,001","0,003","0,897","0,003","0,000","0,953"
1,"0,002","0,003","0,946","0,003","-0,007","1,009","0,005","-0,002","1,046","-0,002","0,003","0,996","0,001","-0,005","0,966","-0,002","-0,004","0,888","0,000","-0,002","0,947"
2,"0,003","0,003","0,941","0,000","-0,008","1,007","0,000","-0,005","1,046","-0,001","-0,003","0,996","0,003","-0,003","0,957","0,004","-0,001","0,889","-0,002","0,001","0,948"
3,"0,005","0,000","0,947","0,003","-0,004","1,010","-0,001","0,001","1,044","0,001","-0,003","0,993","-0,002","0,003","0,961","0,002","-0,001","0,885","0,002","-0,002","0,954"
4,"0,002","0,003","0,943","-0,002","0,001","1,011","0,001","0,000","1,040","-0,001","-0,003","0,995","0,004","-0,007","0,954","0,003","-0,002","0,896","0,004","-0,003","0,949"
5,"0,000","0,003","0,951","0,001","-0,007","1,017","0,003","0,002","1,045","-0,001","-0,004","0,994","0,003","0,001","0,959","0,004","0,000","0,888","0,001","-0,003","0,945"
6,"0,002","-0,002","0,940","0,002","-0,006","1,009","-0,001","-0,005","1,047","0,000","-0,004","0,992","0,001","-0,003","0,957","0,004","-0,001","0,881","-0,001","-0,004","0,952"
7,"0,002","-0,001","0,949","0,005","0,001","1,011","-0,001","-0,003","1,047","0,000","0,001","0,992","0,002","-0,006","0,959","0,003","-0,004","0,890","0,001","-0,001","0,951"
8,"0,004","0,011","0,948","0,000","-0,003","1,006","0,001","-0,003","1,042","-0,001","-0,008","0,995","-0,001","-0,002","0,961","0,002","0,000","0,890","0,002","0,001","0,951"
9,"0,005","0,002","0,947","0,000","-0,001","1,012","-0,004","0,000","1,045","-0,002","0,000","0,996","-0,002","0,002","0,961","0,003","-0,001","0,881","-0,002","0,002","0,950"
10,"0,000","-0,001","0,940","0,001","-0,002","1,013","-0,003","-0,002","1,048","0,002","-0,001","0,997","0,000","-0,001","0,959","0,002","-0,001","0,890","-0,005","0,003","0,952"
11,"0,004","0,004","0,944","0,000","-0,007","1,010","-0,004","0,000","1,044","0,001","0,002","0,992","-0,004","-0,002","0,956","0,002","-0,007","0,889","-0,006","-0,001","0,949"
12,"0,003","0,000","0,945","-0,003","-0,003","1,006","-0,006","-0,004","1,045","0,004","-0,003","1,003","0,003","-0,004","0,962","-0,002","-0,007","0,891","0,001","0,002","0,953"
13,"0,000","0,000","0,948","0,000","-0,004","1,010","-0,004","-0,001","1,045","0,001","-0,002","0,995","-0,002","-0,001","0,964","0,000","0,000","0,893","-0,001","-0,001","0,949"
14,"0,002","-0,001","0,945","-0,001","-0,001","1,007","-0,003","0,001","1,042","-0,001","-0,006","0,991","0,004","-0,003","0,958","-0,001","-0,006","0,887","-0,002","-0,002","0,952"
