Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-0,042","0,214","0,153","0,008","-0,386","-0,292","0,092","0,183","0,606","0,682","-0,138","0,120","0,030","0,540","-0,231","-0,056","0,055","0,073","0,235","-0,531","-0,003"
1,"-0,157","-0,003","0,096","0,132","-0,311","-0,127","-0,239","0,165","0,465","0,618","-0,265","0,235","0,135","0,558","-0,146","0,503","-0,219","-0,032","0,256","-0,399","0,210"
2,"0,136","0,111","0,053","0,013","-0,098","0,045","-0,294","0,303","0,471","0,250","-0,145","0,291","0,230","0,522","-0,255","0,149","-0,120","-0,082","-0,014","-0,257","0,201"
3,"0,075","-0,015","0,000","0,015","0,063","0,106","0,071","0,118","0,086","0,018","-0,005","-0,136","-0,123","0,738","-0,258","-0,082","-0,583","-0,105","-0,237","0,027","0,204"
4,"-0,044","-0,026","0,023","0,078","0,139","0,271","-0,010","0,118","-0,039","-0,042","0,059","-0,196","0,106","0,578","-0,245","-0,047","-0,480","0,066","-0,327","0,192","0,163"
5,"0,004","0,029","-0,022","0,016","0,114","0,217","-0,064","-0,104","-0,331","-0,040","0,000","-0,260","0,116","0,663","-0,231","-0,124","-0,342","-0,001","-0,317","0,412","0,026"
6,"-0,012","0,163","-0,041","0,075","0,093","0,024","0,022","-0,275","-0,535","0,021","-0,061","-0,261","0,106","0,852","-0,302","-0,339","-0,319","0,073","-0,159","0,550","-0,040"
7,"-0,054","0,143","0,054","0,071","0,022","-0,278","-0,138","-0,329","-0,757","0,079","-0,066","-0,137","0,029","0,814","-0,288","-0,350","-0,031","-0,097","-0,032","0,336","-0,182"
8,"-0,041","0,227","-0,158","0,006","0,007","-0,606","-0,159","-0,331","-0,892","0,568","0,058","-0,180","0,240","0,728","-0,179","-0,405","0,239","-0,139","0,023","0,249","-0,290"
9,"-0,209","0,160","-0,089","0,186","-0,040","-0,855","-0,393","-0,239","-0,830","0,816","0,127","-0,354","0,240","0,728","-0,179","-0,413","0,345","-0,244","0,152","0,207","-0,294"
10,"-0,125","0,187","0,032","0,003","-0,205","-0,777","-0,171","-0,242","-0,588","0,873","0,058","-0,172","0,163","0,569","-0,226","-0,064","0,170","-0,234","0,235","0,023","-0,310"
11,"-0,191","0,145","-0,006","0,127","-0,155","-0,667","0,099","0,077","-0,524","0,382","0,053","-0,063","-0,037","0,739","-0,321","0,068","0,200","-0,214","0,057","0,000","-0,279"
12,"-0,114","0,137","0,066","0,069","0,002","-0,470","0,059","0,081","-0,380","0,016","0,114","-0,070","0,116","0,541","-0,293","0,099","0,236","-0,286","0,155","-0,146","-0,180"
13,"-0,132","0,151","-0,017","-0,171","0,018","-0,139","0,067","0,226","0,030","-0,104","0,056","-0,137","0,116","0,389","-0,174","0,222","0,362","-0,169","0,080","-0,191","-0,285"
14,"-0,344","0,402","-0,020","0,075","0,093","0,024","0,072","0,425","0,413","0,257","0,048","0,055","0,354","0,587","-0,204","-0,206","0,418","-0,222","0,012","-0,247","0,000"
15,"-0,823","0,693","-0,093","0,137","0,144","0,134","0,151","0,479","0,510","0,683","-0,014","0,064","0,069","0,605","-0,117","0,026","0,441","-0,110","0,082","-0,297","0,007"
16,"-1,262","0,870","-0,015","-0,047","0,038","0,051","0,285","0,394","0,601","0,131","0,104","0,177","0,079","0,416","-0,046","0,006","0,127","-0,070","0,155","-0,176","0,152"
17,"-1,120","0,783","0,030","0,077","0,033","0,186","0,118","0,258","0,353","-0,353","-0,012","0,037","0,060","0,368","-0,012","0,001","0,051","-0,111","0,061","0,065","0,152"
18,"-0,830","0,537","-0,207","0,075","0,038","0,050","-0,017","0,036","-0,064","-0,048","0,109","0,050","0,231","0,492","-0,075","-0,288","0,031","-0,038","0,113","0,054","0,084"
19,"-0,693","0,535","-0,147","0,071","-0,033","-0,253","0,164","0,029","-0,092","0,382","-0,191","-0,074","0,174","0,501","-0,094","-0,239","0,114","0,076","-0,042","0,117","-0,045"
20,"-0,758","0,614","-0,120","0,070","-0,058","-0,309","0,210","0,107","-0,211","0,443","0,053","-0,062","0,222","0,407","-0,089","-0,084","-0,144","-0,194","0,222","0,127","0,045"
21,"-0,724","0,466","-0,018","0,131","-0,084","-0,365","0,186","-0,086","-0,315","0,378","0,109","0,061","0,165","0,143","-0,051","0,105","-0,127","-0,156","0,160","0,195","0,096"
22,"-0,676","0,521","-0,064","0,129","-0,135","-0,476","0,175","-0,060","-0,396","0,014","-0,132","-0,020","0,184","0,191","-0,084","0,185","0,002","-0,316","0,180","0,080","0,131"
23,"-0,545","0,483","-0,053","0,067","-0,215","-0,505","0,179","-0,168","-0,340","-0,170","-0,013","0,042","-0,093","0,323","-0,163","0,180","-0,084","-0,154","0,227","-0,025","-0,035"
24,"-0,594","0,308","-0,072","0,190","-0,190","-0,451","0,100","-0,222","-0,437","-0,045","-0,068","-0,080","-0,150","0,211","-0,244","0,246","0,045","0,147","0,194","-0,300","-0,071"
25,"-0,463","0,390","0,003","0,131","-0,084","-0,365","0,061","-0,217","-0,293","0,197","0,051","-0,007","-0,111","0,123","-0,011","0,189","0,058","0,129","0,057","-0,277","-0,125"
26,"-0,255","0,344","0,086","0,073","0,017","-0,142","0,110","-0,193","-0,384","0,443","0,114","-0,059","0,041","0,199","-0,041","-0,095","0,114","0,242","0,059","-0,353","-0,166"
27,"-0,184","0,301","0,108","0,138","0,114","0,215","0,184","-0,276","-0,284","0,807","-0,011","0,006","0,222","0,134","-0,032","0,128","-0,015","0,272","0,095","-0,154","-0,170"
28,"-0,190","0,265","0,059","0,076","0,119","0,080","0,022","-0,213","-0,149","0,929","-0,072","0,007","0,156","0,028","0,116","0,058","0,028","0,109","0,030","-0,009","-0,079"
29,"-0,071","0,277","0,036","0,016","0,033","0,187","-0,075","-0,015","-0,027","0,682","-0,077","0,122","0,051","0,010","0,031","0,089","0,065","0,037","0,124","0,274","-0,053"
30,"-0,103","0,088","0,100","-0,109","-0,042","0,022","-0,094","-0,072","-0,133","0,504","-0,008","-0,063","-0,034","0,009","0,093","-0,035","-0,071","0,122","0,264","0,174","-0,040"
31,"-0,168","0,167","0,127","-0,108","0,039","0,052","-0,077","0,039","-0,055","0,443","-0,069","-0,067","-0,024","-0,180","0,164","0,025","-0,246","-0,199","0,085","0,151","-0,008"
32,"-0,078","0,122","-0,078","-0,107","-0,047","0,158","-0,219","0,041","-0,171","0,504","-0,191","-0,071","-0,004","-0,558","0,307","0,033","-0,352","-0,094","0,007","0,182","-0,073"
