Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"0,216","0,095","-0,099","-0,118","-0,387","-0,271","-0,062","0,184","0,076","0,279","0,009","0,145","-0,185","-0,389","0,031","-0,152","-0,852","0,161","0,231","0,042","0,078"
1,"0,047","0,109","-0,008","-0,166","-0,411","-0,049","-0,018","-0,183","-0,063","0,403","-0,159","0,113","-0,026","-0,380","0,138","-0,354","-0,849","0,177","0,889","0,296","0,110"
2,"-0,036","0,033","0,136","0,234","-0,272","0,471","0,093","-0,196","-0,208","0,278","-0,211","0,365","0,025","-0,202","0,083","-0,331","-0,717","0,203","0,173","-0,079","0,377"
3,"0,360","-0,069","0,154","0,190","-0,077","0,717","0,142","-0,396","-0,306","0,159","-0,263","0,178","0,081","-0,089","0,163","-0,130","-0,280","0,103","0,169","-0,284","0,567"
4,"0,228","-0,156","0,084","0,079","0,008","0,887","0,270","-0,419","-0,232","0,221","-0,127","-0,058","0,132","-0,034","0,048","0,109","0,269","-0,027","0,028","-0,465","0,702"
5,"0,077","-0,598","0,280","0,204","0,279","0,876","0,205","-0,449","-0,279","0,101","-0,297","-0,093","0,174","-0,154","0,237","0,274","0,593","-0,098","0,314","-0,816","0,641"
6,"-0,417","-0,276","-0,039","0,220","-0,002","0,196","0,045","-0,289","-0,005","0,283","-0,414","0,061","-0,129","-0,153","0,169","0,335","0,655","-0,038","0,190","-0,924","0,561"
7,"0,103","-0,207","0,064","-0,044","-0,221","-0,086","-0,006","-0,225","0,104","0,223","-0,600","0,111","-0,176","-0,058","0,161","0,412","0,516","0,028","0,099","-0,757","0,523"
8,"-0,010","0,545","-0,017","-0,162","-0,383","0,005","0,073","-0,100","0,307","0,221","-0,482","0,178","-0,083","-0,124","0,236","0,222","0,242","0,010","0,121","-0,312","0,261"
9,"0,129","0,426","-0,026","-0,221","-0,491","0,065","0,051","0,100","0,760","-0,144","-0,434","0,141","-0,272","-0,264","0,150","0,194","-0,159","0,206","-0,140","0,128","0,164"
10,"0,143","0,498","0,072","-0,223","-0,192","-0,021","0,101","0,089","0,620","-0,203","-0,282","-0,181","-0,072","-0,285","0,131","0,027","-0,301","0,214","-0,382","0,285","-0,043"
11,"0,383","0,241","0,151","-0,219","-0,164","0,033","0,083","0,151","0,369","0,404","-0,075","-0,090","-0,182","-0,117","-0,032","-0,080","-0,381","0,282","-0,071","0,191","-0,120"
12,"0,146","-0,232","0,229","-0,014","0,138","0,345","-0,121","-0,055","0,155","0,402","0,077","0,028","-0,228","-0,145","-0,099","-0,048","-0,344","0,211","0,165","-0,226","-0,155"
13,"0,000","-0,391","0,062","0,284","0,025","0,246","0,038","-0,216","-0,120","0,279","-0,042","0,179","-0,058","-0,174","-0,038","-0,123","0,053","0,123","0,645","-0,632","0,160"
14,"-0,160","-0,259","-0,012","0,468","0,160","0,233","0,006","-0,248","-0,526","0,341","-0,126","0,163","0,018","-0,014","0,008","0,147","0,199","0,006","0,813","-0,831","0,261"
15,"0,332","-0,092","0,023","0,146","0,214","-0,048","-0,018","-0,405","-0,786","0,404","-0,125","-0,056","-0,178","0,156","-0,095","0,014","0,546","-0,343","0,151","-1,290","0,418"
16,"-0,026","0,150","-0,028","-0,124","0,075","-0,440","-0,069","-0,341","-0,678","-0,326","-0,012","-0,217","-0,081","0,239","-0,143","0,302","0,749","-0,475","0,232","-1,118","0,292"
17,"0,061","-0,060","-0,038","-0,367","-0,113","-0,395","-0,281","-0,064","-0,326","-0,204","0,107","-0,367","0,208","0,003","0,035","0,447","0,759","-0,509","-0,123","-0,716","0,348"
18,"0,018","0,206","-0,076","-0,357","-0,220","-0,203","-0,327","0,167","-0,176","0,284","-0,093","-0,227","0,148","-0,259","0,078","0,243","0,505","-0,472","-0,251","-0,113","0,058"
19,"0,075","0,132","0,123","-0,224","-0,137","-0,049","-0,486","0,516","0,056","0,103","-0,263","-0,263","0,075","-0,147","-0,031","0,086","0,331","-0,318","-0,251","0,281","-0,379"
20,"0,075","0,132","0,123","-0,083","-0,053","0,242","-0,346","0,451","0,297","-0,141","-0,366","-0,198","0,045","-0,401","-0,069","0,041","0,068","-0,371","-0,179","0,398","-0,231"
21,"-0,073","-0,229","0,105","-0,008","0,058","0,455","-0,167","0,364","0,262","-0,019","-0,315","-0,230","0,112","-0,203","0,023","-0,054","-0,043","-0,158","-0,065","0,564","-0,166"
22,"-0,344","-0,197","0,045","0,236","0,246","0,410","-0,237","0,303","0,163","0,102","-0,229","-0,212","0,152","-0,110","-0,044","0,070","0,093","-0,241","-0,050","0,598","-0,050"
23,"-0,080","-0,385","-0,007","0,176","0,192","0,442","-0,137","0,091","-0,075","0,225","-0,110","-0,363","-0,095","0,128","0,026","0,062","0,382","-0,408","-0,103","0,608","0,018"
24,"-0,189","-0,162","-0,080","-0,091","0,136","0,077","-0,044","-0,048","-0,428","0,405","-0,058","-0,175","-0,101","0,315","-0,050","-0,008","0,169","-0,550","-0,120","0,649","-0,056"
25,"-0,321","-0,249","-0,149","-0,045","0,023","-0,144","0,071","-0,217","-0,479","0,282","-0,025","-0,125","-0,245","0,326","-0,011","0,035","0,175","-0,476","-0,240","0,633","-0,036"
26,"0,016","-0,237","-0,054","-0,295","-0,084","-0,209","0,130","-0,166","-0,515","0,157","0,110","0,076","-0,318","0,439","-0,119","0,084","0,074","-0,297","-0,348","0,840","-0,148"
27,"0,129","0,185","-0,153","-0,235","-0,031","-0,241","-0,082","0,111","-0,163","0,340","0,009","0,146","-0,281","0,260","-0,124","0,011","-0,151","-0,237","-0,340","0,857","-0,090"
28,"-0,043","-0,124","0,024","-0,107","-0,112","-0,138","-0,070","0,069","0,004","0,156","-0,212","0,364","-0,182","0,006","0,027","0,287","-0,060","0,195","-0,224","0,948","-0,067"
29,"0,023","0,040","0,122","-0,099","-0,111","-0,002","0,052","0,067","-0,006","0,099","-0,246","0,093","-0,068","-0,136","0,008","0,051","0,088","0,219","-0,253","0,766","-0,010"
30,"0,037","-0,009","0,156","0,018","-0,086","-0,092","0,010","0,194","0,207","-0,084","-0,247","0,091","0,015","-0,164","0,130","-0,060","-0,067","0,246","0,125","0,416","0,109"
31,"-0,052","-0,241","0,188","0,156","-0,030","0,145","-0,104","0,123","0,331","-0,083","-0,332","0,074","0,158","-0,175","0,090","-0,171","0,023","0,452","0,117","0,119","0,198"
32,"-0,074","-0,108","0,169","0,169","0,136","0,334","0,193","-0,050","0,266","-0,083","-0,383","0,107","0,318","-0,166","0,198","-0,166","0,099","0,493","0,259","-0,057","0,167"
33,"-0,078","0,058","-0,029","0,176","0,192","0,442","0,187","-0,029","0,183","-0,265","-0,316","-0,013","0,138","-0,221","0,124","-0,001","0,177","0,242","0,248","-0,279","0,299"
34,"-0,062","0,211","-0,145","0,168","0,191","0,306","0,360","-0,095","0,065","-0,145","-0,197","0,056","0,162","-0,026","-0,032","-0,107","0,291","0,045","0,202","-0,420","0,282"
35,"0,150","0,293","-0,007","0,103","0,163","0,255","0,222","-0,083","-0,145","0,161","-0,127","-0,059","-0,022","-0,107","0,075","-0,084","0,177","-0,109","0,081","-0,323","0,013"
36,"0,216","0,336","0,028","-0,088","0,164","0,131","0,163","-0,134","-0,109","0,157","0,110","0,076","0,045","-0,155","0,049","-0,102","0,121","-0,094","-0,059","-0,223","0,001"
37,"0,134","0,019","0,045","0,092","0,080","0,093","0,223","-0,135","-0,113","-0,270","0,191","0,088","0,136","-0,008","-0,133","0,034","-0,020","-0,211","0,166","-0,339","0,135"
38,"0,207","0,098","0,129","0,219","0,052","0,168","0,276","-0,252","-0,191","0,095","0,194","0,092","0,129","0,180","-0,208","0,125","-0,178","-0,201","0,333","-0,425","-0,054"
39,"0,110","-0,171","0,112","0,203","-0,005","-0,077","0,030","-0,143","-0,235","0,400","0,179","0,180","-0,014","0,191","-0,169","0,238","-0,205","-0,164","0,420","-0,796","0,173"
40,"-0,095","-0,216","0,023","0,135","-0,061","-0,181","-0,074","0,038","-0,049","-0,332","0,174","0,172","0,042","0,181","-0,148","0,202","-0,318","-0,134","0,328","-0,911","0,283"
41,"0,047","-0,012","-0,072","0,123","-0,090","-0,371","-0,094","-0,224","-0,246","-0,515","0,122","0,204","0,032","0,097","-0,161","0,111","-0,159","-0,145","0,190","-0,924","0,561"
42,"-0,144","-0,106","-0,128","-0,119","-0,142","-0,328","0,059","-0,006","0,109","-0,146","0,040","-0,029","-0,089","-0,183","0,042","0,097","-0,140","-0,088","0,250","-0,635","0,404"
43,"0,009","-0,273","-0,103","-0,120","-0,088","-0,356","-0,054","-0,077","0,233","0,099","0,109","-0,144","0,065","0,014","0,074","-0,066","-0,206","-0,039","0,183","-0,137","0,393"
44,"0,075","-0,109","-0,004","0,253","-0,090","-0,243","0,008","0,058","0,218","0,039","0,092","-0,280","0,251","-0,241","0,165","-0,163","-0,381","-0,069","0,163","0,260","0,214"
45,"-0,088","-0,180","0,071","0,143","-0,059","-0,045","0,013","0,089","0,270","0,039","-0,027","-0,128","0,055","-0,194","0,003","-0,050","-0,408","-0,032","-0,025","0,575","0,081"
46,"-0,022","-0,257","0,043","0,097","0,053","0,175","-0,007","0,016","0,030","0,161","-0,229","0,009","-0,008","0,004","-0,093","-0,048","-0,590","0,030","-0,074","0,789","-0,040"
47,"0,002","0,053","0,039","-0,143","0,084","0,244","0,030","-0,143","-0,235","-0,145","-0,248","0,090","0,085","-0,062","-0,018","-0,252","-0,845","0,068","-0,119","0,929","-0,203"
