Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
0,"0,882","0,454","0,129","0,000","0,971","-0,238","0,033","0,000","0,963","-0,267","0,041","0,000","0,956","-0,294","-0,006","0,000","0,882","0,432","-0,189","0,000","0,787","0,587","-0,192","0,000","0,793","0,601","0,103","0,000"
1,"0,882","0,453","0,129","0,000","0,971","-0,238","0,033","0,000","0,963","-0,267","0,041","0,000","0,956","-0,294","-0,006","0,000","0,882","0,432","-0,189","0,000","0,787","0,587","-0,191","0,000","0,792","0,601","0,106","0,000"
2,"0,882","0,453","0,129","0,000","0,971","-0,238","0,034","0,000","0,963","-0,267","0,041","0,000","0,956","-0,294","-0,005","0,000","0,883","0,430","-0,189","0,000","0,787","0,587","-0,191","0,000","0,792","0,601","0,106","0,000"
3,"0,883","0,452","0,129","0,000","0,971","-0,238","0,033","0,000","0,963","-0,266","0,041","0,000","0,957","-0,291","-0,005","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,190","0,000","0,792","0,601","0,105","0,000"
4,"0,882","0,453","0,130","0,000","0,971","-0,238","0,033","0,000","0,963","-0,267","0,041","0,000","0,957","-0,292","-0,005","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,792","0,601","0,105","0,000"
5,"0,882","0,453","0,130","0,000","0,971","-0,237","0,032","0,000","0,963","-0,266","0,041","0,000","0,957","-0,291","-0,006","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,793","0,601","0,105","0,000"
6,"0,882","0,453","0,130","0,000","0,971","-0,237","0,032","0,000","0,963","-0,266","0,041","0,000","0,957","-0,292","-0,005","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,793","0,600","0,105","0,000"
7,"0,882","0,452","0,129","0,000","0,971","-0,237","0,032","0,000","0,963","-0,266","0,041","0,000","0,957","-0,291","-0,006","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,793","0,600","0,104","0,000"
8,"0,882","0,453","0,129","0,000","0,971","-0,237","0,032","0,000","0,963","-0,266","0,041","0,000","0,957","-0,291","-0,006","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,793","0,600","0,104","0,000"
9,"0,882","0,453","0,129","0,000","0,971","-0,236","0,032","0,000","0,963","-0,266","0,041","0,000","0,957","-0,291","-0,006","0,000","0,882","0,432","-0,189","0,000","0,789","0,584","-0,191","0,000","0,793","0,600","0,103","0,000"
